# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
6.00,11.00,1.85,11.11,12.00,0.01,23.25
6.00,13.00,3.70,24.07,14.00,0.01,25.19
6.00,2.00,1.85,12.03,14.00,0.01,25.35
6.00,10.00,3.70,23.14,15.00,0.01,26.25
6.00,6.00,2.78,19.90,15.00,0.01,26.30
6.00,1.00,5.55,30.24,15.33,0.02,26.52
6.00,4.00,1.85,12.03,14.00,0.01,25.35
6.00,3.00,5.55,45.17,17.20,0.02,28.36
6.00,12.00,3.39,23.76,12.00,0.02,23.10
6.00,9.00,12.34,89.47,20.00,0.02,31.11
6.00,0.00,6.48,43.69,17.20,0.01,28.44
6.00,5.00,17.32,135.34,20.57,0.03,31.66
6.00,8.00,19.44,159.58,20.00,0.03,31.12
6.00,7.00,26.84,196.74,23.22,0.04,34.40
6.00,14.00,6.48,45.54,16.80,0.02,28.01
6.00,19.00,1.85,12.03,14.00,0.01,25.35
6.00,20.00,2.78,19.44,15.00,0.01,26.38
6.00,16.00,1.85,18.05,16.00,0.01,27.27
6.00,15.00,3.39,23.76,12.00,0.02,23.10
6.00,18.00,8.33,68.49,16.57,0.03,27.62
6.00,17.00,23.14,136.06,20.86,0.03,32.11
6.00,68.00,1.85,11.11,12.00,0.01,23.25
6.00,74.00,1.85,10.18,12.00,0.01,23.20
6.00,73.00,1.85,11.11,12.00,0.01,23.35
6.00,71.00,1.85,19.44,16.00,0.01,27.35
6.00,72.00,1.85,11.11,14.00,0.01,25.20
6.00,34.00,1.85,11.11,12.00,0.01,23.25
6.00,70.00,1.85,18.05,15.00,0.01,26.35
6.00,36.00,1.85,11.11,12.00,0.01,23.35
6.00,49.00,1.85,11.11,12.00,0.01,23.25
6.00,60.00,2.78,19.44,16.00,0.01,27.25
6.00,43.00,1.85,11.11,12.00,0.01,23.35
6.00,54.00,2.78,18.97,15.00,0.01,26.30
6.00,32.00,1.85,9.26,12.00,0.02,23.10
6.00,33.00,3.70,18.51,13.00,0.02,24.09
6.00,37.00,1.85,11.11,14.00,0.01,25.20
6.00,22.00,1.85,18.05,15.00,0.01,26.30
6.00,30.00,2.78,19.44,15.00,0.01,26.14
6.00,42.00,1.85,11.11,14.00,0.01,25.20
6.00,53.00,1.85,11.11,12.00,0.01,23.35
6.00,64.00,3.70,18.51,13.00,0.02,24.09
6.00,40.00,1.85,11.11,12.00,0.01,23.35
6.00,45.00,9.26,69.02,18.57,0.02,29.79
6.00,65.00,1.85,11.11,14.00,0.01,25.20
6.00,28.00,1.85,12.03,14.00,0.01,25.35
6.00,75.00,1.85,11.11,12.00,0.01,23.35
6.00,44.00,7.40,57.78,16.00,0.02,27.05
6.00,47.00,10.18,84.23,19.11,0.03,30.15
6.00,21.00,10.18,70.35,18.57,0.02,29.63
6.00,67.00,16.32,113.26,19.45,0.03,30.44
6.00,25.00,9.26,85.87,18.89,0.02,30.03
6.00,26.00,10.18,80.32,18.67,0.02,29.99
6.00,31.00,11.11,95.25,18.00,0.02,29.12
6.00,27.00,11.11,87.42,19.33,0.02,30.42
6.00,39.00,23.14,182.02,21.88,0.03,33.13
6.00,69.00,26.84,184.79,22.71,0.03,34.04
6.00,29.00,12.03,84.02,18.89,0.02,30.04
6.00,35.00,11.11,95.08,16.91,0.03,27.94
6.00,23.00,20.36,152.55,20.12,0.03,31.19
6.00,24.00,24.99,153.22,20.67,0.04,31.83
6.00,79.00,1.85,12.03,14.00,0.01,25.35
6.00,84.00,1.85,11.11,14.00,0.01,25.20
6.00,76.00,1.85,12.03,14.00,0.01,25.35
6.00,78.00,2.78,19.90,16.00,0.01,27.38
6.00,61.00,1.85,12.03,14.00,0.01,25.35
6.00,59.00,4.63,31.78,14.67,0.01,25.85
6.00,81.00,2.78,18.51,16.00,0.01,27.30
6.00,55.00,2.78,18.97,15.00,0.01,26.30
6.00,46.00,5.55,29.93,16.00,0.01,27.22
6.00,50.00,7.40,46.09,16.80,0.02,27.89
6.00,63.00,2.78,19.44,16.00,0.01,27.25
6.00,62.00,1.85,18.05,15.00,0.01,26.35
6.00,80.00,5.55,30.24,15.33,0.02,26.52
6.00,57.00,3.39,23.76,12.00,0.02,23.10
6.00,51.00,8.33,62.01,18.00,0.02,29.23
6.00,56.00,5.55,45.17,17.20,0.02,28.36
6.00,58.00,12.03,85.36,19.11,0.02,30.22
6.00,52.00,12.96,94.72,19.56,0.03,30.59
6.00,41.00,14.81,112.92,19.00,0.03,30.04
6.00,38.00,13.51,96.54,18.60,0.02,29.87
6.00,82.00,10.18,74.97,20.00,0.02,31.33
6.00,66.00,10.18,86.18,18.44,0.02,29.61
6.00,83.00,16.66,133.68,20.14,0.03,31.35
6.00,77.00,18.51,132.16,19.14,0.03,30.24
6.00,48.00,16.66,124.03,19.54,0.03,30.66
6.00,87.00,1.85,10.18,12.00,0.01,23.20
6.00,88.00,6.48,61.35,18.00,0.02,29.17
6.00,86.00,12.96,106.60,18.83,0.02,30.05
6.00,85.00,23.14,170.60,22.38,0.03,33.54
6.00,99.00,1.85,12.03,14.00,0.01,25.35
6.00,97.00,1.85,10.18,12.00,0.01,23.20
6.00,98.00,1.85,11.11,12.00,0.01,23.35
6.00,100.00,1.85,11.11,14.00,0.01,25.20
6.00,90.00,3.70,29.31,17.33,0.01,28.63
6.00,101.00,5.55,44.98,17.20,0.02,28.39
6.00,92.00,11.11,85.34,17.00,0.02,28.08
6.00,96.00,4.63,44.61,16.80,0.02,27.94
6.00,91.00,20.36,146.49,19.60,0.03,30.75
6.00,89.00,15.74,124.88,20.00,0.03,31.14
6.00,95.00,5.55,29.93,16.00,0.01,27.22
6.00,120.00,1.85,12.03,14.00,0.01,25.35
6.00,104.00,1.85,11.11,12.00,0.01,23.35
6.00,109.00,1.85,11.11,14.00,0.01,25.20
6.00,127.00,2.78,19.44,16.00,0.01,27.22
6.00,113.00,1.85,18.05,15.00,0.01,26.35
6.00,128.00,1.85,11.11,12.00,0.01,23.35
6.00,103.00,1.85,12.03,14.00,0.01,25.35
6.00,115.00,1.85,19.44,16.00,0.01,27.35
6.00,105.00,2.78,19.44,16.00,0.01,27.22
6.00,116.00,2.78,20.36,16.00,0.02,27.11
6.00,121.00,7.14,62.28,18.00,0.02,29.08
6.00,110.00,8.33,68.49,16.57,0.03,27.62
6.00,118.00,6.48,43.69,17.20,0.01,28.44
6.00,102.00,1.85,11.11,14.00,0.01,25.20
6.00,119.00,6.48,45.54,16.80,0.02,28.01
6.00,111.00,5.55,47.39,17.20,0.01,28.41
6.00,126.00,1.85,9.26,10.00,0.01,21.20
6.00,122.00,10.90,86.70,20.67,0.02,31.88
6.00,114.00,9.65,71.54,20.29,0.02,31.60
6.00,117.00,16.66,113.00,19.33,0.03,30.48
6.00,108.00,6.48,61.35,18.00,0.02,29.17
6.00,94.00,19.44,147.17,20.67,0.03,31.78
6.00,112.00,14.81,95.54,19.11,0.03,30.15
6.00,106.00,22.21,164.58,21.38,0.04,32.37
6.00,93.00,35.17,265.97,24.17,0.04,35.40
6.00,153.00,1.85,11.11,12.00,0.01,23.25
6.00,141.00,1.85,12.03,14.00,0.01,25.35
6.00,145.00,1.85,11.11,12.00,0.01,23.35
6.00,156.00,1.85,9.26,10.00,0.01,21.20
6.00,143.00,1.85,12.03,14.00,0.01,25.35
6.00,144.00,1.85,18.05,16.00,0.01,27.27
6.00,158.00,5.55,29.93,16.00,0.01,27.22
6.00,140.00,1.85,12.03,14.00,0.01,25.35
6.00,134.00,5.55,30.24,15.33,0.02,26.52
6.00,138.00,1.85,11.11,12.00,0.01,23.25
6.00,150.00,1.85,18.05,15.00,0.01,26.35
6.00,125.00,1.85,12.03,14.00,0.01,25.35
6.00,133.00,8.33,72.08,17.75,0.03,28.78
6.00,135.00,1.85,11.11,14.00,0.01,25.20
6.00,130.00,12.96,86.64,18.40,0.02,29.67
6.00,107.00,17.59,120.64,19.33,0.03,30.35
6.00,155.00,5.55,49.98,16.67,0.02,27.79
6.00,131.00,11.11,84.13,18.22,0.02,29.45
6.00,129.00,20.36,160.01,21.00,0.03,32.08
6.00,132.00,12.03,78.26,17.78,0.02,29.07
6.00,123.00,17.59,131.37,19.29,0.03,30.53
6.00,124.00,19.44,155.99,21.33,0.03,32.45
6.00,151.00,1.85,11.11,12.00,0.01,23.35
6.00,161.00,5.55,29.93,16.00,0.01,27.22
6.00,162.00,1.85,18.05,16.00,0.01,27.27
6.00,159.00,1.85,18.05,15.00,0.01,26.30
6.00,163.00,6.48,48.13,17.60,0.01,28.87
6.00,152.00,8.33,68.49,16.57,0.03,27.62
6.00,149.00,12.03,86.73,18.60,0.02,29.89
6.00,154.00,17.59,129.78,19.14,0.03,30.22
6.00,148.00,11.11,92.25,19.33,0.02,30.43
6.00,146.00,8.33,72.08,17.75,0.03,28.78
6.00,139.00,18.51,147.83,21.14,0.03,32.28
6.00,136.00,24.99,153.22,20.67,0.04,31.83
6.00,147.00,11.11,81.25,18.00,0.02,29.14
6.00,157.00,18.51,155.90,20.88,0.03,32.06
6.00,137.00,17.59,121.89,19.85,0.03,31.09
6.00,160.00,32.40,232.85,23.62,0.04,35.03
6.00,142.00,26.84,197.15,23.11,0.04,34.28
6.00,182.00,1.85,12.03,14.00,0.01,25.35
6.00,190.00,1.85,11.11,14.00,0.01,25.20
6.00,166.00,2.78,20.83,17.00,0.01,28.30
6.00,172.00,1.85,18.05,15.00,0.01,26.35
6.00,178.00,2.78,20.36,16.00,0.02,27.11
6.00,184.00,1.85,10.18,12.00,0.01,23.20
6.00,164.00,2.78,19.90,16.00,0.01,27.38
6.00,177.00,3.70,21.75,16.00,0.02,27.09
6.00,200.00,5.55,45.17,17.20,0.02,28.36
6.00,167.00,11.11,79.19,17.78,0.02,28.89
6.00,188.00,12.03,90.89,18.20,0.02,29.44
6.00,174.00,11.11,85.34,17.00,0.02,28.08
6.00,176.00,12.96,76.25,19.25,0.02,30.58
6.00,165.00,13.88,110.53,19.33,0.02,30.50
6.00,186.00,8.33,62.01,18.00,0.02,29.23
6.00,185.00,15.74,112.00,19.50,0.03,30.64
6.00,171.00,24.99,174.94,21.41,0.04,32.59
6.00,169.00,23.14,168.23,21.88,0.03,33.04
6.00,168.00,23.14,168.40,21.75,0.04,32.80
6.00,208.00,1.85,11.11,12.00,0.01,23.35
6.00,213.00,1.85,11.11,12.00,0.01,23.35
6.00,187.00,1.85,11.11,12.00,0.01,23.25
6.00,173.00,1.85,12.03,14.00,0.01,25.35
6.00,216.00,1.85,12.03,14.00,0.01,25.35
6.00,181.00,2.78,19.90,15.00,0.01,26.30
