method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.860625, 0.9125, 0.8, 47.4, 49.0, 47.0
surrogate, 2, 0.8825000000000001, 0.925, 0.85, 47.3, 49.0, 46.0
surrogate, 3, 0.8862499999999999, 0.925, 0.825, 47.05, 49.0, 46.0
surrogate, 4, 0.89625, 0.925, 0.8375, 47.05, 49.0, 46.0
surrogate, 5, 0.9024999999999999, 0.925, 0.8625, 47.0, 49.0, 45.0
surrogate, 6, 0.9049999999999999, 0.9375, 0.8625, 47.05, 49.0, 45.0
surrogate, 7, 0.9081249999999998, 0.9375, 0.8625, 46.85, 48.0, 45.0
surrogate, 8, 0.9137500000000001, 0.9625, 0.875, 46.85, 48.0, 45.0
