method, generation, power, ar
surrogate, 1, 208.0, 0.9705882352941176
surrogate, 1, 208.0, 0.9705882352941176
surrogate, 1, 200.0, 0.9411764705882353
surrogate, 1, 192.0, 0.9117647058823529
surrogate, 1, 167.0, 0.8823529411764706
surrogate, 1, 151.0, 0.8529411764705882
surrogate, 1, 95.0, 0.8235294117647058
surrogate, 1, 63.0, 0.7941176470588235
surrogate, 2, 208.0, 1.0
surrogate, 2, 192.0, 0.9411764705882353
surrogate, 2, 184.0, 0.9117647058823529
surrogate, 2, 167.0, 0.8823529411764706
surrogate, 2, 151.0, 0.8529411764705882
surrogate, 2, 95.0, 0.8235294117647058
surrogate, 2, 63.0, 0.7941176470588235
emulator, 2.1, 213.0, 1.0
