# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
347.00,1.00,0.94,5.17,10.00,0.01,21.21
347.00,2.00,0.94,5.17,10.00,0.01,21.21
347.00,0.00,0.94,5.17,10.00,0.01,21.21
347.00,8.00,0.94,5.17,10.00,0.01,21.21
347.00,5.00,6.58,54.26,17.08,0.04,28.33
347.00,15.00,0.94,5.17,10.00,0.01,21.21
347.00,3.00,0.94,5.17,10.00,0.01,21.21
347.00,21.00,0.94,5.17,10.00,0.01,21.21
347.00,11.00,0.94,5.17,10.00,0.01,21.21
347.00,10.00,0.94,5.17,10.00,0.01,21.21
347.00,17.00,0.94,5.17,10.00,0.01,21.21
347.00,26.00,0.94,5.17,10.00,0.01,21.21
347.00,14.00,0.94,5.17,10.00,0.01,21.21
347.00,22.00,0.94,5.17,10.00,0.01,21.21
347.00,6.00,10.81,87.90,19.26,0.06,31.38
347.00,30.00,0.94,5.17,10.00,0.01,21.21
347.00,20.00,0.94,5.17,10.00,0.01,21.21
347.00,40.00,0.94,5.17,10.00,0.01,21.21
347.00,32.00,0.94,5.17,10.00,0.01,21.21
347.00,13.00,0.94,5.17,10.00,0.01,21.21
347.00,37.00,0.94,5.17,10.00,0.01,21.21
347.00,24.00,0.94,5.17,10.00,0.01,21.21
347.00,31.00,0.94,5.17,10.00,0.01,21.21
347.00,19.00,0.94,5.17,10.00,0.01,21.21
347.00,16.00,0.94,5.17,10.00,0.01,21.21
347.00,28.00,0.94,5.17,10.00,0.01,21.21
347.00,18.00,0.94,5.17,10.00,0.01,21.21
347.00,9.00,2.70,18.21,13.00,0.03,24.26
347.00,12.00,4.23,28.87,14.00,0.03,25.28
347.00,46.00,4.23,28.87,14.00,0.03,25.28
347.00,25.00,6.11,50.05,16.33,0.04,28.28
347.00,4.00,8.93,69.26,17.88,0.05,29.49
347.00,7.00,10.34,75.00,18.24,0.07,30.42
347.00,56.00,0.94,5.17,10.00,0.01,21.21
347.00,27.00,0.94,5.17,10.00,0.01,21.21
347.00,41.00,0.94,5.17,10.00,0.01,21.21
347.00,39.00,0.94,5.17,10.00,0.01,21.21
347.00,52.00,0.94,5.17,10.00,0.01,21.21
347.00,48.00,0.94,5.17,10.00,0.01,21.21
347.00,60.00,0.94,5.17,10.00,0.01,21.21
347.00,62.00,0.94,5.17,10.00,0.01,21.21
347.00,36.00,0.94,5.17,10.00,0.01,21.21
347.00,29.00,0.94,5.17,10.00,0.01,21.21
347.00,65.00,0.94,5.17,10.00,0.01,21.21
347.00,61.00,0.94,5.17,10.00,0.01,21.21
347.00,53.00,0.94,5.17,10.00,0.01,21.21
347.00,54.00,0.94,5.17,10.00,0.01,21.21
347.00,45.00,1.88,10.34,11.00,0.02,22.09
347.00,51.00,0.94,5.17,10.00,0.01,21.21
347.00,58.00,0.94,5.17,10.00,0.01,21.21
347.00,44.00,0.94,5.17,10.00,0.01,21.21
347.00,50.00,0.94,5.17,10.00,0.01,21.21
347.00,38.00,0.94,5.17,10.00,0.01,21.21
347.00,33.00,1.41,10.34,15.00,0.02,26.10
347.00,43.00,0.94,5.17,10.00,0.01,21.21
347.00,34.00,0.94,5.17,10.00,0.01,21.21
347.00,23.00,13.16,103.68,20.38,0.08,32.72
347.00,55.00,0.94,5.17,10.00,0.01,21.21
347.00,63.00,0.94,5.17,10.00,0.01,21.21
347.00,64.00,2.70,18.21,13.00,0.03,24.26
347.00,57.00,8.46,65.22,19.14,0.05,30.45
347.00,35.00,9.87,75.25,17.76,0.07,30.09
347.00,66.00,5.17,40.88,15.00,0.04,26.32
347.00,59.00,12.69,103.70,20.29,0.07,32.33
347.00,72.00,0.94,5.17,10.00,0.01,21.21
347.00,71.00,0.94,5.17,10.00,0.01,21.21
347.00,69.00,0.94,5.17,10.00,0.01,21.21
347.00,68.00,0.94,5.17,10.00,0.01,21.21
347.00,42.00,18.33,145.56,22.22,0.09,35.32
347.00,47.00,18.80,158.95,22.76,0.11,37.06
347.00,67.00,5.17,40.88,15.00,0.04,26.32
347.00,49.00,16.45,131.70,21.52,0.09,34.49
347.00,79.00,0.94,5.17,10.00,0.01,21.21
347.00,70.00,0.94,5.17,10.00,0.01,21.21
347.00,73.00,0.94,5.17,10.00,0.01,21.21
347.00,77.00,0.94,5.17,10.00,0.01,21.21
347.00,75.00,8.93,69.90,17.88,0.05,31.21
347.00,76.00,0.94,5.17,10.00,0.01,21.21
347.00,78.00,0.94,5.17,10.00,0.01,21.21
347.00,82.00,0.94,5.17,10.00,0.01,21.21
347.00,81.00,0.94,5.17,10.00,0.01,21.21
347.00,86.00,0.94,5.17,10.00,0.01,21.21
347.00,85.00,0.94,5.17,10.00,0.01,21.21
347.00,83.00,0.94,5.17,10.00,0.01,21.21
347.00,84.00,0.94,5.17,10.00,0.01,21.21
347.00,74.00,15.04,120.39,21.83,0.08,34.40
347.00,98.00,0.94,5.17,10.00,0.01,21.21
347.00,97.00,0.94,5.17,10.00,0.01,21.21
347.00,93.00,0.94,5.17,10.00,0.01,21.21
347.00,99.00,0.94,5.17,10.00,0.01,21.21
347.00,92.00,0.94,5.17,10.00,0.01,21.21
347.00,90.00,0.94,5.17,10.00,0.01,21.21
347.00,89.00,0.94,5.17,10.00,0.01,21.21
347.00,91.00,1.88,10.34,11.00,0.02,22.09
347.00,95.00,0.94,5.17,10.00,0.01,21.21
347.00,94.00,0.94,5.17,10.00,0.01,21.21
347.00,87.00,0.94,5.17,10.00,0.01,21.21
347.00,88.00,10.34,80.69,19.18,0.06,39.04
347.00,80.00,13.63,114.05,20.61,0.08,33.15
347.00,96.00,18.80,156.26,22.28,0.11,36.13
