# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
347.00,9.00,1.85,11.11,12.00,0.01,23.35
347.00,13.00,1.85,11.11,12.00,0.01,23.35
347.00,6.00,1.85,11.11,12.00,0.01,23.35
347.00,14.00,1.85,11.11,12.00,0.01,23.35
347.00,1.00,1.85,11.11,12.00,0.01,23.35
347.00,19.00,1.85,11.11,12.00,0.01,23.35
347.00,0.00,1.85,11.11,12.00,0.01,23.35
347.00,11.00,1.85,11.11,12.00,0.01,23.35
347.00,10.00,1.85,11.11,12.00,0.01,23.35
347.00,5.00,1.85,11.11,12.00,0.01,23.35
347.00,8.00,1.85,11.11,12.00,0.01,23.35
347.00,3.00,1.85,11.11,12.00,0.01,23.35
347.00,4.00,1.85,11.11,12.00,0.01,23.35
347.00,2.00,1.85,11.11,12.00,0.01,23.35
347.00,17.00,1.85,11.11,12.00,0.01,23.35
347.00,18.00,1.85,11.11,12.00,0.01,23.35
347.00,12.00,16.66,130.91,16.00,0.04,27.01
347.00,44.00,1.85,11.11,12.00,0.01,23.35
347.00,7.00,1.85,11.11,12.00,0.01,23.35
347.00,25.00,1.85,11.11,12.00,0.01,23.35
347.00,30.00,1.85,11.11,12.00,0.01,23.35
347.00,21.00,1.85,11.11,12.00,0.01,23.35
347.00,27.00,1.85,11.11,12.00,0.01,23.35
347.00,23.00,1.85,11.11,12.00,0.01,23.35
347.00,41.00,1.85,11.11,12.00,0.01,23.35
347.00,28.00,1.85,11.11,12.00,0.01,23.35
347.00,36.00,1.85,11.11,12.00,0.01,23.35
347.00,22.00,1.85,11.11,12.00,0.01,23.35
347.00,16.00,1.85,11.11,12.00,0.01,23.35
347.00,40.00,1.85,11.11,12.00,0.01,23.35
347.00,31.00,1.85,11.11,12.00,0.01,23.35
347.00,50.00,1.85,11.11,12.00,0.01,23.35
347.00,52.00,1.85,11.11,12.00,0.01,23.35
347.00,20.00,1.85,11.11,12.00,0.01,23.35
347.00,49.00,1.85,11.11,12.00,0.01,23.35
347.00,42.00,5.55,35.17,15.00,0.01,26.28
347.00,15.00,1.85,11.11,12.00,0.01,23.35
347.00,47.00,13.88,104.31,14.46,0.04,25.62
347.00,51.00,12.96,97.03,15.50,0.03,26.55
347.00,65.00,1.85,11.11,12.00,0.01,23.35
347.00,66.00,1.85,11.11,12.00,0.01,23.35
347.00,60.00,1.85,11.11,12.00,0.01,23.35
347.00,45.00,1.85,11.11,12.00,0.01,23.35
347.00,29.00,1.85,11.11,12.00,0.01,23.35
347.00,53.00,1.85,11.11,12.00,0.01,23.35
347.00,57.00,1.85,11.11,12.00,0.01,23.35
347.00,43.00,1.85,11.11,12.00,0.01,23.35
