method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8454999999999999, 0.95, 0.7, 202.52, 208.0, 120.0
surrogate, 2, 0.87825, 0.95, 0.65, 198.37, 208.0, 120.0
surrogate, 3, 0.8862500000000003, 0.975, 0.65, 195.1, 208.0, 119.0
surrogate, 4, 0.889, 0.975, 0.65, 189.61, 208.0, 87.0
surrogate, 5, 0.8992499999999999, 0.975, 0.7, 185.89, 208.0, 62.0
surrogate, 6, 0.895, 1.0, 0.625, 181.19, 208.0, 62.0
emulator, 6.1, 1.0, 1.0, 1.0, 211.0, 211.0, 211.0
