generation, latency, ar
1, 433.654606473891, 1.0
2, 372.8976711418481, 1.0
3, 370.3301827137743, 1.0
4, 364.27297424171525, 1.0
5, 359.52902923772467, 1.0
6, 359.52902923772467, 1.0
7, 359.52902923772467, 1.0
8, 359.52902923772467, 1.0
9, 359.52902923772467, 1.0
10, 357.1692386515383, 1.0
