# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
7.00,8.00,1.88,11.28,12.00,0.01,23.30
7.00,1.00,1.88,11.28,12.00,0.01,23.40
7.00,0.00,1.88,11.28,12.00,0.01,23.40
7.00,7.00,1.88,11.28,12.00,0.01,23.30
7.00,4.00,1.88,11.28,12.00,0.01,23.40
7.00,6.00,1.88,11.28,12.00,0.01,23.40
7.00,14.00,1.88,11.28,12.00,0.01,23.40
7.00,13.00,1.88,11.28,12.00,0.01,23.40
7.00,12.00,1.88,11.28,12.00,0.01,23.40
7.00,2.00,14.10,103.47,17.64,0.02,28.93
7.00,15.00,14.10,103.47,17.64,0.02,28.93
7.00,10.00,17.86,143.99,20.13,0.02,31.52
7.00,3.00,22.56,176.92,21.53,0.02,33.06
7.00,9.00,25.38,178.96,22.12,0.03,33.43
7.00,11.00,17.86,137.97,19.47,0.02,30.80
7.00,19.00,1.88,11.28,12.00,0.01,23.40
7.00,24.00,1.88,11.28,12.00,0.01,23.40
7.00,25.00,1.88,11.28,12.00,0.01,23.40
7.00,23.00,1.88,11.28,12.00,0.01,23.40
7.00,32.00,1.88,11.28,12.00,0.01,23.40
7.00,31.00,1.88,11.28,12.00,0.01,23.40
7.00,37.00,1.88,11.28,12.00,0.01,23.30
7.00,16.00,1.88,11.28,12.00,0.01,23.40
7.00,20.00,1.88,11.28,12.00,0.01,23.40
7.00,39.00,1.88,11.28,12.00,0.01,23.40
7.00,29.00,1.88,11.28,12.00,0.01,23.40
7.00,38.00,1.88,11.28,12.00,0.01,23.40
7.00,68.00,1.88,11.28,12.00,0.01,23.40
7.00,67.00,1.88,11.28,12.00,0.01,23.30
7.00,71.00,1.88,11.28,12.00,0.01,23.40
7.00,22.00,7.52,50.00,17.20,0.02,28.42
7.00,27.00,14.10,103.47,17.64,0.02,28.93
7.00,35.00,14.10,103.47,17.64,0.02,28.93
7.00,18.00,8.46,70.14,17.50,0.01,28.80
7.00,66.00,1.88,11.28,12.00,0.01,23.40
7.00,49.00,1.88,11.28,12.00,0.01,23.40
7.00,48.00,1.88,11.28,12.00,0.01,23.40
7.00,58.00,1.88,11.28,12.00,0.01,23.40
7.00,50.00,1.88,11.28,12.00,0.01,23.40
7.00,42.00,1.88,11.28,12.00,0.01,23.40
7.00,70.00,1.88,11.28,12.00,0.01,23.40
7.00,64.00,1.88,11.28,12.00,0.01,23.40
7.00,72.00,1.88,17.86,15.00,0.01,26.33
7.00,56.00,1.88,11.28,12.00,0.01,23.40
7.00,21.00,14.10,103.47,17.64,0.02,28.93
7.00,36.00,14.10,103.47,17.64,0.02,28.93
7.00,5.00,28.20,192.41,22.89,0.03,34.31
7.00,17.00,30.16,252.40,23.36,0.04,34.43
7.00,78.00,1.88,11.28,12.00,0.01,23.40
7.00,47.00,1.88,11.28,12.00,0.01,23.40
7.00,46.00,1.88,11.28,12.00,0.01,23.40
7.00,62.00,5.64,29.76,18.00,0.01,29.39
7.00,63.00,1.88,11.28,12.00,0.01,23.30
7.00,53.00,1.88,11.28,12.00,0.01,23.40
7.00,57.00,1.88,11.28,12.00,0.01,23.40
7.00,30.00,1.88,11.28,12.00,0.01,23.30
7.00,69.00,8.46,66.38,16.75,0.01,28.05
7.00,41.00,1.88,11.28,12.00,0.01,23.30
7.00,74.00,14.10,103.47,17.64,0.02,28.93
7.00,73.00,14.10,103.47,17.64,0.02,28.93
7.00,75.00,14.10,102.96,18.55,0.02,30.00
7.00,59.00,1.88,11.28,12.00,0.01,23.40
7.00,55.00,14.10,103.47,17.64,0.02,28.93
7.00,76.00,14.10,105.27,18.33,0.02,29.75
7.00,33.00,16.92,116.08,18.17,0.02,29.48
7.00,26.00,14.10,103.47,17.64,0.02,28.93
7.00,34.00,14.10,103.47,17.64,0.02,28.93
7.00,51.00,17.86,134.47,19.71,0.02,31.14
7.00,65.00,17.86,143.99,20.13,0.02,31.52
7.00,28.00,14.10,103.47,17.64,0.02,28.93
7.00,54.00,14.10,103.47,17.64,0.02,28.93
7.00,52.00,26.32,169.18,22.62,0.02,34.26
7.00,45.00,17.86,137.97,19.47,0.02,30.80
7.00,43.00,17.86,137.97,19.47,0.02,30.80
7.00,61.00,14.10,103.47,17.64,0.02,28.93
7.00,40.00,14.10,103.47,17.64,0.02,28.93
7.00,60.00,14.10,103.47,17.64,0.02,28.93
7.00,44.00,30.16,252.40,23.36,0.04,34.43
7.00,77.00,1.88,11.28,12.00,0.01,23.40
7.00,81.00,1.88,11.28,12.00,0.01,23.40
7.00,86.00,1.88,11.28,12.00,0.01,23.40
7.00,83.00,1.88,11.28,12.00,0.01,23.40
7.00,88.00,1.88,16.92,12.00,0.01,23.35
7.00,80.00,1.88,11.28,12.00,0.01,23.40
7.00,90.00,1.88,11.28,12.00,0.01,23.40
7.00,84.00,1.88,17.86,15.00,0.01,26.33
7.00,85.00,14.10,103.47,17.64,0.02,28.93
7.00,79.00,14.10,100.82,18.00,0.02,29.39
7.00,82.00,14.10,103.47,17.64,0.02,28.93
7.00,89.00,17.86,137.97,19.47,0.02,30.80
7.00,87.00,19.74,160.43,20.75,0.02,32.12
7.00,96.00,1.88,11.28,12.00,0.01,23.40
7.00,95.00,1.88,15.04,20.00,0.01,31.40
7.00,99.00,11.28,83.27,16.80,0.02,28.13
7.00,91.00,14.10,103.47,17.64,0.02,28.93
7.00,98.00,14.10,102.96,18.55,0.02,30.00
7.00,92.00,12.22,90.79,18.60,0.02,30.01
7.00,94.00,14.10,99.46,16.91,0.02,28.20
7.00,93.00,13.16,96.47,17.09,0.02,28.29
7.00,97.00,17.86,137.97,19.47,0.02,30.80
