method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8491304347826086, 0.9782608695652174, 0.6739130434782609, 242.36, 250.0, 112.0
surrogate, 2, 0.878478260869565, 0.9782608695652174, 0.6956521739130435, 238.08, 250.0, 112.0
surrogate, 3, 0.881304347826087, 0.9782608695652174, 0.6956521739130435, 233.79, 250.0, 112.0
surrogate, 4, 0.8873913043478258, 0.9782608695652174, 0.7391304347826086, 224.49, 250.0, 112.0
surrogate, 5, 0.8949999999999999, 0.9782608695652174, 0.8043478260869565, 221.46, 250.0, 112.0
surrogate, 6, 0.8973913043478257, 0.9782608695652174, 0.7391304347826086, 213.13, 250.0, 72.0
surrogate, 7, 0.9026086956521739, 0.9782608695652174, 0.717391304347826, 207.24, 250.0, 72.0
surrogate, 8, 0.8993478260869567, 0.9782608695652174, 0.717391304347826, 200.96, 250.0, 72.0
surrogate, 9, 0.9026086956521737, 0.9782608695652174, 0.717391304347826, 199.21, 250.0, 63.0
surrogate, 10, 0.9069565217391307, 0.9782608695652174, 0.6956521739130435, 195.98, 250.0, 63.0
surrogate, 11, 0.9121739130434783, 0.9782608695652174, 0.717391304347826, 200.58, 250.0, 63.0
surrogate, 12, 0.9167391304347826, 0.9782608695652174, 0.717391304347826, 203.97, 250.0, 63.0
surrogate, 13, 0.9147826086956523, 0.9782608695652174, 0.717391304347826, 199.22, 250.0, 63.0
surrogate, 14, 0.9176086956521741, 1.0, 0.717391304347826, 196.75, 250.0, 63.0
emulator, 14.1, 1.0, 1.0, 1.0, 259.0, 259.0, 259.0
