method, generation, power, ar
surrogate, 1, 192.0, 0.9444444444444444
surrogate, 1, 184.0, 0.8611111111111112
surrogate, 1, 183.0, 0.8055555555555556
surrogate, 1, 167.0, 0.7777777777777778
surrogate, 1, 111.0, 0.7222222222222222
surrogate, 2, 209.0, 0.9722222222222222
surrogate, 2, 192.0, 0.9444444444444444
surrogate, 2, 192.0, 0.9444444444444444
surrogate, 2, 128.0, 0.8611111111111112
surrogate, 2, 111.0, 0.7222222222222222
surrogate, 3, 201.0, 1.0
surrogate, 3, 192.0, 0.9444444444444444
surrogate, 3, 192.0, 0.9444444444444444
surrogate, 3, 128.0, 0.8611111111111112
surrogate, 3, 127.0, 0.8055555555555556
surrogate, 3, 111.0, 0.7222222222222222
emulator, 3.1, 216.0, 1.0
