generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.084375, 0.21875, 0.0, 10023.8, 50000.0, 27.0
2, 0.140625, 0.21875, 0.0625, 28.7, 30.0, 27.0
3, 0.18125, 0.21875, 0.09375, 28.1, 29.0, 27.0
4, 0.209375, 0.21875, 0.171875, 28.6, 29.0, 27.0
5, 0.209375, 0.21875, 0.171875, 28.4, 29.0, 27.0
6, 0.209375, 0.21875, 0.171875, 28.2, 29.0, 27.0
7, 0.2, 0.21875, 0.171875, 27.4, 29.0, 27.0
8, 0.209375, 0.21875, 0.171875, 27.2, 28.0, 27.0
9, 0.21875, 0.21875, 0.21875, 27.0, 27.0, 27.0
10, 0.21875, 0.21875, 0.21875, 27.0, 27.0, 27.0
