generation, latency, ar
1, 29.0, 0.21875
1, 27.0, 0.171875
2, 29.0, 0.21875
2, 29.0, 0.21875
2, 27.0, 0.171875
2, 27.0, 0.171875
3, 29.0, 0.21875
3, 29.0, 0.21875
3, 29.0, 0.21875
3, 29.0, 0.21875
3, 27.0, 0.171875
3, 27.0, 0.171875
3, 27.0, 0.171875
3, 27.0, 0.171875
4, 29.0, 0.21875
4, 29.0, 0.21875
4, 29.0, 0.21875
4, 29.0, 0.21875
4, 29.0, 0.21875
4, 29.0, 0.21875
4, 27.0, 0.171875
4, 27.0, 0.171875
4, 27.0, 0.171875
4, 27.0, 0.171875
4, 27.0, 0.171875
5, 27.0, 0.21875
6, 27.0, 0.21875
6, 27.0, 0.21875
7, 27.0, 0.21875
7, 27.0, 0.21875
7, 27.0, 0.21875
8, 27.0, 0.21875
8, 27.0, 0.21875
8, 27.0, 0.21875
8, 27.0, 0.21875
9, 27.0, 0.21875
9, 27.0, 0.21875
9, 27.0, 0.21875
9, 27.0, 0.21875
9, 27.0, 0.21875
9, 27.0, 0.21875
10, 27.0, 0.21875
10, 27.0, 0.21875
10, 27.0, 0.21875
10, 27.0, 0.21875
10, 27.0, 0.21875
10, 27.0, 0.21875
10, 27.0, 0.21875
