method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8625, 1.0, 0.5, 129.25, 162.0, 57.0
emulator, 1.1, 1.0, 1.0, 1.0, 148.0, 148.0, 148.0
