method, generation, power, ar
surrogate, 1, 210.0, 0.9791666666666666
surrogate, 1, 170.0, 0.9375
surrogate, 1, 97.0, 0.9166666666666666
surrogate, 1, 89.0, 0.8958333333333334
surrogate, 2, 210.0, 0.9791666666666666
surrogate, 2, 209.0, 0.9583333333333334
surrogate, 2, 170.0, 0.9375
surrogate, 2, 97.0, 0.9166666666666666
surrogate, 2, 97.0, 0.9166666666666666
surrogate, 2, 89.0, 0.8958333333333334
surrogate, 2, 88.0, 0.8541666666666666
surrogate, 2, 72.0, 0.8333333333333334
surrogate, 2, 71.0, 0.7083333333333334
surrogate, 3, 210.0, 0.9791666666666666
surrogate, 3, 202.0, 0.9583333333333334
surrogate, 3, 129.0, 0.9375
surrogate, 3, 97.0, 0.9166666666666666
surrogate, 3, 97.0, 0.9166666666666666
surrogate, 3, 89.0, 0.8958333333333334
surrogate, 3, 81.0, 0.8541666666666666
surrogate, 3, 72.0, 0.8333333333333334
surrogate, 3, 71.0, 0.7708333333333334
surrogate, 4, 210.0, 0.9791666666666666
surrogate, 4, 210.0, 0.9791666666666666
surrogate, 4, 202.0, 0.9583333333333334
surrogate, 4, 129.0, 0.9375
surrogate, 4, 97.0, 0.9166666666666666
surrogate, 4, 97.0, 0.9166666666666666
surrogate, 4, 89.0, 0.8958333333333334
surrogate, 4, 80.0, 0.875
surrogate, 4, 72.0, 0.8333333333333334
surrogate, 4, 71.0, 0.7708333333333334
surrogate, 5, 210.0, 1.0
surrogate, 5, 202.0, 0.9583333333333334
surrogate, 5, 129.0, 0.9375
surrogate, 5, 97.0, 0.9166666666666666
surrogate, 5, 97.0, 0.9166666666666666
surrogate, 5, 89.0, 0.8958333333333334
surrogate, 5, 80.0, 0.875
surrogate, 5, 72.0, 0.8333333333333334
surrogate, 5, 72.0, 0.8333333333333334
surrogate, 5, 71.0, 0.7708333333333334
surrogate, 5, 55.0, 0.6875
emulator, 5.1, 202.0, 1.0
