experiment,host,cpu,memory,duration
SFCs:4-Topology:0.5,h1,0.026217620237544346,776.26171875,2.0
SFCs:4-Topology:0.5,h2,0.042138340109555694,2503.7890625,2.0
SFCs:4-Topology:0.5,h4,0.0011056973828362752,35.98828125,2.0
SFCs:4-Topology:0.5,h3,0.013073458708891596,2563.6640625,2.0
SFCs:4-Topology:0.5,h5,0.001311017831624728,36.8046875,2.0
SFCs:4-Topology:0.5,h8,0.0017609320955714503,36.0234375,2.0
SFCs:4-Topology:0.5,h7,0.0013140982648401826,36.30859375,2.0
SFCs:4-Topology:0.5,h6,0.0010519772263662657,36.7109375,2.0
SFCs:4-Topology:0.5,h11,0.0008403496425240908,35.63671875,2.0
SFCs:4-Topology:0.5,h10,0.0013795781953719521,36.6015625,2.0
SFCs:4-Topology:0.5,h9,0.0009749529265255292,36.62109375,2.0
SFCs:4-Topology:0.5,h13,0.001175384653696498,36.51953125,2.0
SFCs:4-Topology:0.5,h14,0.0007282042341220424,36.5078125,2.0
SFCs:4-Topology:0.5,h12,0.0007403253184218702,37.05078125,2.0
SFCs:4-Topology:0.5,h4,0.0009261739503524364,35.98828125,2.0
SFCs:4-Topology:0.5,h1,0.29775178333333335,795.19921875,2.0
SFCs:4-Topology:0.5,h2,0.3779807750496866,2517.73828125,2.0
SFCs:4-Topology:0.5,h3,0.28467913426201286,2600.55078125,2.0
SFCs:4-Topology:0.5,h6,0.001178792339512793,36.7109375,2.0
SFCs:4-Topology:0.5,h11,0.0006531984702462904,35.640625,2.0
SFCs:4-Topology:0.5,h8,0.0012812130849898262,36.0234375,2.0
SFCs:4-Topology:0.5,h7,0.0011912629213483147,36.30859375,2.0
SFCs:4-Topology:0.5,h13,0.001385696528725178,36.51953125,2.0
SFCs:4-Topology:0.5,h9,0.0011405030927835052,36.625,2.0
SFCs:4-Topology:0.5,h14,0.00059815,36.5078125,2.0
SFCs:4-Topology:0.5,h5,0.0009458165832954373,36.8046875,2.0
SFCs:4-Topology:0.5,h10,0.0012311410973894013,36.6015625,2.0
SFCs:4-Topology:0.5,h12,0.0007360735406771871,37.05078125,2.0
SFCs:4-Topology:0.5,h1,0.2387829036946565,811.3984375,2.0
SFCs:4-Topology:0.5,h4,0.0010013795631586987,35.98828125,2.0
SFCs:4-Topology:0.5,h5,0.0010808664224664225,36.8046875,2.0
SFCs:4-Topology:0.5,h3,0.6443970051984436,2628.37890625,2.0
SFCs:4-Topology:0.5,h2,0.26811851601058034,2523.234375,2.0
SFCs:4-Topology:0.5,h7,0.0010658728155339807,36.30859375,2.0
SFCs:4-Topology:0.5,h10,0.0012211448486701315,36.60546875,2.0
SFCs:4-Topology:0.5,h6,0.0011346382875360558,36.7109375,2.0
SFCs:4-Topology:0.5,h8,0.001419963789080728,36.0234375,2.0
SFCs:4-Topology:0.5,h9,0.001150556150703586,36.6328125,2.0
SFCs:4-Topology:0.5,h11,0.0006907389830508474,35.640625,2.0
SFCs:4-Topology:0.5,h12,0.0006890624505928854,37.05078125,2.0
SFCs:4-Topology:0.5,h13,0.0012721511124941653,36.52734375,2.0
SFCs:4-Topology:0.5,h14,0.0007190672064777328,36.51171875,2.0
SFCs:4-Topology:0.5,h2,0.26767507188081935,2526.34765625,2.0
SFCs:4-Topology:0.5,h3,0.3368385449806051,2636.91015625,2.0
SFCs:4-Topology:0.5,h1,0.2866534225255973,832.06640625,2.0
SFCs:4-Topology:0.5,h6,0.0010320650485436892,36.7109375,2.0
SFCs:4-Topology:0.5,h4,0.0009685906235776059,35.98828125,2.0
SFCs:4-Topology:0.5,h5,0.001114595842382873,36.8046875,2.0
SFCs:4-Topology:0.5,h8,0.0013396583599574014,36.0234375,2.0
SFCs:4-Topology:0.5,h7,0.0009900034814475493,36.30859375,2.0
SFCs:4-Topology:0.5,h10,0.001351228942834769,36.60546875,2.0
SFCs:4-Topology:0.5,h9,0.0010223147958391555,36.63671875,2.0
SFCs:4-Topology:0.5,h13,0.0011074527235835805,36.52734375,2.0
SFCs:4-Topology:0.5,h14,0.0007985111662531017,36.51171875,2.0
SFCs:4-Topology:0.5,h12,0.0006557386335403726,37.05078125,2.0
SFCs:4-Topology:0.5,h11,0.0006188395084205735,35.640625,2.0
SFCs:4-Topology:0.5,h2,0.3545452419821484,2530.04296875,2.0
SFCs:4-Topology:0.5,h4,0.0008985144617280148,35.98828125,2.0
SFCs:4-Topology:0.5,h3,0.20891859587819134,2640.4609375,2.0
SFCs:4-Topology:0.5,h9,0.000995494665641814,36.63671875,2.0
SFCs:4-Topology:0.5,h1,0.2958066795996921,856.328125,2.0
SFCs:4-Topology:0.5,h7,0.0011811987692307692,36.30859375,2.0
SFCs:4-Topology:0.5,h6,0.0012159330358516695,36.7109375,2.0
SFCs:4-Topology:0.5,h10,0.0011359280566676933,36.60546875,2.0
SFCs:4-Topology:0.5,h11,0.0006181611701308699,35.640625,2.0
SFCs:4-Topology:0.5,h8,0.0010264104663690935,36.0234375,2.0
SFCs:4-Topology:0.5,h13,0.00113351921182266,36.52734375,2.0
SFCs:4-Topology:0.5,h14,0.0007688219009535528,36.51171875,2.0
SFCs:4-Topology:0.5,h5,0.0010730827586206896,36.8046875,2.0
SFCs:4-Topology:0.5,h12,0.0007577682720418526,37.0546875,2.0
SFCs:4-Topology:0.5,h1,0.33488659902622897,880.5859375,2.0
SFCs:4-Topology:0.5,h2,0.2643025039791059,2535.8125,2.0
SFCs:4-Topology:0.5,h3,0.4202216601411476,2641.9375,2.0
SFCs:4-Topology:0.5,h4,0.0009093907541084319,35.98828125,2.0
SFCs:4-Topology:0.5,h5,0.0011787411005225944,36.8046875,2.0
SFCs:4-Topology:0.5,h6,0.0009265266331658291,36.7109375,2.0
SFCs:4-Topology:0.5,h7,0.0012095479355333845,36.30859375,2.0
SFCs:4-Topology:0.5,h10,0.001018824164443747,36.60546875,2.0
SFCs:4-Topology:0.5,h11,0.0006340892095165004,35.640625,2.0
SFCs:4-Topology:0.5,h13,0.0011623993858436972,36.52734375,2.0
SFCs:4-Topology:0.5,h9,0.0010994144633809304,36.63671875,2.0
SFCs:4-Topology:0.5,h8,0.0012721333537989256,36.0234375,2.0
SFCs:4-Topology:0.5,h12,0.0007447668406509058,37.0625,2.0
SFCs:4-Topology:0.5,h14,0.0007227716303346638,36.51171875,2.0
SFCs:4-Topology:0.5,h2,0.3142026012177986,2538.1328125,2.0
SFCs:4-Topology:0.5,h1,0.28936703477304854,899.71875,2.0
SFCs:4-Topology:0.5,h7,0.0010906179578007084,36.30859375,2.0
SFCs:4-Topology:0.5,h6,0.0009872031828615149,36.7109375,2.0
SFCs:4-Topology:0.5,h3,0.3010954353822153,2645.109375,2.0
SFCs:4-Topology:0.5,h4,0.0008966759945130316,35.98828125,2.0
SFCs:4-Topology:0.5,h5,0.0010264843418590144,36.8046875,2.0
SFCs:4-Topology:0.5,h9,0.0010335541043637474,36.63671875,2.0
SFCs:4-Topology:0.5,h10,0.0011820618481244282,36.60546875,2.0
SFCs:4-Topology:0.5,h13,0.0011669645766590388,36.52734375,2.0
SFCs:4-Topology:0.5,h11,0.000588097014015844,35.640625,2.0
SFCs:4-Topology:0.5,h12,0.0006249253312548714,37.0625,2.0
SFCs:4-Topology:0.5,h14,0.0006163682539682539,36.51171875,2.0
SFCs:4-Topology:0.5,h8,0.0012309083041292092,36.0234375,2.0
SFCs:4-Topology:0.5,h1,0.27768877671826625,916.59765625,2.0
SFCs:4-Topology:0.5,h5,0.0011055365944272447,36.8046875,2.0
SFCs:4-Topology:0.5,h3,0.22227243759839482,2647.06640625,2.0
SFCs:4-Topology:0.5,h2,0.18393837468745178,2539.40234375,2.0
SFCs:4-Topology:0.5,h6,0.0010002432315757016,36.7109375,2.0
SFCs:4-Topology:0.5,h4,0.0008320490571822781,35.98828125,2.0
SFCs:4-Topology:0.5,h8,0.0012129837604198826,36.0234375,2.0
SFCs:4-Topology:0.5,h7,0.0010530839540229884,36.30859375,2.0
SFCs:4-Topology:0.5,h9,0.0011165586756591048,36.640625,2.0
SFCs:4-Topology:0.5,h10,0.0010262037457783237,36.609375,2.0
SFCs:4-Topology:0.5,h12,0.0007535967816803342,37.06640625,2.0
SFCs:4-Topology:0.5,h13,0.0013232412776412775,36.53515625,2.0
SFCs:4-Topology:0.5,h14,0.0006277131888544891,36.51171875,2.0
SFCs:4-Topology:0.5,h11,0.0007887664617809299,35.640625,2.0
SFCs:4-Topology:0.5,h2,0.2670238377656345,2543.5078125,2.0
SFCs:4-Topology:0.5,h1,0.2565501930372892,924.19921875,2.0
SFCs:4-Topology:0.5,h3,0.38082975051962153,2650.14453125,2.0
SFCs:4-Topology:0.5,h4,0.0008446837948252383,35.98828125,2.0
SFCs:4-Topology:0.5,h6,0.0010538949809305873,36.7109375,2.0
SFCs:4-Topology:0.5,h8,0.0012970683291770573,36.0234375,2.0
SFCs:4-Topology:0.5,h7,0.0011420810481984089,36.30859375,2.0
SFCs:4-Topology:0.5,h5,0.001140442329978652,36.8046875,2.0
SFCs:4-Topology:0.5,h9,0.0011880732719613044,36.640625,2.0
SFCs:4-Topology:0.5,h11,0.0006470454684162344,35.640625,2.0
SFCs:4-Topology:0.5,h13,0.0012092859609268514,36.53515625,2.0
SFCs:4-Topology:0.5,h12,0.0006798838569880823,37.0703125,2.0
SFCs:4-Topology:0.5,h10,0.001340236842907207,36.609375,2.0
SFCs:4-Topology:0.5,h14,0.0007016139476961395,36.51171875,2.0
SFCs:4-Topology:0.5,h1,0.27697982431761786,931.6015625,2.0
SFCs:4-Topology:0.5,h4,0.0008691066997518611,35.98828125,2.0
SFCs:4-Topology:0.5,h2,0.2453159063130138,2547.31640625,2.0
SFCs:4-Topology:0.5,h3,0.25426640473229184,2652.28515625,2.0
SFCs:4-Topology:0.5,h8,0.001379784839559758,36.0234375,2.0
SFCs:4-Topology:0.5,h6,0.0011135883406710187,36.7109375,2.0
SFCs:4-Topology:0.5,h7,0.0012359408521303258,36.30859375,2.0
SFCs:4-Topology:0.5,h9,0.001120873786407767,36.64453125,2.0
SFCs:4-Topology:0.5,h10,0.0011138939072446196,36.609375,2.0
SFCs:4-Topology:0.5,h5,0.000985208678500986,36.8046875,2.0
SFCs:4-Topology:0.5,h11,0.0006151626236493684,35.6484375,2.0
SFCs:4-Topology:0.5,h12,0.0008014747651847214,37.0703125,2.0
SFCs:4-Topology:0.5,h14,0.0006247205232014949,36.51171875,2.0
SFCs:4-Topology:0.5,h13,0.0011134737481031866,36.53515625,2.0
SFCs:4-Topology:0.5,h3,0.16724121580170412,2654.71484375,2.0
SFCs:4-Topology:0.5,h5,0.0012659001704105346,36.8046875,2.0
SFCs:4-Topology:0.5,h2,0.4495146934324659,2562.359375,2.0
SFCs:4-Topology:0.5,h4,0.0009287134263565891,35.98828125,2.0
SFCs:4-Topology:0.5,h1,0.2503972933083177,935.9296875,2.0
SFCs:4-Topology:0.5,h6,0.0011511731061192873,36.7109375,2.0
SFCs:4-Topology:0.5,h7,0.0009019853739948415,36.30859375,2.0
SFCs:4-Topology:0.5,h8,0.0011994728155339807,36.0234375,2.0
