experiment,sfc,requests,average_latency,duration
SFCs:4-Topology:0.5,sfc3-one,6,9407.553710666667,2.0
SFCs:4-Topology:0.5,sfc0-one,9,7291.954746111111,2.0
SFCs:4-Topology:0.5,sfc1-one,12,5672.123433,2.0
SFCs:4-Topology:0.5,sfc2-one,6,9616.1380055,2.0
SFCs:4-Topology:0.5,sfc3-one,2,29818.55594,2.0
SFCs:4-Topology:0.5,sfc0-one,25,8381.191970079999,2.0
SFCs:4-Topology:0.5,sfc1-one,14,5351.020505428571,2.0
SFCs:4-Topology:0.5,sfc2-one,2,20750.745273,2.0
SFCs:4-Topology:0.5,sfc3-one,10,7370.327505600001,2.0
SFCs:4-Topology:0.5,sfc0-one,16,6063.16828675,2.0
SFCs:4-Topology:0.5,sfc1-one,10,5249.7150335,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4978.814209333334,2.0
SFCs:4-Topology:0.5,sfc3-one,10,8092.865991300001,2.0
SFCs:4-Topology:0.5,sfc0-one,21,9700.799060285712,2.0
SFCs:4-Topology:0.5,sfc1-one,8,4924.914911999999,2.0
SFCs:4-Topology:0.5,sfc2-one,4,21032.76364925,2.0
SFCs:4-Topology:0.5,sfc3-one,9,9170.669196444444,2.0
SFCs:4-Topology:0.5,sfc0-one,16,5564.183042625001,2.0
SFCs:4-Topology:0.5,sfc1-one,11,4923.6671625454555,2.0
SFCs:4-Topology:0.5,sfc2-one,1,4539.596707,2.0
SFCs:4-Topology:0.5,sfc3-one,11,8818.677195636363,2.0
SFCs:4-Topology:0.5,sfc0-one,13,9693.116547076923,2.0
SFCs:4-Topology:0.5,sfc1-one,19,7438.50651936842,2.0
SFCs:4-Topology:0.5,sfc2-one,2,4328.8049009999995,2.0
SFCs:4-Topology:0.5,sfc3-one,7,16529.287598714287,2.0
SFCs:4-Topology:0.5,sfc0-one,14,10070.017805785714,2.0
SFCs:4-Topology:0.5,sfc1-one,12,7434.435560416668,2.0
SFCs:4-Topology:0.5,sfc2-one,6,9672.966655833334,2.0
SFCs:4-Topology:0.5,sfc3-one,10,7822.451916699999,2.0
SFCs:4-Topology:0.5,sfc0-one,11,10246.803791727272,2.0
SFCs:4-Topology:0.5,sfc1-one,13,3867.053526307692,2.0
SFCs:4-Topology:0.5,sfc2-one,2,4119.3465595,2.0
SFCs:4-Topology:0.5,sfc3-one,15,6382.071437133332,2.0
SFCs:4-Topology:0.5,sfc0-one,14,8916.367624357144,2.0
SFCs:4-Topology:0.5,sfc1-one,12,4614.042715333334,2.0
SFCs:4-Topology:0.5,sfc3-one,10,4298.1150503,2.0
SFCs:4-Topology:0.5,sfc0-one,12,7860.634557499999,2.0
SFCs:4-Topology:0.5,sfc1-one,13,7433.402416923078,2.0
SFCs:4-Topology:0.5,sfc2-one,2,5882.426164500001,2.0
SFCs:4-Topology:0.5,sfc3-one,10,8426.443375500001,2.0
SFCs:4-Topology:0.5,sfc0-one,13,4579.530997076924,2.0
SFCs:4-Topology:0.5,sfc1-one,8,8138.031242499999,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4907.1093476666665,2.0
SFCs:4-Topology:0.5,sfc3-one,6,3563.508117,2.0
SFCs:4-Topology:0.5,sfc0-one,14,2950.7492223571426,2.0
SFCs:4-Topology:0.5,sfc1-one,4,5003.4425425,2.0
SFCs:4-Topology:0.5,sfc3-one,10,5002.297676,2.0
SFCs:4-Topology:0.5,sfc0-one,10,4421.7578658,2.0
SFCs:4-Topology:0.5,sfc1-one,7,4383.079197714286,2.0
SFCs:4-Topology:0.5,sfc2-one,1,3400.189665,2.0
SFCs:4-Topology:0.5,sfc3-one,5,4047.1230658,2.0
SFCs:4-Topology:0.5,sfc0-one,9,3408.1694650000004,2.0
SFCs:4-Topology:0.5,sfc1-one,5,5502.2900222,2.0
SFCs:4-Topology:0.5,sfc2-one,1,4596.674941,2.0
SFCs:4-Topology:0.5,sfc3-one,5,7308.268892199999,2.0
SFCs:4-Topology:0.5,sfc0-one,6,5452.994461833333,2.0
SFCs:4-Topology:0.5,sfc1-one,2,2921.3019544999997,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4616.631807000001,2.0
SFCs:4-Topology:0.5,sfc3-one,7,3813.541312428572,2.0
SFCs:4-Topology:0.5,sfc0-one,10,4787.1576644,2.0
SFCs:4-Topology:0.5,sfc1-one,8,5621.603998375001,2.0
SFCs:4-Topology:0.5,sfc2-one,3,6673.607114666666,2.0
SFCs:4-Topology:0.5,sfc3-one,6,5077.0378494999995,2.0
SFCs:4-Topology:0.5,sfc0-one,12,5061.169057583334,2.0
SFCs:4-Topology:0.5,sfc1-one,7,3743.7378672857144,2.0
SFCs:4-Topology:0.5,sfc2-one,3,6665.271640333333,2.0
SFCs:4-Topology:0.5,sfc3-one,8,5245.2200465,2.0
SFCs:4-Topology:0.5,sfc0-one,12,6302.8784185,2.0
SFCs:4-Topology:0.5,sfc1-one,4,2786.45286375,2.0
SFCs:4-Topology:0.5,sfc2-one,4,4399.37651475,2.0
SFCs:4-Topology:0.5,sfc3-one,9,4134.872310222222,2.0
SFCs:4-Topology:0.5,sfc0-one,9,3629.5309332222223,2.0
SFCs:4-Topology:0.5,sfc1-one,5,3790.0929945999997,2.0
SFCs:4-Topology:0.5,sfc2-one,5,7129.6039236,2.0
SFCs:4-Topology:0.5,sfc3-one,5,4329.8910736,2.0
SFCs:4-Topology:0.5,sfc0-one,13,6281.950308923077,2.0
SFCs:4-Topology:0.5,sfc1-one,8,4008.800136375,2.0
SFCs:4-Topology:0.5,sfc2-one,3,5586.033926,2.0
SFCs:4-Topology:0.5,sfc3-one,8,10850.68742325,2.0
SFCs:4-Topology:0.5,sfc0-one,9,6100.748691111111,2.0
SFCs:4-Topology:0.5,sfc1-one,6,4125.7050645,2.0
SFCs:4-Topology:0.5,sfc2-one,1,4682.29556,2.0
SFCs:4-Topology:0.5,sfc3-one,5,10941.574453,2.0
SFCs:4-Topology:0.5,sfc0-one,7,6926.128222571429,2.0
SFCs:4-Topology:0.5,sfc1-one,4,5486.5064535,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4711.275917333333,2.0
SFCs:4-Topology:0.5,sfc3-one,6,9986.573115833335,2.0
SFCs:4-Topology:0.5,sfc0-one,3,3307.223328,2.0
SFCs:4-Topology:0.5,sfc1-one,3,4018.403784,2.0
SFCs:4-Topology:0.5,sfc2-one,4,5697.30346875,2.0
SFCs:4-Topology:0.5,sfc3-one,7,3337.025474857143,2.0
SFCs:4-Topology:0.5,sfc0-one,15,6382.647574266666,2.0
SFCs:4-Topology:0.5,sfc1-one,8,4271.98870375,2.0
SFCs:4-Topology:0.5,sfc2-one,6,8828.432013333333,2.0
SFCs:4-Topology:0.5,sfc3-one,9,4813.278604000001,2.0
SFCs:4-Topology:0.5,sfc0-one,18,4003.9699423333336,2.0
SFCs:4-Topology:0.5,sfc1-one,5,7681.3051484,2.0
SFCs:4-Topology:0.5,sfc2-one,4,5383.1329945,2.0
SFCs:4-Topology:0.5,sfc3-one,9,4006.608050444445,2.0
SFCs:4-Topology:0.5,sfc0-one,12,10801.491984166665,2.0
SFCs:4-Topology:0.5,sfc1-one,8,4731.774027,2.0
SFCs:4-Topology:0.5,sfc2-one,1,3743.385176,2.0
SFCs:4-Topology:0.5,sfc3-one,7,4513.177238428571,2.0
SFCs:4-Topology:0.5,sfc0-one,12,10647.989516416666,2.0
SFCs:4-Topology:0.5,sfc1-one,1,7563.00076,2.0
SFCs:4-Topology:0.5,sfc2-one,4,4461.8097265,2.0
SFCs:4-Topology:0.5,sfc3-one,4,7095.06128575,2.0
SFCs:4-Topology:0.5,sfc0-one,7,8607.470742571428,2.0
SFCs:4-Topology:0.5,sfc1-one,4,13780.46007175,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4497.676841666666,2.0
SFCs:4-Topology:0.5,sfc3-one,7,8134.630582,2.0
SFCs:4-Topology:0.5,sfc0-one,3,13898.158759999998,2.0
SFCs:4-Topology:0.5,sfc1-one,5,15150.758468200002,2.0
SFCs:4-Topology:0.5,sfc2-one,3,17469.948882,2.0
SFCs:4-Topology:0.5,sfc3-one,7,6946.520920571428,2.0
SFCs:4-Topology:0.5,sfc0-one,7,6337.885686142858,2.0
SFCs:4-Topology:0.5,sfc1-one,6,6676.896336499999,2.0
SFCs:4-Topology:0.5,sfc2-one,4,13474.7754335,2.0
SFCs:4-Topology:0.5,sfc3-one,8,13862.066363500002,2.0
SFCs:4-Topology:0.5,sfc0-one,9,7504.71365111111,2.0
SFCs:4-Topology:0.5,sfc1-one,8,8028.009789125,2.0
SFCs:4-Topology:0.5,sfc2-one,6,16695.824821166665,2.0
SFCs:4-Topology:0.5,sfc3-one,13,9606.30846046154,2.0
SFCs:4-Topology:0.5,sfc0-one,5,6890.6665078000005,2.0
SFCs:4-Topology:0.5,sfc1-one,7,7681.1022675714285,2.0
SFCs:4-Topology:0.5,sfc2-one,5,5772.117251000001,2.0
SFCs:4-Topology:0.5,sfc3-one,9,7732.799196111111,2.0
SFCs:4-Topology:0.5,sfc0-one,6,6063.691850833334,2.0
SFCs:4-Topology:0.5,sfc1-one,3,16399.713947333334,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4820.051094333333,2.0
SFCs:4-Topology:0.5,sfc3-one,3,4952.383679,2.0
SFCs:4-Topology:0.5,sfc0-one,12,6777.528516833333,2.0
SFCs:4-Topology:0.5,sfc1-one,9,8234.882088333332,2.0
SFCs:4-Topology:0.5,sfc2-one,1,35846.11883,2.0
SFCs:4-Topology:0.5,sfc3-one,7,14944.354154571429,2.0
SFCs:4-Topology:0.5,sfc0-one,7,8327.768273142856,2.0
SFCs:4-Topology:0.5,sfc1-one,6,8663.535520333333,2.0
SFCs:4-Topology:0.5,sfc2-one,3,5590.2741080000005,2.0
SFCs:4-Topology:0.5,sfc3-one,11,5316.976204090908,2.0
SFCs:4-Topology:0.5,sfc0-one,10,8014.358923499999,2.0
SFCs:4-Topology:0.5,sfc1-one,8,4415.300285875,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4415.750509333334,2.0
SFCs:4-Topology:0.5,sfc3-one,7,3601.6729117142863,2.0
SFCs:4-Topology:0.5,sfc0-one,7,16118.524968571428,2.0
SFCs:4-Topology:0.5,sfc1-one,5,7557.9565,2.0
SFCs:4-Topology:0.5,sfc2-one,2,5275.313667,2.0
SFCs:4-Topology:0.5,sfc3-one,5,3652.2087512,2.0
SFCs:4-Topology:0.5,sfc0-one,5,3480.8824126,2.0
SFCs:4-Topology:0.5,sfc1-one,12,7685.64002975,2.0
SFCs:4-Topology:0.5,sfc2-one,2,4405.6325885,2.0
SFCs:4-Topology:0.5,sfc3-one,13,5373.2118152307685,2.0
SFCs:4-Topology:0.5,sfc0-one,12,5511.54394425,2.0
SFCs:4-Topology:0.5,sfc1-one,9,6548.791263777779,2.0
SFCs:4-Topology:0.5,sfc2-one,2,4662.36179,2.0
SFCs:4-Topology:0.5,sfc3-one,4,4213.38592175,2.0
SFCs:4-Topology:0.5,sfc0-one,10,10213.1548967,2.0
SFCs:4-Topology:0.5,sfc1-one,5,4687.786895,2.0
SFCs:4-Topology:0.5,sfc2-one,2,5115.092177500001,2.0
SFCs:4-Topology:0.5,sfc3-one,4,11807.2079275,2.0
SFCs:4-Topology:0.5,sfc0-one,9,3716.2342442222216,2.0
SFCs:4-Topology:0.5,sfc1-one,5,4749.6060008,2.0
SFCs:4-Topology:0.5,sfc2-one,4,5531.117675750001,2.0
SFCs:4-Topology:0.5,sfc3-one,5,7740.441597200001,2.0
SFCs:4-Topology:0.5,sfc0-one,2,10087.418354000001,2.0
SFCs:4-Topology:0.5,sfc1-one,9,5146.857775222223,2.0
SFCs:4-Topology:0.5,sfc2-one,5,7186.9708038,2.0
SFCs:4-Topology:0.5,sfc3-one,3,3537.205876666667,2.0
SFCs:4-Topology:0.5,sfc0-one,7,2205.4903444285715,2.0
SFCs:4-Topology:0.5,sfc1-one,6,3466.240185833333,2.0
SFCs:4-Topology:0.5,sfc2-one,2,4547.936765,2.0
SFCs:4-Topology:0.5,sfc3-one,4,4296.791599,2.0
SFCs:4-Topology:0.5,sfc0-one,12,4007.5822057499995,2.0
SFCs:4-Topology:0.5,sfc1-one,4,7116.6188595,2.0
SFCs:4-Topology:0.5,sfc2-one,1,3674.185568,2.0
SFCs:4-Topology:0.5,sfc3-one,6,4006.0491806666664,2.0
SFCs:4-Topology:0.5,sfc0-one,11,5082.108210636365,2.0
SFCs:4-Topology:0.5,sfc1-one,5,4908.6825241999995,2.0
SFCs:4-Topology:0.5,sfc2-one,1,4210.662716,2.0
SFCs:4-Topology:0.5,sfc3-one,6,10331.509272500001,2.0
SFCs:4-Topology:0.5,sfc0-one,12,3736.2448201666666,2.0
SFCs:4-Topology:0.5,sfc1-one,5,3270.1078832,2.0
SFCs:4-Topology:0.5,sfc2-one,2,5449.478438,2.0
SFCs:4-Topology:0.5,sfc3-one,4,5606.715824749999,2.0
SFCs:4-Topology:0.5,sfc0-one,9,8382.377967666665,2.0
SFCs:4-Topology:0.5,sfc1-one,5,11862.838007800001,2.0
SFCs:4-Topology:0.5,sfc2-one,5,6496.437492,2.0
SFCs:4-Topology:0.5,sfc3-one,2,3701.3218024999996,2.0
SFCs:4-Topology:0.5,sfc0-one,15,5677.0211408000005,2.0
SFCs:4-Topology:0.5,sfc1-one,4,12157.7723895,2.0
SFCs:4-Topology:0.5,sfc2-one,2,6347.772440000001,2.0
SFCs:4-Topology:0.5,sfc3-one,2,13858.7412725,2.0
SFCs:4-Topology:0.5,sfc0-one,13,2821.135622538462,2.0
SFCs:4-Topology:0.5,sfc1-one,6,4036.786194166667,2.0
SFCs:4-Topology:0.5,sfc3-one,1,10554.085742,2.0
SFCs:4-Topology:0.5,sfc0-one,11,5398.426986909092,2.0
SFCs:4-Topology:0.5,sfc1-one,2,5126.856393,2.0
SFCs:4-Topology:0.5,sfc3-one,6,5646.607697166667,2.0
SFCs:4-Topology:0.5,sfc0-one,9,7137.738900222222,2.0
SFCs:4-Topology:0.5,sfc1-one,7,3961.6207975714283,2.0
SFCs:4-Topology:0.5,sfc2-one,2,4156.5122065,2.0
SFCs:4-Topology:0.5,sfc3-one,9,6430.229052888889,2.0
SFCs:4-Topology:0.5,sfc0-one,13,4980.622213153846,2.0
SFCs:4-Topology:0.5,sfc1-one,11,6869.534914636362,2.0
SFCs:4-Topology:0.5,sfc3-one,9,4997.042542888888,2.0
SFCs:4-Topology:0.5,sfc0-one,10,7369.4509896,2.0
SFCs:4-Topology:0.5,sfc1-one,5,5754.8677418,2.0
SFCs:4-Topology:0.5,sfc2-one,3,4564.745688333333,2.0
SFCs:4-Topology:0.5,sfc3-one,8,10354.582957875,2.0
SFCs:4-Topology:0.5,sfc0-one,12,5019.233918250001,2.0
SFCs:4-Topology:0.5,sfc1-one,17,6095.247316058823,2.0
SFCs:4-Topology:0.5,sfc2-one,1,3849.196737,2.0
SFCs:4-Topology:0.5,sfc3-one,11,4541.0201993636365,2.0
SFCs:4-Topology:0.5,sfc0-one,8,4772.425233125001,2.0
SFCs:4-Topology:0.5,sfc1-one,10,7024.317541699999,2.0
SFCs:4-Topology:0.5,sfc2-one,9,9530.504698777777,2.0
SFCs:4-Topology:0.5,sfc3-one,7,4005.436470285714,2.0
SFCs:4-Topology:0.5,sfc0-one,8,3962.5605678750003,2.0
SFCs:4-Topology:0.5,sfc1-one,7,8246.002675714286,2.0
SFCs:4-Topology:0.5,sfc2-one,7,13056.830043714286,2.0
SFCs:4-Topology:0.5,sfc3-one,5,4009.5209402,2.0
SFCs:4-Topology:0.5,sfc0-one,14,4776.142304,2.0
SFCs:4-Topology:0.5,sfc1-one,9,4408.196175222222,2.0
SFCs:4-Topology:0.5,sfc2-one,3,11744.176892333335,2.0
SFCs:4-Topology:0.5,sfc3-one,11,4336.925212090909,2.0
SFCs:4-Topology:0.5,sfc0-one,20,5525.3145405,2.0
SFCs:4-Topology:0.5,sfc1-one,6,4779.949436666667,2.0
SFCs:4-Topology:0.5,sfc3-one,3,16075.629218666667,2.0
SFCs:4-Topology:0.5,sfc0-one,11,4454.565594272727,2.0
SFCs:4-Topology:0.5,sfc1-one,3,13347.100781333334,2.0
SFCs:4-Topology:0.5,sfc2-one,4,4809.1372325,2.0
SFCs:4-Topology:0.5,sfc3-one,8,6718.074838500001,2.0
SFCs:4-Topology:0.5,sfc0-one,8,3219.12353175,2.0
SFCs:4-Topology:0.5,sfc1-one,3,15654.060129,2.0
SFCs:4-Topology:0.5,sfc2-one,3,5939.468093333334,2.0
SFCs:4-Topology:0.5,sfc3-one,8,17344.609459,2.0
SFCs:4-Topology:0.5,sfc0-one,19,11358.49565326316,2.0
SFCs:4-Topology:0.5,sfc1-one,5,4924.5119762,2.0
SFCs:4-Topology:0.5,sfc2-one,3,5311.591686333333,2.0
SFCs:4-Topology:0.5,sfc3-one,4,4634.02168125,2.0
SFCs:4-Topology:0.5,sfc0-one,16,3561.613815562501,2.0
SFCs:4-Topology:0.5,sfc1-one,6,7825.070273333334,2.0
SFCs:4-Topology:0.5,sfc2-one,3,8310.497651666667,2.0
SFCs:4-Topology:0.5,sfc3-one,4,4417.3722425,2.0
SFCs:4-Topology:0.5,sfc0-one,16,3368.202230625,2.0
SFCs:4-Topology:0.5,sfc1-one,8,6240.5376805,2.0
SFCs:4-Topology:0.5,sfc2-one,1,4586.701899,2.0
SFCs:4-Topology:0.5,sfc3-one,7,7697.875625,2.0
SFCs:4-Topology:0.5,sfc0-one,15,3971.2769258,2.0
SFCs:4-Topology:0.5,sfc1-one,2,3379.1681325,2.0
SFCs:4-Topology:0.5,sfc2-one,2,5236.0595755,2.0
SFCs:4-Topology:0.5,sfc3-one,9,10299.490093888888,2.0
SFCs:4-Topology:0.5,sfc0-one,15,11197.669326199997,2.0
SFCs:4-Topology:0.5,sfc1-one,4,12043.359902,2.0
SFCs:4-Topology:0.5,sfc3-one,5,4383.5856447999995,2.0
SFCs:4-Topology:0.5,sfc0-one,14,6015.585997428571,2.0
SFCs:4-Topology:0.5,sfc1-one,2,5313.171872999999,2.0
SFCs:4-Topology:0.5,sfc2-one,3,7544.58535,2.0
SFCs:4-Topology:0.5,sfc3-one,3,4676.491439666666,2.0
SFCs:4-Topology:0.5,sfc0-one,12,7607.764678,2.0
SFCs:4-Topology:0.5,sfc1-one,9,6277.138097666666,2.0
SFCs:4-Topology:0.5,sfc2-one,3,18145.315595000004,2.0
SFCs:4-Topology:0.5,sfc3-one,6,4976.9286993333335,2.0
