# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
8.00,6.00,3.76,25.38,16.00,0.01,27.39
8.00,36.00,1.88,17.39,14.00,0.01,25.28
8.00,16.00,3.76,25.38,16.00,0.01,27.39
8.00,5.00,3.45,27.88,14.00,0.01,25.29
8.00,42.00,3.76,25.38,16.00,0.01,27.39
8.00,21.00,3.76,25.38,16.00,0.01,27.39
8.00,13.00,3.76,25.38,16.00,0.01,27.39
8.00,25.00,2.82,20.68,14.00,0.01,25.29
8.00,45.00,3.76,25.38,16.00,0.01,27.39
8.00,0.00,3.76,25.38,16.00,0.01,27.39
8.00,20.00,3.45,27.88,14.00,0.01,25.29
8.00,29.00,1.88,9.40,10.00,0.01,21.27
8.00,34.00,3.45,27.88,14.00,0.01,25.29
8.00,37.00,3.76,25.38,16.00,0.01,27.39
8.00,22.00,3.76,25.38,16.00,0.01,27.39
8.00,24.00,3.76,25.38,16.00,0.01,27.39
8.00,47.00,3.76,25.38,16.00,0.01,27.39
8.00,12.00,3.76,25.38,16.00,0.01,27.39
8.00,8.00,3.76,27.88,16.00,0.01,27.20
8.00,27.00,3.76,25.38,16.00,0.01,27.39
8.00,3.00,3.76,25.38,16.00,0.01,27.39
8.00,11.00,3.76,25.38,16.00,0.01,27.39
8.00,9.00,3.76,25.38,16.00,0.01,27.39
8.00,32.00,3.76,25.38,16.00,0.01,27.39
8.00,39.00,3.76,25.38,16.00,0.01,27.39
8.00,26.00,3.76,25.38,16.00,0.01,27.39
8.00,31.00,3.45,27.88,14.00,0.01,25.29
8.00,17.00,3.76,25.38,16.00,0.01,27.39
8.00,30.00,3.76,25.38,16.00,0.01,27.39
8.00,46.00,1.88,17.39,14.00,0.01,25.28
8.00,7.00,11.28,84.69,17.78,0.02,28.92
8.00,4.00,7.52,44.93,17.60,0.01,29.06
8.00,28.00,3.76,25.38,16.00,0.01,27.39
8.00,10.00,11.28,84.69,17.78,0.02,28.92
8.00,23.00,15.04,122.55,19.38,0.03,30.46
8.00,35.00,10.34,79.07,18.50,0.02,29.62
8.00,1.00,19.74,156.61,20.25,0.03,31.52
8.00,2.00,11.28,85.95,18.00,0.02,29.14
8.00,62.00,3.76,25.38,16.00,0.01,27.39
8.00,44.00,3.45,27.88,14.00,0.01,25.29
8.00,52.00,3.76,25.38,16.00,0.01,27.39
8.00,40.00,3.76,25.38,16.00,0.01,27.39
8.00,19.00,3.76,25.38,16.00,0.01,27.39
8.00,49.00,1.88,15.04,20.00,0.01,31.40
8.00,63.00,3.76,25.38,16.00,0.01,27.39
8.00,57.00,3.76,25.38,16.00,0.01,27.39
8.00,54.00,3.45,27.88,14.00,0.01,25.29
8.00,15.00,3.76,25.38,16.00,0.01,27.39
8.00,18.00,3.76,25.38,16.00,0.01,27.39
8.00,58.00,3.45,27.88,14.00,0.01,25.29
8.00,33.00,3.76,25.38,16.00,0.01,27.39
8.00,56.00,3.76,25.38,16.00,0.01,27.39
8.00,55.00,3.76,25.38,16.00,0.01,27.39
8.00,50.00,3.76,25.38,16.00,0.01,27.39
8.00,38.00,3.76,25.38,16.00,0.01,27.39
8.00,14.00,3.76,25.38,16.00,0.01,27.39
8.00,59.00,3.45,27.88,14.00,0.01,25.29
8.00,41.00,3.76,27.88,16.00,0.01,27.20
8.00,60.00,3.76,25.38,16.00,0.01,27.39
8.00,48.00,11.28,83.65,17.11,0.02,28.24
8.00,51.00,12.22,76.44,17.56,0.01,29.01
8.00,53.00,18.80,141.80,19.33,0.03,30.58
8.00,61.00,11.28,84.69,17.78,0.02,28.92
8.00,43.00,18.80,141.80,19.33,0.03,30.58
8.00,64.00,3.76,27.88,16.00,0.01,27.20
8.00,66.00,3.45,27.88,14.00,0.01,25.29
8.00,65.00,3.45,27.88,14.00,0.01,25.29
8.00,69.00,3.76,25.38,16.00,0.01,27.39
8.00,68.00,3.76,25.38,16.00,0.01,27.39
8.00,67.00,11.28,84.17,18.89,0.02,30.08
8.00,70.00,11.28,87.41,18.22,0.02,29.35
8.00,71.00,11.28,84.69,17.78,0.02,28.92
8.00,72.00,15.04,122.69,19.38,0.02,30.60
8.00,78.00,1.88,9.40,10.00,0.01,21.27
8.00,83.00,1.88,9.40,8.00,0.01,19.30
8.00,76.00,1.88,9.40,10.00,0.01,21.27
8.00,81.00,1.88,10.34,10.00,0.01,21.40
8.00,91.00,3.76,25.38,16.00,0.01,27.39
8.00,80.00,3.76,25.38,16.00,0.01,27.39
8.00,73.00,1.88,9.40,10.00,0.01,21.27
8.00,77.00,3.45,27.88,14.00,0.01,25.29
8.00,84.00,3.76,25.38,16.00,0.01,27.39
8.00,89.00,1.88,10.34,10.00,0.01,21.40
8.00,90.00,3.45,27.88,14.00,0.01,25.29
8.00,87.00,3.76,25.38,16.00,0.01,27.39
8.00,75.00,3.76,25.38,16.00,0.01,27.39
8.00,82.00,2.82,20.68,14.00,0.01,25.29
8.00,88.00,3.76,25.38,16.00,0.01,27.39
8.00,74.00,3.76,25.38,16.00,0.01,27.39
8.00,86.00,3.45,27.88,14.00,0.01,25.29
8.00,93.00,9.40,82.19,17.33,0.02,28.40
8.00,79.00,3.45,27.88,14.00,0.01,25.29
8.00,85.00,12.22,76.44,17.56,0.01,29.01
8.00,97.00,1.88,9.40,8.00,0.01,19.30
8.00,96.00,3.76,25.38,16.00,0.01,27.39
8.00,98.00,3.76,25.38,16.00,0.01,27.39
8.00,99.00,3.76,25.38,16.00,0.01,27.39
8.00,95.00,3.76,27.88,16.00,0.01,27.20
8.00,92.00,3.76,31.64,18.67,0.01,29.92
8.00,94.00,10.34,85.32,19.11,0.02,30.46
