# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
220.00,18.00,1.85,10.18,10.00,0.01,21.15
220.00,23.00,1.85,10.18,10.00,0.01,21.15
220.00,10.00,1.85,10.18,10.00,0.01,21.15
220.00,4.00,1.85,10.18,10.00,0.01,21.15
220.00,17.00,1.85,10.18,10.00,0.01,21.15
220.00,6.00,1.85,10.18,12.00,0.02,23.12
220.00,0.00,1.85,10.18,10.00,0.01,21.15
220.00,19.00,1.85,10.18,10.00,0.01,21.15
220.00,2.00,1.85,10.18,10.00,0.01,21.15
220.00,9.00,1.85,10.18,10.00,0.01,21.15
220.00,15.00,1.85,10.18,10.00,0.01,21.15
220.00,20.00,1.85,10.18,10.00,0.01,21.15
220.00,5.00,3.70,17.59,11.00,0.04,22.40
220.00,25.00,1.85,10.18,10.00,0.01,21.15
220.00,1.00,1.85,10.18,10.00,0.01,21.15
220.00,8.00,1.85,10.18,10.00,0.01,21.15
220.00,16.00,1.85,10.18,10.00,0.01,21.15
220.00,7.00,13.88,115.20,17.85,0.06,34.07
220.00,21.00,1.85,10.18,10.00,0.01,21.15
220.00,14.00,14.81,106.67,17.33,0.06,29.97
220.00,11.00,13.88,112.35,17.54,0.06,30.09
220.00,12.00,22.21,181.46,18.60,0.08,30.36
220.00,13.00,35.17,264.26,21.08,0.10,33.16
220.00,3.00,44.43,305.78,22.64,0.11,34.47
220.00,22.00,1.85,10.18,10.00,0.01,21.15
220.00,42.00,1.85,10.18,10.00,0.01,21.15
220.00,46.00,1.85,10.18,10.00,0.01,21.15
220.00,36.00,1.85,10.18,10.00,0.01,21.15
220.00,39.00,1.85,10.18,10.00,0.01,21.15
220.00,37.00,1.85,10.18,10.00,0.01,21.15
220.00,29.00,1.85,10.18,10.00,0.01,21.15
220.00,45.00,1.85,10.18,10.00,0.01,21.15
220.00,34.00,1.85,10.18,10.00,0.01,21.15
220.00,40.00,1.85,10.18,10.00,0.01,21.15
220.00,48.00,1.85,10.18,10.00,0.01,21.15
220.00,30.00,1.85,10.18,10.00,0.01,21.15
220.00,50.00,1.85,10.18,10.00,0.01,21.15
220.00,32.00,1.85,10.18,10.00,0.01,21.15
220.00,31.00,1.85,10.18,10.00,0.01,21.15
220.00,24.00,1.85,10.18,10.00,0.01,21.15
220.00,28.00,1.85,10.18,10.00,0.01,21.15
220.00,47.00,1.85,10.18,10.00,0.01,21.15
220.00,27.00,1.85,10.18,10.00,0.01,21.15
220.00,44.00,1.85,10.18,10.00,0.01,21.15
220.00,41.00,1.85,10.18,10.00,0.01,21.15
220.00,43.00,19.44,153.81,18.35,0.08,30.12
220.00,49.00,25.92,220.86,19.22,0.10,31.59
220.00,26.00,44.43,302.04,22.36,0.11,34.23
220.00,35.00,35.17,279.77,21.19,0.11,33.48
220.00,38.00,35.17,264.40,20.92,0.11,33.25
220.00,68.00,1.85,10.18,10.00,0.01,21.15
220.00,71.00,1.85,10.18,10.00,0.01,21.15
220.00,67.00,1.85,10.18,10.00,0.01,21.15
220.00,69.00,1.85,10.18,10.00,0.01,21.15
220.00,66.00,1.85,10.18,10.00,0.01,21.15
220.00,65.00,1.85,10.18,10.00,0.01,21.15
220.00,52.00,1.85,10.18,10.00,0.01,21.15
220.00,59.00,1.85,10.18,10.00,0.01,21.15
220.00,64.00,1.85,10.18,10.00,0.01,21.15
220.00,51.00,1.85,10.18,10.00,0.01,21.15
220.00,70.00,1.85,10.18,10.00,0.01,21.15
220.00,57.00,1.85,10.18,10.00,0.01,21.15
220.00,62.00,1.85,10.18,10.00,0.01,21.15
220.00,61.00,3.70,17.59,11.00,0.04,22.40
220.00,58.00,1.85,10.18,10.00,0.01,21.15
220.00,55.00,13.88,100.89,17.00,0.06,30.33
220.00,60.00,16.66,131.96,19.29,0.05,30.53
220.00,53.00,56.46,396.37,24.18,0.15,37.84
220.00,54.00,26.84,199.05,20.20,0.08,31.54
220.00,33.00,61.09,441.58,24.92,0.17,39.02
220.00,90.00,1.85,10.18,10.00,0.01,21.15
220.00,81.00,1.85,10.18,10.00,0.01,21.15
220.00,75.00,1.85,10.18,10.00,0.01,21.15
220.00,87.00,1.85,10.18,10.00,0.01,21.15
220.00,80.00,1.85,10.18,10.00,0.01,21.15
220.00,73.00,1.85,10.18,10.00,0.01,21.15
220.00,76.00,1.85,10.18,10.00,0.01,21.15
220.00,79.00,1.85,10.18,10.00,0.01,21.15
220.00,84.00,1.85,10.18,10.00,0.01,21.15
220.00,92.00,1.85,10.18,10.00,0.01,21.15
220.00,85.00,1.85,10.18,10.00,0.01,21.15
