generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.05, 0.125, 0.0, 15019.2, 50000.0, 19.0
2, 0.078125, 0.125, 0.03125, 26.1, 31.0, 19.0
3, 0.078125, 0.125, 0.03125, 25.3, 28.0, 19.0
4, 0.06875, 0.125, 0.03125, 23.8, 28.0, 19.0
5, 0.06875, 0.125, 0.03125, 23.8, 28.0, 19.0
6, 0.06875, 0.21875, 0.03125, 22.9, 28.0, 19.0
7, 0.0875, 0.21875, 0.03125, 23.8, 28.0, 19.0
8, 0.1125, 0.28125, 0.03125, 24.8, 29.0, 19.0
9, 0.134375, 0.28125, 0.03125, 25.0, 29.0, 19.0
10, 0.096875, 0.28125, 0.03125, 23.0, 28.0, 19.0
