generation, latency, ar
1, 31.0, 0.125
1, 27.0, 0.09375
1, 19.0, 0.03125
2, 31.0, 0.125
2, 31.0, 0.125
2, 27.0, 0.09375
2, 27.0, 0.09375
2, 26.0, 0.0625
2, 26.0, 0.0625
2, 19.0, 0.03125
2, 19.0, 0.03125
3, 28.0, 0.125
3, 27.0, 0.09375
3, 27.0, 0.09375
3, 27.0, 0.09375
3, 27.0, 0.09375
3, 27.0, 0.09375
3, 26.0, 0.0625
3, 26.0, 0.0625
3, 26.0, 0.0625
3, 19.0, 0.03125
3, 19.0, 0.03125
3, 19.0, 0.03125
4, 28.0, 0.125
4, 28.0, 0.125
4, 27.0, 0.09375
4, 27.0, 0.09375
4, 27.0, 0.09375
4, 27.0, 0.09375
4, 27.0, 0.09375
4, 27.0, 0.09375
4, 26.0, 0.0625
4, 26.0, 0.0625
4, 26.0, 0.0625
4, 26.0, 0.0625
4, 19.0, 0.03125
4, 19.0, 0.03125
4, 19.0, 0.03125
5, 28.0, 0.125
5, 28.0, 0.125
5, 28.0, 0.125
5, 27.0, 0.09375
5, 27.0, 0.09375
5, 27.0, 0.09375
5, 27.0, 0.09375
5, 27.0, 0.09375
5, 27.0, 0.09375
5, 27.0, 0.09375
5, 26.0, 0.0625
5, 26.0, 0.0625
5, 26.0, 0.0625
5, 26.0, 0.0625
5, 26.0, 0.0625
5, 19.0, 0.03125
5, 19.0, 0.03125
5, 19.0, 0.03125
5, 19.0, 0.03125
6, 28.0, 0.21875
6, 27.0, 0.09375
6, 27.0, 0.09375
6, 27.0, 0.09375
6, 27.0, 0.09375
6, 27.0, 0.09375
6, 27.0, 0.09375
6, 27.0, 0.09375
6, 27.0, 0.09375
6, 26.0, 0.0625
6, 26.0, 0.0625
6, 26.0, 0.0625
6, 26.0, 0.0625
6, 26.0, 0.0625
6, 26.0, 0.0625
6, 19.0, 0.03125
6, 19.0, 0.03125
6, 19.0, 0.03125
6, 19.0, 0.03125
6, 19.0, 0.03125
7, 28.0, 0.21875
7, 28.0, 0.21875
7, 27.0, 0.09375
7, 27.0, 0.09375
7, 27.0, 0.09375
7, 27.0, 0.09375
7, 27.0, 0.09375
7, 27.0, 0.09375
7, 27.0, 0.09375
7, 27.0, 0.09375
7, 27.0, 0.09375
7, 26.0, 0.0625
7, 26.0, 0.0625
7, 26.0, 0.0625
7, 26.0, 0.0625
7, 26.0, 0.0625
7, 26.0, 0.0625
7, 26.0, 0.0625
7, 19.0, 0.03125
7, 19.0, 0.03125
7, 19.0, 0.03125
7, 19.0, 0.03125
7, 19.0, 0.03125
7, 19.0, 0.03125
8, 29.0, 0.28125
8, 28.0, 0.21875
8, 28.0, 0.21875
8, 28.0, 0.21875
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 27.0, 0.09375
8, 26.0, 0.0625
8, 26.0, 0.0625
8, 26.0, 0.0625
8, 26.0, 0.0625
8, 26.0, 0.0625
8, 26.0, 0.0625
8, 26.0, 0.0625
8, 26.0, 0.0625
8, 19.0, 0.03125
8, 19.0, 0.03125
8, 19.0, 0.03125
8, 19.0, 0.03125
8, 19.0, 0.03125
8, 19.0, 0.03125
8, 19.0, 0.03125
9, 29.0, 0.28125
9, 29.0, 0.28125
9, 28.0, 0.21875
9, 28.0, 0.21875
9, 28.0, 0.21875
9, 28.0, 0.21875
9, 27.0, 0.125
9, 26.0, 0.0625
9, 26.0, 0.0625
9, 26.0, 0.0625
9, 26.0, 0.0625
9, 26.0, 0.0625
9, 26.0, 0.0625
9, 26.0, 0.0625
9, 26.0, 0.0625
9, 26.0, 0.0625
9, 19.0, 0.03125
9, 19.0, 0.03125
9, 19.0, 0.03125
9, 19.0, 0.03125
9, 19.0, 0.03125
9, 19.0, 0.03125
9, 19.0, 0.03125
9, 19.0, 0.03125
10, 28.0, 0.28125
10, 28.0, 0.28125
10, 27.0, 0.125
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 26.0, 0.0625
10, 19.0, 0.03125
10, 19.0, 0.03125
10, 19.0, 0.03125
10, 19.0, 0.03125
10, 19.0, 0.03125
10, 19.0, 0.03125
10, 19.0, 0.03125
10, 19.0, 0.03125
10, 19.0, 0.03125
