method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8433333333333333, 1.0, 0.5, 108.83, 145.0, 64.0
emulator, 1.1, 1.0, 1.0, 1.0, 115.0, 115.0, 115.0
