method, generation, power, ar
surrogate, 1, 241.0, 0.9583333333333334
surrogate, 1, 233.0, 0.9375
surrogate, 1, 233.0, 0.9375
surrogate, 1, 193.0, 0.8958333333333334
surrogate, 1, 176.0, 0.7708333333333334
surrogate, 1, 151.0, 0.75
surrogate, 1, 127.0, 0.7083333333333334
surrogate, 2, 241.0, 0.9583333333333334
surrogate, 2, 233.0, 0.9375
surrogate, 2, 233.0, 0.9375
surrogate, 2, 201.0, 0.9166666666666666
surrogate, 2, 185.0, 0.8958333333333334
surrogate, 2, 184.0, 0.7916666666666666
surrogate, 2, 176.0, 0.7708333333333334
surrogate, 2, 151.0, 0.75
surrogate, 2, 127.0, 0.7083333333333334
surrogate, 3, 241.0, 0.9583333333333334
surrogate, 3, 233.0, 0.9375
surrogate, 3, 233.0, 0.9375
surrogate, 3, 233.0, 0.9375
surrogate, 3, 153.0, 0.9166666666666666
surrogate, 3, 80.0, 0.8333333333333334
surrogate, 4, 241.0, 0.9583333333333334
surrogate, 4, 233.0, 0.9375
surrogate, 4, 233.0, 0.9375
surrogate, 4, 233.0, 0.9375
surrogate, 4, 153.0, 0.9166666666666666
surrogate, 4, 80.0, 0.875
surrogate, 5, 241.0, 0.9583333333333334
surrogate, 5, 233.0, 0.9375
surrogate, 5, 233.0, 0.9375
surrogate, 5, 233.0, 0.9375
surrogate, 5, 153.0, 0.9166666666666666
surrogate, 5, 137.0, 0.8958333333333334
surrogate, 5, 80.0, 0.875
surrogate, 6, 241.0, 0.9583333333333334
surrogate, 6, 233.0, 0.9375
surrogate, 6, 233.0, 0.9375
surrogate, 6, 233.0, 0.9375
surrogate, 6, 153.0, 0.9166666666666666
surrogate, 6, 137.0, 0.8958333333333334
surrogate, 6, 80.0, 0.875
surrogate, 7, 241.0, 0.9583333333333334
surrogate, 7, 217.0, 0.9375
surrogate, 7, 153.0, 0.9166666666666666
surrogate, 7, 137.0, 0.8958333333333334
surrogate, 7, 80.0, 0.875
surrogate, 7, 63.0, 0.7291666666666666
surrogate, 8, 242.0, 1.0
surrogate, 8, 234.0, 0.9583333333333334
surrogate, 8, 217.0, 0.9375
surrogate, 8, 89.0, 0.9166666666666666
surrogate, 8, 80.0, 0.875
surrogate, 8, 63.0, 0.7291666666666666
emulator, 8.1, 250.0, 1.0
