algorithm,experiment,did_converge,best_latency,best_ar,convergence_time
BEGA 100,32_2_A_5_0.5,False,N/A,N/A,2115.81
BEGA 100,32_2_A_5_1,False,N/A,N/A,2027.84
BEGA 100,32_2_A_5_2,False,N/A,N/A,2454.28
BEGA 100,32_2_B_10_0.5,True,35.0,1.0,1049.77
BEGA 100,32_2_B_10_1,True,32.0,1.0,935.35
BEGA 100,32_2_B_10_2,False,N/A,N/A,2042.17
BEGA 100,32_2_B_5_0.5,False,N/A,N/A,2177.17
BEGA 100,32_2_B_5_1,True,33.0,1.0,1383.58
BEGA 100,32_2_B_5_2,False,N/A,N/A,2115.2
BEGA 2000,48_1_A_10_0.5,True,47.0,1.0,9103.89
BEGA 2000,48_1_A_10_1,False,N/A,N/A,18391.48
BEGA 2000,48_1_A_10_2,False,N/A,N/A,15381.27
BEGA 2000,48_1_A_5_0.5,True,40.0,1.0,12175.03
BEGA 2000,48_1_A_5_1,True,32.0,1.0,12123.13
BEGA 2000,48_1_A_5_2,False,N/A,N/A,17215.24
BEGA 2000,48_1_B_10_0.5,True,42.0,1.0,14480.54
BEGA 2000,48_1_B_10_1,True,32.0,1.0,10223.14
BEGA 2000,48_1_B_10_2,False,N/A,N/A,17028.86
BEGA 2000,48_1_B_5_0.5,False,N/A,N/A,19841.1
BEGA 2000,48_1_B_5_1,True,34.0,1.0,4102.4
BEGA 2000,48_1_B_5_2,True,32.0,1.0,10583.77
BEGA 2000,48_2_A_10_0.5,True,43.0,1.0,9814.26
BEGA 2000,48_2_A_10_1,False,N/A,N/A,18811.97
BEGA 2000,48_2_A_10_2,False,N/A,N/A,19692.28
BEGA 2000,48_2_A_5_0.5,False,N/A,N/A,18253.88
BEGA 2000,48_2_A_5_1,False,N/A,N/A,45150.27
BEGA 2000,48_2_A_5_2,True,35.0,1.0,7133.33
BEGA 2000,48_2_B_10_0.5,False,N/A,N/A,20847.46
BEGA 2000,48_2_B_10_1,False,N/A,N/A,20886.29
BEGA 2000,48_2_B_10_2,False,N/A,N/A,19886.66
BEGA 2000,48_2_B_5_0.5,False,N/A,N/A,53107.97
BEGA 2000,48_2_B_5_1,True,36.0,1.0,11510.18
BEGA 2000,48_2_B_5_2,False,N/A,N/A,20591.02
BEGA 2000,32_1_A_10_0.5,True,35.0,1.0,6490.09
BEGA 2000,32_1_A_10_1,True,35.0,1.0,1138.57
BEGA 2000,32_1_A_10_2,True,32.0,1.0,1611.85
BEGA 2000,32_1_A_5_0.5,True,36.0,1.0,4527.0
BEGA 2000,32_1_A_5_1,True,32.0,1.0,1116.49
BEGA 2000,32_1_A_5_2,True,33.0,1.0,2043.81
BEGA 2000,32_1_B_10_0.5,True,35.0,1.0,1388.6
BEGA 2000,32_1_B_10_1,True,32.0,1.0,1212.9
BEGA 2000,32_1_B_10_2,True,33.0,1.0,2475.25
BEGA 2000,32_1_B_5_0.5,True,34.0,1.0,7196.33
BEGA 2000,32_1_B_5_1,True,34.0,1.0,1018.9
BEGA 2000,32_1_B_5_2,True,33.0,1.0,940.69
BEGA 2000,32_2_A_10_0.5,True,39.0,1.0,1068.53
BEGA 2000,32_2_A_10_1,True,31.0,1.0,1292.38
BEGA 2000,32_2_A_10_2,True,32.0,1.0,2153.76
BEGA 2000,32_2_A_5_0.5,True,37.0,1.0,1170.4
BEGA 2000,32_2_A_5_1,True,37.0,1.0,1244.47
BEGA 2000,32_2_A_5_2,True,31.0,1.0,2992.3
BEGA 2000,32_2_B_10_0.5,True,34.0,1.0,1390.72
BEGA 2000,32_2_B_10_1,True,35.0,1.0,1561.32
