# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
2.00,18.00,5.55,26.84,16.00,0.10,31.24
2.00,32.00,5.09,30.31,20.00,0.07,32.66
2.00,64.00,6.29,33.69,15.20,0.08,28.85
2.00,2.00,2.78,28.08,25.33,0.03,36.50
2.00,58.00,4.63,33.63,29.33,0.04,41.76
2.00,28.00,4.40,27.31,16.00,0.05,33.44
2.00,30.00,3.70,31.47,18.00,0.05,32.63
2.00,8.00,3.70,23.83,16.00,0.06,28.78
2.00,60.00,5.55,42.76,21.60,0.05,35.88
2.00,37.00,3.70,26.38,15.00,0.06,27.63
2.00,6.00,5.37,35.73,17.60,0.07,30.33
2.00,16.00,7.93,47.07,21.14,0.05,40.84
2.00,41.00,12.03,103.28,24.92,0.15,41.52
2.00,71.00,4.63,25.30,21.33,0.03,32.43
2.00,80.00,6.85,41.65,20.00,0.09,34.40
2.00,95.00,10.18,68.41,20.55,0.10,34.71
2.00,96.00,10.94,88.73,21.82,0.13,37.85
2.00,15.00,20.15,124.96,20.35,0.26,36.73
2.00,22.00,19.92,140.54,22.11,0.30,38.38
2.00,23.00,20.36,180.87,26.73,0.23,43.64
2.00,33.00,25.92,238.77,26.50,0.38,42.66
2.00,27.00,23.14,179.16,25.52,0.24,42.05
2.00,46.00,29.62,315.83,29.44,0.45,45.64
