generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.05, 0.125, 0.0, 20015.8, 50000.0, 22.0
2, 0.08125, 0.125, 0.03125, 25.2, 29.0, 21.0
3, 0.1125, 0.3125, 0.0625, 24.1, 29.0, 21.0
4, 0.1, 0.3125, 0.0625, 22.3, 28.0, 21.0
5, 0.115625, 0.3125, 0.0625, 22.9, 28.0, 21.0
6, 0.16875, 0.4375, 0.0625, 24.8, 34.0, 21.0
7, 0.19375, 0.4375, 0.0625, 25.4, 33.0, 21.0
8, 0.23125, 0.4375, 0.0625, 26.6, 33.0, 21.0
9, 0.23125, 0.4375, 0.0625, 26.6, 33.0, 21.0
10, 0.23125, 0.4375, 0.0625, 26.6, 33.0, 21.0
11, 0.215625, 0.4375, 0.0625, 25.9, 33.0, 21.0
12, 0.215625, 0.4375, 0.0625, 25.9, 33.0, 21.0
13, 0.334375, 0.4375, 0.125, 29.1, 33.0, 21.0
14, 0.26875, 0.4375, 0.125, 26.6, 32.0, 21.0
