method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8525, 1.0, 0.625, 193.16, 207.0, 150.0
emulator, 1.1, 1.0, 1.0, 1.0, 203.0, 203.0, 203.0
