method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.159375, 0.4375, 0.0, 10021.35, 50000.0, 23.0
surrogate, 2, 0.2671875, 0.4375, 0.03125, 26.55, 32.0, 23.0
surrogate, 3, 0.225, 0.4375, 0.03125, 25.2, 31.0, 23.0
surrogate, 4, 0.2578125, 0.4375, 0.03125, 25.5, 31.0, 23.0
surrogate, 5, 0.1828125, 0.4375, 0.09375, 24.05, 28.0, 23.0
surrogate, 6, 0.24375, 0.4375, 0.09375, 24.65, 28.0, 20.0
surrogate, 7, 0.3140625, 0.4375, 0.09375, 25.2, 28.0, 20.0
surrogate, 8, 0.334375, 0.5625, 0.09375, 25.4, 30.0, 20.0
surrogate, 9, 0.303125, 0.5625, 0.09375, 24.55, 30.0, 20.0
surrogate, 10, 0.275, 0.6875, 0.09375, 23.9, 33.0, 20.0
surrogate, 11, 0.2796875, 0.6875, 0.09375, 23.95, 33.0, 20.0
surrogate, 12, 0.309375, 0.6875, 0.09375, 24.6, 33.0, 20.0
surrogate, 13, 0.2546875, 0.6875, 0.09375, 23.25, 32.0, 20.0
surrogate, 14, 0.2703125, 0.6875, 0.09375, 23.55, 32.0, 20.0
surrogate, 15, 0.309375, 0.6875, 0.09375, 24.3, 32.0, 20.0
surrogate, 16, 0.2953125, 0.6875, 0.09375, 23.9, 32.0, 20.0
surrogate, 17, 0.340625, 0.6875, 0.09375, 24.8, 32.0, 20.0
surrogate, 18, 0.340625, 0.6875, 0.09375, 24.8, 32.0, 20.0
surrogate, 19, 0.315625, 0.6875, 0.09375, 24.2, 31.0, 20.0
surrogate, 20, 0.3359375, 0.6875, 0.09375, 24.55, 31.0, 20.0
surrogate, 21, 0.3359375, 0.6875, 0.09375, 24.55, 31.0, 20.0
surrogate, 22, 0.365625, 0.6875, 0.09375, 25.1, 31.0, 20.0
surrogate, 23, 0.403125, 0.84375, 0.09375, 25.8, 34.0, 20.0
surrogate, 24, 0.403125, 0.84375, 0.09375, 25.8, 34.0, 20.0
surrogate, 25, 0.403125, 0.84375, 0.09375, 25.8, 34.0, 20.0
surrogate, 26, 0.403125, 0.84375, 0.09375, 25.8, 34.0, 20.0
surrogate, 27, 0.403125, 0.84375, 0.09375, 25.8, 34.0, 20.0
surrogate, 28, 0.403125, 0.84375, 0.09375, 25.8, 34.0, 20.0
surrogate, 29, 0.403125, 0.84375, 0.09375, 25.75, 33.0, 20.0
surrogate, 30, 0.428125, 0.84375, 0.09375, 26.1, 33.0, 20.0
surrogate, 31, 0.440625, 0.84375, 0.09375, 26.3, 33.0, 20.0
surrogate, 32, 0.4484375, 0.84375, 0.09375, 26.4, 33.0, 20.0
surrogate, 33, 0.4109375, 0.84375, 0.09375, 25.7, 32.0, 20.0
surrogate, 34, 0.4484375, 0.84375, 0.09375, 26.3, 32.0, 20.0
surrogate, 35, 0.3765625, 0.84375, 0.09375, 24.8, 32.0, 20.0
surrogate, 36, 0.3765625, 0.84375, 0.09375, 24.8, 32.0, 20.0
surrogate, 37, 0.40625, 0.84375, 0.09375, 25.3, 32.0, 20.0
surrogate, 38, 0.40625, 0.84375, 0.09375, 25.3, 32.0, 20.0
surrogate, 39, 0.40625, 0.84375, 0.09375, 25.3, 32.0, 20.0
surrogate, 40, 0.384375, 0.84375, 0.09375, 24.85, 32.0, 20.0
surrogate, 41, 0.409375, 0.84375, 0.09375, 25.3, 32.0, 20.0
surrogate, 42, 0.409375, 0.84375, 0.09375, 25.3, 32.0, 20.0
surrogate, 43, 0.409375, 0.84375, 0.09375, 25.3, 32.0, 20.0
surrogate, 44, 0.409375, 0.84375, 0.09375, 25.3, 32.0, 20.0
surrogate, 45, 0.409375, 0.84375, 0.09375, 25.3, 32.0, 20.0
surrogate, 46, 0.409375, 0.84375, 0.09375, 25.3, 32.0, 20.0
