cx_pb,runs,mean_generations,median_generations,max_generations,min_generations,q1_generations,q3_generations,iqr_generations,ci_generations,generations_upper_lower,std_deviation_generations,converged_number,convergence_percent,mean_time_taken,std_deviation_time_taken,q1_time_taken,q3_time_taken,iqr_time_taken,ci_time_taken,time_taken_upper_lower
0.2,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,50.85,1.82,50.26,51.81,1.55,0.85,50.0-51.7
0.5,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,49.36,2.09,47.56,51.11,3.55,0.98,48.38-50.34
0.7,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,49.67,1.8,48.61,50.87,2.25,0.84,48.83-50.51
1.0,20,2,2.0,2,2,2.0,2.0,0.0,0.0,2.0-2.0,0.0,20,100.0,53.43,0.94,52.99,54.04,1.05,0.44,52.99-53.87
