method, generation, power, ar
surrogate, 1, 204.0, 0.9615384615384616
surrogate, 1, 188.0, 0.9230769230769231
surrogate, 1, 186.0, 0.8461538461538461
surrogate, 1, 162.0, 0.8076923076923077
surrogate, 1, 144.0, 0.6923076923076923
surrogate, 2, 189.0, 0.9615384615384616
surrogate, 2, 188.0, 0.9230769230769231
surrogate, 2, 187.0, 0.8846153846153846
surrogate, 2, 187.0, 0.8846153846153846
surrogate, 2, 186.0, 0.8461538461538461
surrogate, 2, 186.0, 0.8461538461538461
surrogate, 2, 146.0, 0.8076923076923077
surrogate, 2, 144.0, 0.6923076923076923
surrogate, 3, 214.0, 1.0
surrogate, 3, 189.0, 0.9615384615384616
surrogate, 3, 188.0, 0.9230769230769231
surrogate, 3, 122.0, 0.8846153846153846
emulator, 3.1, 208.0, 1.0
