method, generation, power, ar
surrogate, 1, 208.0, 0.9523809523809523
surrogate, 1, 208.0, 0.9523809523809523
surrogate, 1, 208.0, 0.9523809523809523
surrogate, 1, 200.0, 0.9285714285714286
surrogate, 1, 200.0, 0.9285714285714286
surrogate, 1, 192.0, 0.9047619047619048
surrogate, 1, 192.0, 0.9047619047619048
surrogate, 1, 183.0, 0.8571428571428571
surrogate, 1, 175.0, 0.8333333333333334
surrogate, 1, 135.0, 0.8095238095238095
surrogate, 1, 127.0, 0.7619047619047619
surrogate, 1, 54.0, 0.7380952380952381
surrogate, 2, 192.0, 0.9523809523809523
surrogate, 2, 160.0, 0.8809523809523809
surrogate, 2, 144.0, 0.8571428571428571
surrogate, 2, 135.0, 0.8095238095238095
surrogate, 2, 127.0, 0.7619047619047619
surrogate, 2, 54.0, 0.7380952380952381
surrogate, 3, 192.0, 0.9523809523809523
surrogate, 3, 184.0, 0.9047619047619048
surrogate, 3, 151.0, 0.8809523809523809
surrogate, 3, 144.0, 0.8571428571428571
surrogate, 3, 135.0, 0.8333333333333334
surrogate, 3, 127.0, 0.7619047619047619
surrogate, 3, 54.0, 0.7380952380952381
surrogate, 4, 209.0, 0.9761904761904762
surrogate, 4, 192.0, 0.9523809523809523
surrogate, 4, 168.0, 0.9047619047619048
surrogate, 4, 151.0, 0.8809523809523809
surrogate, 4, 135.0, 0.8571428571428571
surrogate, 4, 111.0, 0.8333333333333334
surrogate, 4, 102.0, 0.7857142857142857
surrogate, 4, 54.0, 0.7380952380952381
surrogate, 5, 201.0, 1.0
surrogate, 5, 192.0, 0.9523809523809523
surrogate, 5, 192.0, 0.9523809523809523
surrogate, 5, 136.0, 0.9047619047619048
surrogate, 5, 135.0, 0.8571428571428571
surrogate, 5, 111.0, 0.8333333333333334
surrogate, 5, 102.0, 0.7857142857142857
surrogate, 5, 79.0, 0.7619047619047619
surrogate, 5, 54.0, 0.7380952380952381
emulator, 5.1, 205.0, 1.0
