method, generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
surrogate, 1, 0.1578125, 0.5625, 0.03125, 26.55, 29.0, 23.0
surrogate, 2, 0.2359375, 0.5625, 0.09375, 25.75, 29.0, 23.0
surrogate, 3, 0.2875, 0.5625, 0.125, 25.6, 29.0, 23.0
surrogate, 4, 0.315625, 0.5625, 0.125, 25.7, 29.0, 23.0
surrogate, 5, 0.375, 0.5625, 0.125, 26.6, 29.0, 23.0
surrogate, 6, 0.446875, 0.5625, 0.125, 27.5, 29.0, 23.0
surrogate, 7, 0.3328125, 0.59375, 0.125, 26.0, 29.0, 23.0
surrogate, 8, 0.26875, 0.59375, 0.125, 25.15, 29.0, 23.0
surrogate, 9, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 10, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 11, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 12, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 13, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 14, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 15, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 16, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 17, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 18, 0.259375, 0.59375, 0.125, 24.9, 29.0, 23.0
surrogate, 19, 0.2515625, 0.59375, 0.125, 24.7, 29.0, 23.0
surrogate, 20, 0.259375, 0.59375, 0.125, 24.8, 29.0, 23.0
surrogate, 21, 0.259375, 0.59375, 0.125, 24.8, 29.0, 23.0
surrogate, 22, 0.2859375, 0.65625, 0.125, 25.25, 32.0, 23.0
surrogate, 23, 0.3125, 0.65625, 0.125, 25.7, 32.0, 23.0
surrogate, 24, 0.3125, 0.65625, 0.125, 25.7, 32.0, 23.0
surrogate, 25, 0.3125, 0.65625, 0.125, 25.7, 32.0, 23.0
surrogate, 26, 0.3125, 0.65625, 0.125, 25.7, 32.0, 23.0
surrogate, 27, 0.3125, 0.65625, 0.125, 25.7, 32.0, 23.0
surrogate, 28, 0.3125, 0.65625, 0.125, 25.7, 32.0, 23.0
surrogate, 29, 0.2953125, 0.65625, 0.125, 25.45, 32.0, 23.0
surrogate, 30, 0.303125, 0.65625, 0.125, 25.5, 32.0, 23.0
surrogate, 31, 0.303125, 0.65625, 0.125, 25.5, 32.0, 23.0
surrogate, 32, 0.303125, 0.65625, 0.125, 25.5, 32.0, 23.0
surrogate, 33, 0.303125, 0.65625, 0.125, 25.5, 32.0, 23.0
surrogate, 34, 0.303125, 0.65625, 0.125, 25.5, 32.0, 23.0
surrogate, 35, 0.2890625, 0.65625, 0.125, 25.25, 32.0, 23.0
surrogate, 36, 0.303125, 0.65625, 0.125, 25.4, 32.0, 23.0
surrogate, 37, 0.303125, 0.65625, 0.125, 25.4, 32.0, 23.0
surrogate, 38, 0.303125, 0.65625, 0.125, 25.4, 32.0, 23.0
surrogate, 39, 0.303125, 0.65625, 0.125, 25.4, 32.0, 23.0
surrogate, 40, 0.303125, 0.65625, 0.125, 25.4, 32.0, 23.0
surrogate, 41, 0.303125, 0.65625, 0.125, 25.4, 32.0, 23.0
surrogate, 42, 0.303125, 0.65625, 0.125, 25.4, 32.0, 23.0
surrogate, 43, 0.303125, 0.65625, 0.125, 25.4, 32.0, 23.0
surrogate, 44, 0.2859375, 0.65625, 0.125, 25.1, 32.0, 23.0
surrogate, 45, 0.303125, 0.65625, 0.125, 25.3, 32.0, 23.0
surrogate, 46, 0.303125, 0.65625, 0.125, 25.3, 32.0, 23.0
surrogate, 47, 0.33125, 0.6875, 0.125, 25.85, 34.0, 23.0
surrogate, 48, 0.359375, 0.6875, 0.125, 26.4, 34.0, 23.0
surrogate, 49, 0.359375, 0.6875, 0.125, 26.4, 34.0, 23.0
surrogate, 50, 0.359375, 0.6875, 0.125, 26.4, 34.0, 23.0
surrogate, 51, 0.359375, 0.6875, 0.125, 26.4, 34.0, 23.0
surrogate, 52, 0.4875, 0.6875, 0.15625, 28.25, 34.0, 23.0
surrogate, 53, 0.5203125, 0.6875, 0.15625, 29.35, 34.0, 23.0
surrogate, 54, 0.53125, 0.6875, 0.15625, 29.7, 34.0, 23.0
surrogate, 55, 0.53125, 0.6875, 0.15625, 29.7, 34.0, 23.0
surrogate, 56, 0.53125, 0.6875, 0.15625, 29.7, 34.0, 23.0
surrogate, 57, 0.53125, 0.6875, 0.15625, 29.7, 34.0, 23.0
surrogate, 58, 0.53125, 0.6875, 0.15625, 29.7, 34.0, 23.0
surrogate, 59, 0.53125, 0.6875, 0.15625, 29.7, 34.0, 23.0
surrogate, 60, 0.53125, 0.6875, 0.15625, 29.7, 34.0, 23.0
surrogate, 61, 0.53125, 0.6875, 0.15625, 29.7, 34.0, 23.0
surrogate, 62, 0.3984375, 0.6875, 0.15625, 26.4, 33.0, 23.0
surrogate, 63, 0.371875, 0.6875, 0.15625, 26.3, 33.0, 23.0
surrogate, 64, 0.371875, 0.6875, 0.15625, 26.3, 33.0, 23.0
surrogate, 65, 0.371875, 0.6875, 0.15625, 26.3, 33.0, 23.0
surrogate, 66, 0.35, 0.6875, 0.15625, 25.95, 33.0, 23.0
surrogate, 67, 0.371875, 0.6875, 0.15625, 26.2, 33.0, 23.0
surrogate, 68, 0.371875, 0.6875, 0.15625, 26.2, 33.0, 23.0
surrogate, 69, 0.2953125, 0.6875, 0.15625, 24.75, 32.0, 23.0
surrogate, 70, 0.321875, 0.6875, 0.15625, 25.2, 32.0, 23.0
surrogate, 71, 0.321875, 0.6875, 0.15625, 25.2, 32.0, 23.0
surrogate, 72, 0.321875, 0.6875, 0.15625, 25.2, 32.0, 23.0
surrogate, 73, 0.321875, 0.6875, 0.15625, 25.2, 32.0, 23.0
surrogate, 74, 0.321875, 0.6875, 0.15625, 25.2, 32.0, 23.0
surrogate, 75, 0.321875, 0.6875, 0.15625, 25.2, 32.0, 23.0
surrogate, 76, 0.475, 0.6875, 0.15625, 27.3, 32.0, 22.0
surrogate, 77, 0.5609375, 0.6875, 0.15625, 28.6, 32.0, 22.0
surrogate, 78, 0.615625, 0.6875, 0.28125, 30.0, 32.0, 22.0
surrogate, 79, 0.615625, 0.6875, 0.28125, 30.0, 32.0, 22.0
surrogate, 80, 0.615625, 0.6875, 0.28125, 30.0, 32.0, 22.0
surrogate, 81, 0.615625, 0.6875, 0.28125, 30.0, 32.0, 22.0
surrogate, 82, 0.6140625, 0.6875, 0.28125, 29.95, 32.0, 22.0
surrogate, 83, 0.6125, 0.6875, 0.28125, 29.9, 32.0, 22.0
surrogate, 84, 0.6125, 0.6875, 0.28125, 29.9, 32.0, 22.0
surrogate, 85, 0.6125, 0.6875, 0.28125, 29.9, 32.0, 22.0
surrogate, 86, 0.6125, 0.6875, 0.28125, 29.9, 32.0, 22.0
surrogate, 87, 0.6125, 0.6875, 0.28125, 29.9, 32.0, 22.0
surrogate, 88, 0.6125, 0.6875, 0.28125, 29.9, 32.0, 22.0
surrogate, 89, 0.540625, 0.6875, 0.28125, 27.95, 32.0, 22.0
surrogate, 90, 0.428125, 0.6875, 0.28125, 25.1, 31.0, 22.0
surrogate, 91, 0.371875, 0.6875, 0.28125, 23.9, 31.0, 22.0
surrogate, 92, 0.390625, 0.6875, 0.28125, 24.3, 31.0, 22.0
surrogate, 93, 0.409375, 0.6875, 0.28125, 24.7, 31.0, 22.0
surrogate, 94, 0.409375, 0.6875, 0.28125, 24.7, 31.0, 22.0
surrogate, 95, 0.409375, 0.6875, 0.28125, 24.7, 31.0, 22.0
surrogate, 96, 0.409375, 0.6875, 0.28125, 24.7, 31.0, 22.0
surrogate, 97, 0.409375, 0.6875, 0.28125, 24.7, 31.0, 22.0
surrogate, 98, 0.409375, 0.6875, 0.28125, 24.7, 31.0, 22.0
surrogate, 99, 0.409375, 0.6875, 0.28125, 24.7, 31.0, 22.0
surrogate, 100, 0.409375, 0.6875, 0.28125, 24.7, 31.0, 22.0
