method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8430000000000003, 1.0, 0.3, 146.48, 186.0, 90.0
emulator, 1.1, 1.0, 1.0, 1.0, 92.0, 92.0, 92.0
