id,unique_count
26705,55
10015,54
33381,51
30043,49
40057,49
6677,48
1,48
63423,47
36719,44
50071,44
3339,43
13353,41
23367,41
16691,40
73438,39
36937,39
70100,38
76775,38
46733,38
26737,38
3417,38
60085,37
33,37
73437,37
51483,36
43395,36
36751,36
13358,36
30044,36
40069,36
66839,35
66761,35
3371,35
70157,35
70099,35
30121,34
37231,34
46745,34
26706,34
70177,34
50149,34
70106,34
23372,34
23879,33
39157,33
36724,33
73442,33
20061,33
50583,33
43907,33
23445,33
23673,33
56747,33
10047,33
33393,32
53409,32
23399,32
74849,32
20029,32
60086,32
60090,32
77147,32
40135,32
36797,32
26783,32
10034,31
16769,31
16909,31
41469,31
22467,31
30415,31
73449,31
26923,31
43613,31
43396,31
36731,31
3397,31
42495,31
36720,31
10016,31
56965,30
6895,30
63641,30
38131,30
47105,30
73949,30
14765,30
3351,30
63424,30
64835,30
73469,30
63935,30
50072,30
70471,30
73655,29
46772,29
513,29
27217,29
73678,29
17111,29
40275,29
66766,29
36726,29
68173,29
28117,29
30438,29
13571,29
63501,29
61809,29
6682,29
53410,29
23368,29
10233,29
33382,29
43407,29
20247,29
76853,28
63435,28
31455,28
70111,28
66762,28
8089,28
16896,28
18151,28
16749,28
60143,28
30128,28
56759,28
67401,28
66773,28
37543,28
53482,28
2446,28
60303,28
10027,28
34793,28
3557,28
60597,28
71743,28
52075,28
53441,28
3340,28
66768,28
7508,28
38723,28
67253,28
242,28
73444,28
57282,28
493,28
50051,28
30055,28
37091,27
23592,27
70104,27
21441,27
13865,27
26778,27
1541,27
60092,27
63442,27
36777,27
59,27
30101,27
6678,27
48273,27
19361,27
69199,27
53467,27
46756,27
12581,27
77287,27
20041,27
16738,27
57266,26
44807,26
67585,26
29143,26
3408,26
46738,26
66979,26
6735,26
56752,26
16703,26
21464,26
63664,26
41500,26
6684,26
10435,26
60488,26
17203,26
70276,26
76780,26
3552,26
2439,26
73563,26
47136,26
22919,26
15798,26
43400,26
33459,26
41628,26
24779,26
41597,26
11427,26
30261,26
59216,26
50103,26
14177,26
40363,26
64247,26
33599,26
60163,26
69959,26
66846,26
63966,26
61497,26
58182,26
53781,26
70923,26
66834,26
27529,26
373,26
72537,25
13784,25
15791,25
52229,25
307,25
68221,25
33801,25
20541,25
72544,25
30555,25
127,25
37279,25
13773,25
53414,25
55847,25
43986,25
43767,25
40058,25
33507,25
8137,25
3362,25
40122,25
53421,25
50090,25
70611,25
13666,25
74,25
33413,25
40104,25
60158,25
40064,25
37211,25
13402,25
33430,25
65147,25
58159,25
43468,25
62523,25
30048,25
70539,25
20034,25
4751,25
50118,25
63430,24
50312,24
6689,24
53804,24
78779,24
19177,24
16696,24
66793,24
2159,24
6696,24
7189,24
73809,24
30562,24
76993,24
60457,24
26838,24
61528,24
78315,24
48145,24
52516,24
29191,24
7180,24
