# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
2.00,7.00,3.05,20.60,22.00,0.01,33.30
2.00,0.00,2.82,21.62,17.33,0.02,28.44
2.00,19.00,3.45,19.11,14.67,0.02,25.77
2.00,1.00,3.29,24.30,17.71,0.01,28.87
2.00,11.00,3.45,20.83,17.33,0.01,28.48
2.00,43.00,3.96,27.32,24.00,0.01,35.24
2.00,28.00,3.76,27.08,17.00,0.02,28.13
2.00,2.00,4.82,30.90,20.50,0.02,31.66
2.00,6.00,3.29,17.12,13.71,0.01,24.86
2.00,42.00,7.99,53.81,19.76,0.03,30.88
2.00,21.00,9.20,62.54,18.74,0.04,30.09
2.00,10.00,8.46,61.42,22.33,0.04,33.67
2.00,23.00,15.51,124.04,24.67,0.07,36.44
2.00,92.00,3.45,18.01,14.00,0.02,25.08
2.00,91.00,2.82,21.93,19.33,0.02,30.45
2.00,86.00,4.70,24.36,19.33,0.02,30.47
2.00,81.00,3.83,24.50,23.43,0.01,34.73
2.00,85.00,3.29,25.38,20.00,0.01,31.18
2.00,83.00,3.29,23.97,19.43,0.01,30.65
2.00,46.00,2.82,17.86,18.67,0.01,29.84
2.00,94.00,5.35,33.25,21.00,0.03,32.06
2.00,95.00,5.17,27.49,20.00,0.01,31.18
2.00,22.00,3.29,20.21,19.20,0.01,30.51
2.00,72.00,6.58,49.60,21.43,0.03,32.48
2.00,97.00,4.10,33.03,25.71,0.02,36.83
2.00,79.00,8.46,62.42,24.44,0.03,35.53
2.00,67.00,13.16,108.37,24.57,0.07,36.58
2.00,65.00,15.98,133.61,25.94,0.07,37.98
2.00,8.00,13.63,112.83,26.14,0.06,39.58
2.00,96.00,3.76,21.44,13.50,0.02,24.58
2.00,44.00,13.66,110.75,23.93,0.08,36.62
2.00,27.00,18.33,149.89,22.56,0.11,36.93
2.00,68.00,21.14,157.14,23.38,0.12,38.15
2.00,29.00,19.74,174.69,28.00,0.09,40.67
