method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.85, 1.0, 0.0, 548.88, 50000.0, 16.0
emulator, 1.1, 1.0, 1.0, 1.0, 49.0, 49.0, 49.0
