generation, latency, ar
1, 36.0, 0.5
1, 30.0, 0.0625
1, 30.0, 0.0625
1, 23.0, 0.03125
2, 36.0, 0.5
2, 29.0, 0.125
2, 23.0, 0.03125
2, 23.0, 0.03125
3, 36.0, 0.5
3, 29.0, 0.15625
3, 28.0, 0.125
3, 23.0, 0.0625
4, 35.0, 0.5
4, 29.0, 0.15625
4, 29.0, 0.15625
4, 28.0, 0.125
4, 28.0, 0.125
4, 28.0, 0.125
4, 23.0, 0.0625
4, 23.0, 0.0625
5, 35.0, 0.5
5, 35.0, 0.5
5, 29.0, 0.15625
5, 29.0, 0.15625
5, 29.0, 0.15625
5, 29.0, 0.15625
5, 28.0, 0.125
5, 28.0, 0.125
5, 28.0, 0.125
5, 28.0, 0.125
5, 23.0, 0.0625
5, 23.0, 0.0625
5, 23.0, 0.0625
6, 35.0, 0.5
6, 35.0, 0.5
6, 35.0, 0.5
6, 31.0, 0.28125
6, 29.0, 0.15625
6, 29.0, 0.15625
6, 29.0, 0.15625
6, 29.0, 0.15625
6, 29.0, 0.15625
6, 28.0, 0.125
6, 28.0, 0.125
6, 28.0, 0.125
6, 28.0, 0.125
6, 28.0, 0.125
6, 23.0, 0.0625
6, 23.0, 0.0625
6, 23.0, 0.0625
6, 23.0, 0.0625
7, 35.0, 0.5
7, 35.0, 0.5
7, 35.0, 0.5
7, 35.0, 0.5
7, 30.0, 0.28125
7, 30.0, 0.28125
7, 27.0, 0.15625
7, 23.0, 0.0625
7, 23.0, 0.0625
7, 23.0, 0.0625
7, 23.0, 0.0625
7, 23.0, 0.0625
7, 23.0, 0.0625
8, 35.0, 0.5
8, 35.0, 0.5
8, 35.0, 0.5
8, 35.0, 0.5
8, 30.0, 0.28125
8, 30.0, 0.28125
8, 27.0, 0.15625
8, 27.0, 0.15625
8, 23.0, 0.0625
8, 23.0, 0.0625
8, 23.0, 0.0625
8, 23.0, 0.0625
8, 23.0, 0.0625
8, 23.0, 0.0625
8, 23.0, 0.0625
9, 33.0, 0.5
9, 30.0, 0.28125
9, 30.0, 0.28125
9, 30.0, 0.28125
9, 27.0, 0.15625
9, 27.0, 0.15625
9, 27.0, 0.15625
9, 23.0, 0.0625
9, 23.0, 0.0625
9, 23.0, 0.0625
9, 23.0, 0.0625
9, 23.0, 0.0625
9, 23.0, 0.0625
9, 23.0, 0.0625
10, 33.0, 0.5
10, 33.0, 0.5
10, 30.0, 0.28125
10, 30.0, 0.28125
10, 30.0, 0.28125
10, 30.0, 0.28125
10, 27.0, 0.15625
10, 27.0, 0.15625
10, 27.0, 0.15625
10, 27.0, 0.15625
10, 23.0, 0.0625
10, 23.0, 0.0625
10, 23.0, 0.0625
10, 23.0, 0.0625
10, 23.0, 0.0625
10, 23.0, 0.0625
10, 23.0, 0.0625
10, 23.0, 0.0625
11, 33.0, 0.5
11, 33.0, 0.5
11, 33.0, 0.5
11, 30.0, 0.28125
11, 30.0, 0.28125
11, 30.0, 0.28125
11, 30.0, 0.28125
11, 30.0, 0.28125
11, 27.0, 0.15625
11, 27.0, 0.15625
11, 27.0, 0.15625
11, 27.0, 0.15625
11, 27.0, 0.15625
11, 23.0, 0.0625
11, 23.0, 0.0625
11, 23.0, 0.0625
11, 23.0, 0.0625
11, 23.0, 0.0625
11, 23.0, 0.0625
11, 23.0, 0.0625
11, 23.0, 0.0625
