# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
167.00,0.00,3.70,30.54,11.00,0.01,22.25
167.00,1.00,3.70,30.54,11.00,0.01,22.25
167.00,9.00,3.70,30.54,11.00,0.01,22.25
167.00,12.00,3.70,30.54,11.00,0.01,22.25
167.00,18.00,3.70,30.54,11.00,0.01,22.25
167.00,13.00,3.70,30.54,11.00,0.01,22.25
167.00,8.00,3.70,30.54,11.00,0.01,22.25
167.00,7.00,3.70,30.54,11.00,0.01,22.25
167.00,5.00,3.70,30.54,11.00,0.01,22.25
167.00,16.00,3.70,30.54,11.00,0.01,22.25
167.00,3.00,3.70,30.54,11.00,0.01,22.25
167.00,11.00,3.70,30.54,11.00,0.01,22.25
167.00,17.00,3.70,30.54,11.00,0.01,22.25
167.00,19.00,3.70,30.54,11.00,0.01,22.25
167.00,4.00,6.79,45.05,11.33,0.02,22.54
167.00,2.00,20.36,156.06,14.80,0.04,25.75
167.00,6.00,33.32,239.60,17.29,0.04,28.46
167.00,44.00,3.70,30.54,11.00,0.01,22.25
167.00,26.00,3.70,30.54,11.00,0.01,22.25
167.00,31.00,3.70,30.54,11.00,0.01,22.25
167.00,33.00,3.70,30.54,11.00,0.01,22.25
167.00,37.00,3.70,30.54,11.00,0.01,22.25
167.00,10.00,3.70,30.54,11.00,0.01,22.25
167.00,20.00,3.70,30.54,11.00,0.01,22.25
167.00,55.00,3.70,30.54,11.00,0.01,22.25
167.00,28.00,3.70,30.54,11.00,0.01,22.25
167.00,39.00,3.70,30.54,11.00,0.01,22.25
167.00,30.00,3.70,30.54,11.00,0.01,22.25
167.00,22.00,3.70,30.54,11.00,0.01,22.25
167.00,34.00,3.70,30.54,11.00,0.01,22.25
167.00,36.00,3.70,30.54,11.00,0.01,22.25
167.00,43.00,3.70,30.54,11.00,0.01,22.25
167.00,24.00,3.70,30.54,11.00,0.01,22.25
167.00,23.00,3.70,30.54,11.00,0.01,22.25
167.00,27.00,3.70,30.54,11.00,0.01,22.25
167.00,15.00,3.70,30.54,11.00,0.01,22.25
167.00,45.00,3.70,30.54,11.00,0.01,22.25
167.00,42.00,3.70,30.54,11.00,0.01,22.25
167.00,47.00,3.70,30.54,11.00,0.01,22.25
167.00,49.00,3.70,30.54,11.00,0.01,22.25
167.00,38.00,3.70,30.54,11.00,0.01,22.25
167.00,32.00,33.32,234.04,16.29,0.04,27.49
167.00,29.00,57.39,433.80,20.19,0.07,31.51
167.00,53.00,38.88,306.97,17.18,0.06,28.16
167.00,46.00,59.24,466.50,20.61,0.07,31.87
167.00,67.00,3.70,30.54,11.00,0.01,22.25
167.00,65.00,3.70,30.54,11.00,0.01,22.25
167.00,61.00,3.70,30.54,11.00,0.01,22.25
167.00,57.00,3.70,30.54,11.00,0.01,22.25
167.00,62.00,3.70,30.54,11.00,0.01,22.25
167.00,64.00,3.70,30.54,11.00,0.01,22.25
167.00,66.00,3.70,30.54,11.00,0.01,22.25
167.00,50.00,3.70,30.54,11.00,0.01,22.25
167.00,60.00,3.70,30.54,11.00,0.01,22.25
167.00,68.00,3.70,30.54,11.00,0.01,22.25
167.00,54.00,3.70,30.54,11.00,0.01,22.25
167.00,35.00,3.70,30.54,11.00,0.01,22.25
167.00,48.00,3.70,30.54,11.00,0.01,22.25
167.00,51.00,3.70,30.54,11.00,0.01,22.25
167.00,40.00,3.70,30.54,11.00,0.01,22.25
167.00,41.00,3.70,30.54,11.00,0.01,22.25
167.00,63.00,3.70,30.54,11.00,0.01,22.25
167.00,59.00,3.70,30.54,11.00,0.01,22.25
167.00,58.00,20.36,155.13,14.20,0.04,25.16
167.00,52.00,20.36,155.13,14.20,0.04,25.16
167.00,25.00,48.13,376.72,18.30,0.06,29.40
167.00,76.00,3.70,30.54,11.00,0.01,22.25
167.00,70.00,3.70,30.54,11.00,0.01,22.25
167.00,73.00,3.70,30.54,11.00,0.01,22.25
167.00,81.00,3.70,30.54,11.00,0.01,22.25
167.00,78.00,3.70,30.54,11.00,0.01,22.25
167.00,71.00,3.70,30.54,11.00,0.01,22.25
167.00,74.00,3.70,30.54,11.00,0.01,22.25
167.00,72.00,3.70,30.54,11.00,0.01,22.25
167.00,75.00,3.70,30.54,11.00,0.01,22.25
167.00,69.00,3.70,30.54,11.00,0.01,22.25
167.00,77.00,6.79,45.05,11.33,0.02,22.54
167.00,14.00,77.75,582.30,21.63,0.09,32.68
167.00,56.00,48.13,377.46,18.50,0.06,29.68
167.00,21.00,92.56,660.05,23.10,0.10,34.19
167.00,91.00,3.70,30.54,11.00,0.01,22.25
167.00,80.00,3.70,30.54,11.00,0.01,22.25
167.00,87.00,3.70,30.54,11.00,0.01,22.25
167.00,85.00,3.70,30.54,11.00,0.01,22.25
167.00,83.00,3.70,30.54,11.00,0.01,22.25
167.00,93.00,3.70,30.54,11.00,0.01,22.25
167.00,88.00,3.70,30.54,11.00,0.01,22.25
167.00,90.00,3.70,30.54,11.00,0.01,22.25
167.00,82.00,3.70,30.54,11.00,0.01,22.25
167.00,86.00,3.70,30.54,11.00,0.01,22.25
167.00,95.00,6.79,45.05,11.33,0.02,22.54
167.00,96.00,3.70,30.54,11.00,0.01,22.25
167.00,84.00,3.70,30.54,11.00,0.01,22.25
167.00,89.00,3.70,30.54,11.00,0.01,22.25
167.00,79.00,40.73,308.17,17.76,0.06,28.83
167.00,97.00,59.24,468.86,22.45,0.06,33.97
167.00,92.00,3.70,30.54,11.00,0.01,22.25
167.00,94.00,3.70,30.54,11.00,0.01,22.25
167.00,98.00,27.77,209.18,15.23,0.05,26.18
