method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8575, 1.0, 0.625, 189.18, 236.0, 139.0
emulator, 1.1, 1.0, 1.0, 1.0, 198.0, 198.0, 198.0
