# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
28.00,2.00,1.88,7.52,8.00,0.03,19.20
28.00,5.00,1.88,7.52,8.00,0.03,19.20
28.00,7.00,1.88,7.52,8.00,0.03,19.20
28.00,19.00,1.88,7.52,8.00,0.03,19.20
28.00,4.00,3.76,15.04,8.00,0.05,22.42
28.00,1.00,1.88,7.52,8.00,0.03,19.20
28.00,0.00,1.88,7.52,8.00,0.03,19.20
28.00,16.00,1.88,7.52,8.00,0.03,19.20
28.00,6.00,1.88,7.52,8.00,0.03,19.20
28.00,10.00,5.64,48.25,14.00,0.04,25.27
28.00,9.00,15.98,125.29,20.00,0.04,31.10
28.00,36.00,1.88,7.52,8.00,0.03,19.20
28.00,12.00,1.88,7.52,8.00,0.03,19.20
28.00,35.00,1.88,7.52,8.00,0.03,19.20
28.00,21.00,1.88,7.52,8.00,0.03,19.20
28.00,13.00,1.88,7.52,8.00,0.03,19.20
28.00,8.00,1.88,7.52,8.00,0.03,19.20
28.00,14.00,1.88,7.52,8.00,0.03,19.20
28.00,11.00,1.88,7.52,8.00,0.03,19.20
28.00,32.00,1.88,7.52,8.00,0.03,19.20
28.00,15.00,1.88,7.52,8.00,0.03,19.20
28.00,31.00,1.88,7.52,8.00,0.03,19.20
28.00,25.00,1.88,7.52,8.00,0.03,19.20
28.00,17.00,1.88,7.52,8.00,0.03,19.20
28.00,23.00,1.88,7.52,8.00,0.03,19.20
28.00,34.00,1.88,7.52,8.00,0.03,19.20
28.00,38.00,1.88,7.52,8.00,0.03,19.20
28.00,27.00,1.88,7.52,8.00,0.03,19.20
28.00,24.00,1.88,7.52,8.00,0.03,19.20
28.00,3.00,1.88,7.52,8.00,0.03,19.20
28.00,18.00,1.88,7.52,8.00,0.03,19.20
28.00,22.00,1.88,7.52,8.00,0.03,19.20
28.00,33.00,1.88,7.52,8.00,0.03,19.20
28.00,64.00,1.88,7.52,8.00,0.03,19.20
28.00,52.00,1.88,7.52,8.00,0.03,19.20
28.00,66.00,1.88,7.52,8.00,0.03,19.20
28.00,43.00,3.76,15.04,8.00,0.05,22.42
28.00,67.00,1.88,7.52,8.00,0.03,19.20
28.00,45.00,1.88,7.52,8.00,0.03,19.20
28.00,30.00,1.88,7.52,8.00,0.03,19.20
28.00,46.00,1.88,7.52,8.00,0.03,19.20
28.00,53.00,1.88,7.52,8.00,0.03,19.20
28.00,42.00,1.88,7.52,8.00,0.03,19.20
28.00,55.00,1.88,7.52,8.00,0.03,19.20
28.00,68.00,1.88,7.52,8.00,0.03,19.20
28.00,57.00,1.88,7.52,8.00,0.03,19.20
28.00,63.00,1.88,7.52,8.00,0.03,19.20
28.00,58.00,1.88,7.52,8.00,0.03,19.20
28.00,62.00,1.88,7.52,8.00,0.03,19.20
28.00,59.00,1.88,7.52,8.00,0.03,19.20
28.00,48.00,1.88,7.52,8.00,0.03,19.20
28.00,28.00,35.72,266.41,24.73,0.09,36.05
28.00,54.00,1.88,7.52,8.00,0.03,19.20
28.00,20.00,7.21,54.51,15.00,0.04,26.29
28.00,41.00,1.88,7.52,8.00,0.03,19.20
28.00,44.00,1.88,7.52,8.00,0.03,19.20
28.00,40.00,10.34,77.80,16.89,0.04,28.09
28.00,60.00,1.88,7.52,8.00,0.03,19.20
28.00,39.00,5.64,48.25,14.00,0.04,25.27
28.00,50.00,10.34,75.92,16.44,0.05,27.70
28.00,47.00,1.88,7.52,8.00,0.03,19.20
28.00,49.00,5.64,48.25,14.67,0.04,25.94
28.00,65.00,10.34,76.34,16.67,0.04,27.98
28.00,26.00,26.32,171.12,21.88,0.07,33.06
28.00,29.00,11.28,85.25,17.80,0.04,29.02
28.00,51.00,20.68,165.89,21.50,0.06,32.77
28.00,56.00,10.34,87.31,18.40,0.04,29.72
28.00,37.00,33.84,236.24,24.00,0.09,34.45
28.00,80.00,1.88,7.52,8.00,0.03,19.20
28.00,76.00,1.88,7.52,8.00,0.03,19.20
28.00,74.00,1.88,7.52,8.00,0.03,19.20
28.00,79.00,1.88,7.52,8.00,0.03,19.20
28.00,61.00,1.88,7.52,8.00,0.03,19.20
28.00,78.00,1.88,7.52,8.00,0.03,19.20
28.00,75.00,1.88,7.52,8.00,0.03,19.20
28.00,71.00,1.88,7.52,8.00,0.03,19.20
28.00,72.00,1.88,7.52,8.00,0.03,19.20
28.00,77.00,1.88,7.52,8.00,0.03,19.20
28.00,70.00,1.88,7.52,8.00,0.03,19.20
