generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.084375, 0.34375, 0.0, 15020.6, 50000.0, 26.0
2, 0.1375, 0.34375, 0.03125, 29.0, 32.0, 26.0
3, 0.159375, 0.34375, 0.03125, 27.9, 31.0, 26.0
4, 0.175, 0.34375, 0.125, 27.4, 30.0, 26.0
5, 0.18125, 0.34375, 0.125, 27.0, 30.0, 26.0
6, 0.19375, 0.34375, 0.125, 27.2, 30.0, 26.0
7, 0.19375, 0.34375, 0.125, 27.2, 30.0, 26.0
8, 0.2625, 0.46875, 0.125, 28.2, 33.0, 26.0
9, 0.296875, 0.46875, 0.125, 28.6, 33.0, 26.0
10, 0.328125, 0.46875, 0.125, 29.0, 33.0, 26.0
