method, generation, latency, ar
surrogate, 1, 35.0, 0.65625
surrogate, 1, 30.0, 0.59375
surrogate, 1, 28.0, 0.40625
surrogate, 1, 26.0, 0.34375
surrogate, 1, 24.0, 0.15625
surrogate, 1, 17.0, 0.03125
surrogate, 2, 35.0, 0.65625
surrogate, 2, 30.0, 0.59375
surrogate, 2, 30.0, 0.59375
surrogate, 2, 28.0, 0.40625
surrogate, 2, 28.0, 0.40625
surrogate, 2, 26.0, 0.34375
surrogate, 2, 24.0, 0.15625
surrogate, 2, 17.0, 0.03125
surrogate, 3, 35.0, 0.65625
surrogate, 3, 35.0, 0.65625
surrogate, 3, 30.0, 0.59375
surrogate, 3, 30.0, 0.59375
surrogate, 3, 30.0, 0.59375
surrogate, 3, 30.0, 0.59375
surrogate, 3, 28.0, 0.53125
surrogate, 3, 26.0, 0.34375
surrogate, 3, 24.0, 0.15625
surrogate, 3, 24.0, 0.15625
surrogate, 3, 17.0, 0.03125
surrogate, 4, 32.0, 0.65625
surrogate, 4, 30.0, 0.59375
surrogate, 4, 30.0, 0.59375
surrogate, 4, 30.0, 0.59375
surrogate, 4, 30.0, 0.59375
surrogate, 4, 30.0, 0.59375
surrogate, 4, 28.0, 0.53125
surrogate, 4, 27.0, 0.4375
surrogate, 4, 26.0, 0.34375
surrogate, 4, 24.0, 0.15625
surrogate, 4, 24.0, 0.15625
surrogate, 4, 17.0, 0.03125
surrogate, 5, 32.0, 0.65625
surrogate, 5, 32.0, 0.65625
surrogate, 5, 30.0, 0.59375
surrogate, 5, 30.0, 0.59375
surrogate, 5, 30.0, 0.59375
surrogate, 5, 30.0, 0.59375
surrogate, 5, 30.0, 0.59375
surrogate, 5, 28.0, 0.53125
surrogate, 5, 27.0, 0.4375
surrogate, 5, 26.0, 0.34375
surrogate, 5, 24.0, 0.15625
surrogate, 5, 24.0, 0.15625
surrogate, 5, 17.0, 0.03125
surrogate, 5, 17.0, 0.03125
surrogate, 6, 32.0, 0.71875
surrogate, 6, 30.0, 0.59375
surrogate, 6, 30.0, 0.59375
surrogate, 6, 30.0, 0.59375
surrogate, 6, 30.0, 0.59375
surrogate, 6, 30.0, 0.59375
surrogate, 6, 30.0, 0.59375
surrogate, 6, 28.0, 0.53125
surrogate, 6, 27.0, 0.4375
surrogate, 6, 26.0, 0.34375
surrogate, 6, 24.0, 0.15625
surrogate, 6, 24.0, 0.15625
surrogate, 6, 24.0, 0.15625
surrogate, 6, 17.0, 0.03125
surrogate, 6, 17.0, 0.03125
surrogate, 6, 17.0, 0.03125
surrogate, 6, 17.0, 0.03125
surrogate, 7, 32.0, 0.71875
surrogate, 7, 30.0, 0.59375
surrogate, 7, 30.0, 0.59375
surrogate, 7, 30.0, 0.59375
surrogate, 7, 30.0, 0.59375
surrogate, 7, 30.0, 0.59375
surrogate, 7, 30.0, 0.59375
surrogate, 7, 28.0, 0.53125
surrogate, 7, 28.0, 0.53125
surrogate, 7, 27.0, 0.4375
surrogate, 7, 27.0, 0.4375
surrogate, 7, 26.0, 0.34375
surrogate, 7, 24.0, 0.15625
surrogate, 7, 24.0, 0.15625
surrogate, 7, 24.0, 0.15625
surrogate, 7, 17.0, 0.03125
surrogate, 7, 17.0, 0.03125
surrogate, 7, 17.0, 0.03125
surrogate, 7, 17.0, 0.03125
surrogate, 7, 17.0, 0.03125
surrogate, 8, 32.0, 0.71875
surrogate, 8, 30.0, 0.59375
surrogate, 8, 30.0, 0.59375
surrogate, 8, 30.0, 0.59375
surrogate, 8, 30.0, 0.59375
surrogate, 8, 30.0, 0.59375
surrogate, 8, 30.0, 0.59375
surrogate, 8, 27.0, 0.53125
surrogate, 8, 25.0, 0.34375
surrogate, 8, 24.0, 0.15625
surrogate, 8, 24.0, 0.15625
surrogate, 8, 24.0, 0.15625
surrogate, 8, 17.0, 0.03125
surrogate, 8, 17.0, 0.03125
surrogate, 8, 17.0, 0.03125
surrogate, 8, 17.0, 0.03125
surrogate, 8, 17.0, 0.03125
surrogate, 8, 17.0, 0.03125
surrogate, 8, 17.0, 0.03125
surrogate, 9, 32.0, 0.71875
surrogate, 9, 30.0, 0.59375
surrogate, 9, 30.0, 0.59375
surrogate, 9, 30.0, 0.59375
surrogate, 9, 30.0, 0.59375
surrogate, 9, 30.0, 0.59375
surrogate, 9, 30.0, 0.59375
surrogate, 9, 27.0, 0.53125
surrogate, 9, 25.0, 0.34375
surrogate, 9, 24.0, 0.15625
surrogate, 9, 24.0, 0.15625
surrogate, 9, 24.0, 0.15625
surrogate, 9, 17.0, 0.03125
surrogate, 9, 17.0, 0.03125
surrogate, 9, 17.0, 0.03125
surrogate, 9, 17.0, 0.03125
surrogate, 9, 17.0, 0.03125
surrogate, 9, 17.0, 0.03125
surrogate, 9, 17.0, 0.03125
surrogate, 10, 32.0, 0.71875
