# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
131.00,16.00,0.94,5.64,12.00,0.02,23.11
131.00,0.00,0.94,5.64,12.00,0.02,23.11
131.00,21.00,0.94,5.64,12.00,0.02,23.11
131.00,28.00,0.94,5.64,12.00,0.02,23.11
131.00,4.00,0.94,5.64,12.00,0.02,23.11
131.00,9.00,0.94,5.64,12.00,0.02,23.11
131.00,15.00,0.94,5.64,12.00,0.02,23.11
131.00,14.00,0.94,5.64,12.00,0.02,23.11
131.00,27.00,0.94,5.64,12.00,0.02,23.11
131.00,2.00,0.94,5.64,12.00,0.02,23.11
131.00,23.00,0.94,5.64,12.00,0.02,23.11
131.00,18.00,0.94,5.64,12.00,0.02,23.11
131.00,7.00,1.88,15.66,15.33,0.04,26.67
131.00,30.00,0.94,5.64,12.00,0.02,23.11
131.00,12.00,0.94,5.64,12.00,0.02,23.11
131.00,10.00,0.94,5.64,12.00,0.02,23.11
131.00,1.00,0.94,5.64,12.00,0.02,23.11
131.00,13.00,0.94,5.64,12.00,0.02,23.11
131.00,24.00,0.94,5.64,12.00,0.02,23.11
131.00,3.00,0.94,5.64,12.00,0.02,23.11
131.00,20.00,0.94,5.64,12.00,0.02,23.11
131.00,26.00,0.94,5.64,12.00,0.02,23.11
131.00,11.00,0.94,5.64,12.00,0.02,23.11
131.00,17.00,4.23,30.00,19.00,0.04,32.37
131.00,6.00,0.94,5.64,12.00,0.02,23.11
131.00,19.00,0.94,5.64,12.00,0.02,23.11
131.00,5.00,4.23,30.00,19.00,0.04,32.37
131.00,8.00,7.99,63.91,17.33,0.08,30.42
131.00,32.00,0.94,5.64,12.00,0.02,23.11
131.00,56.00,0.94,5.64,12.00,0.02,23.11
131.00,61.00,0.94,5.64,12.00,0.02,23.11
131.00,31.00,0.94,5.64,12.00,0.02,23.11
131.00,48.00,0.94,5.64,12.00,0.02,23.11
131.00,52.00,0.94,5.64,12.00,0.02,23.11
131.00,50.00,0.94,5.64,12.00,0.02,23.11
131.00,38.00,0.94,5.64,12.00,0.02,23.11
131.00,44.00,0.94,5.64,12.00,0.02,23.11
131.00,40.00,0.94,5.64,12.00,0.02,23.11
131.00,59.00,0.94,5.64,12.00,0.02,23.11
131.00,49.00,0.94,5.64,12.00,0.02,23.11
131.00,34.00,0.94,5.64,12.00,0.02,23.11
131.00,35.00,2.82,26.86,17.33,0.05,30.89
131.00,41.00,4.23,30.31,19.33,0.04,32.70
131.00,39.00,0.94,5.64,12.00,0.02,23.11
131.00,37.00,0.94,5.64,12.00,0.02,23.11
131.00,46.00,4.70,41.54,16.80,0.06,29.36
131.00,29.00,7.99,63.91,17.33,0.08,30.42
131.00,55.00,9.40,74.02,19.38,0.09,33.09
131.00,43.00,8.93,73.20,17.76,0.09,31.65
131.00,47.00,0.94,5.64,12.00,0.02,23.11
131.00,63.00,0.94,5.64,12.00,0.02,23.11
131.00,53.00,0.94,5.64,12.00,0.02,23.11
131.00,51.00,0.94,5.64,12.00,0.02,23.11
131.00,54.00,0.94,5.64,12.00,0.02,23.11
131.00,33.00,0.94,5.64,12.00,0.02,23.11
131.00,57.00,0.94,5.64,12.00,0.02,23.11
131.00,45.00,0.94,5.64,12.00,0.02,23.11
131.00,60.00,0.94,5.64,12.00,0.02,23.11
131.00,42.00,0.94,5.64,12.00,0.02,23.11
131.00,58.00,1.41,10.34,14.00,0.04,25.32
131.00,22.00,7.99,68.23,17.75,0.08,30.98
131.00,36.00,8.93,74.08,18.12,0.09,31.90
131.00,62.00,11.75,90.72,18.90,0.10,33.15
131.00,25.00,22.56,168.25,23.67,0.22,42.57
131.00,92.00,0.94,5.64,12.00,0.02,23.11
131.00,80.00,0.94,5.64,12.00,0.02,23.11
131.00,65.00,0.94,5.64,12.00,0.02,23.11
131.00,77.00,0.94,5.64,12.00,0.02,23.11
131.00,73.00,0.94,5.64,12.00,0.02,23.11
131.00,95.00,0.94,5.64,12.00,0.02,23.11
131.00,66.00,0.94,5.64,12.00,0.02,23.11
131.00,76.00,0.94,5.64,12.00,0.02,23.11
131.00,89.00,0.94,5.64,12.00,0.02,23.11
131.00,70.00,0.94,5.64,12.00,0.02,23.11
131.00,88.00,0.94,5.64,12.00,0.02,23.11
131.00,71.00,0.94,5.64,12.00,0.02,23.11
131.00,67.00,0.94,5.64,12.00,0.02,23.11
131.00,64.00,0.94,5.64,12.00,0.02,23.11
131.00,93.00,0.94,5.64,12.00,0.02,23.11
131.00,78.00,1.41,10.34,14.00,0.04,25.32
131.00,68.00,15.98,116.78,20.42,0.14,36.51
131.00,69.00,16.92,121.92,20.64,0.15,36.94
131.00,91.00,29.61,203.35,24.17,0.26,40.52
131.00,98.00,0.94,5.64,12.00,0.02,23.11
131.00,82.00,0.94,5.64,12.00,0.02,23.11
131.00,86.00,0.94,5.64,12.00,0.02,23.11
131.00,87.00,0.94,5.64,12.00,0.02,23.11
131.00,74.00,0.94,5.64,12.00,0.02,23.11
131.00,85.00,0.94,5.64,12.00,0.02,23.11
131.00,97.00,0.94,5.64,12.00,0.02,23.11
131.00,72.00,0.94,5.64,12.00,0.02,23.11
131.00,84.00,0.94,5.64,12.00,0.02,23.11
131.00,94.00,0.94,5.64,12.00,0.02,23.11
131.00,75.00,1.88,15.66,15.33,0.04,26.67
131.00,96.00,3.29,28.90,18.33,0.05,32.77
131.00,81.00,4.70,41.54,16.80,0.06,29.36
131.00,90.00,13.63,104.97,20.00,0.12,35.10
131.00,99.00,16.92,120.46,20.40,0.14,36.55
131.00,83.00,23.03,167.25,23.53,0.23,40.62
131.00,79.00,28.20,209.69,25.09,0.26,41.46
