method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8652631578947367, 1.0, 0.7105263157894737, 202.3, 208.0, 167.0
emulator, 1.1, 1.0, 1.0, 1.0, 211.0, 211.0, 211.0
