# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
278.00,18.00,1.88,10.34,10.00,0.01,21.23
278.00,11.00,1.88,10.34,10.00,0.01,21.23
278.00,5.00,1.88,10.34,10.00,0.01,21.23
278.00,20.00,1.88,10.34,10.00,0.01,21.23
278.00,17.00,1.88,10.34,10.00,0.01,21.23
278.00,0.00,1.88,10.34,10.00,0.01,21.23
278.00,8.00,1.88,10.34,10.00,0.01,21.23
278.00,9.00,1.88,10.34,10.00,0.01,21.23
278.00,13.00,1.88,10.34,10.00,0.01,21.23
278.00,21.00,1.88,10.34,10.00,0.01,21.23
278.00,10.00,1.88,10.34,10.00,0.01,21.23
278.00,2.00,1.88,10.34,10.00,0.01,21.23
278.00,7.00,1.88,10.34,10.00,0.01,21.23
278.00,1.00,1.88,10.34,10.00,0.01,21.23
278.00,6.00,1.88,10.34,10.00,0.01,21.23
278.00,12.00,8.22,69.79,15.00,0.04,26.25
278.00,16.00,1.88,10.34,10.00,0.01,21.23
278.00,15.00,11.28,85.62,16.60,0.04,27.77
278.00,25.00,1.88,10.34,10.00,0.01,21.23
278.00,23.00,1.88,10.34,10.00,0.01,21.23
278.00,22.00,1.88,10.34,10.00,0.01,21.23
278.00,3.00,1.88,10.34,10.00,0.01,21.23
278.00,34.00,1.88,10.34,10.00,0.01,21.23
278.00,28.00,1.88,10.34,10.00,0.01,21.23
278.00,24.00,1.88,10.34,10.00,0.01,21.23
278.00,32.00,1.88,10.34,10.00,0.01,21.23
278.00,29.00,1.88,10.34,10.00,0.01,21.23
278.00,27.00,1.88,10.34,10.00,0.01,21.23
278.00,4.00,1.88,10.34,10.00,0.01,21.23
278.00,26.00,15.98,129.84,18.57,0.04,29.72
278.00,37.00,1.88,10.34,10.00,0.01,21.23
278.00,52.00,1.88,10.34,10.00,0.01,21.23
278.00,41.00,1.88,10.34,10.00,0.01,21.23
278.00,39.00,1.88,10.34,10.00,0.01,21.23
278.00,38.00,1.88,10.34,10.00,0.01,21.23
278.00,42.00,1.88,10.34,10.00,0.01,21.23
278.00,45.00,1.88,10.34,10.00,0.01,21.23
278.00,43.00,1.88,10.34,10.00,0.01,21.23
278.00,53.00,1.88,10.34,10.00,0.01,21.23
278.00,30.00,1.88,10.34,10.00,0.01,21.23
278.00,36.00,4.70,35.95,16.00,0.02,27.11
278.00,48.00,1.88,10.34,10.00,0.01,21.23
278.00,31.00,1.88,10.34,10.00,0.01,21.23
278.00,44.00,1.88,10.34,10.00,0.01,21.23
278.00,19.00,8.46,74.88,15.11,0.04,26.30
278.00,33.00,12.22,97.92,18.00,0.04,29.20
278.00,40.00,10.34,87.88,16.80,0.04,28.09
278.00,35.00,15.98,126.01,18.14,0.04,29.29
278.00,67.00,1.88,10.34,10.00,0.01,21.23
278.00,65.00,1.88,10.34,10.00,0.01,21.23
278.00,68.00,1.88,10.34,10.00,0.01,21.23
278.00,66.00,1.88,10.34,10.00,0.01,21.23
278.00,70.00,1.88,10.34,10.00,0.01,21.23
278.00,61.00,1.88,10.34,10.00,0.01,21.23
278.00,63.00,1.88,10.34,10.00,0.01,21.23
278.00,49.00,1.88,10.34,10.00,0.01,21.23
278.00,69.00,1.88,10.34,10.00,0.01,21.23
278.00,56.00,1.88,10.34,10.00,0.01,21.23
278.00,55.00,1.88,10.34,10.00,0.01,21.23
278.00,14.00,32.90,259.17,22.58,0.08,38.19
278.00,59.00,1.88,10.34,10.00,0.01,21.23
278.00,50.00,1.88,10.34,10.00,0.01,21.23
278.00,58.00,1.88,10.34,10.00,0.01,21.23
278.00,62.00,1.88,10.34,10.00,0.01,21.23
278.00,57.00,1.88,10.34,10.00,0.01,21.23
278.00,47.00,1.88,10.34,10.00,0.01,21.23
278.00,54.00,3.76,36.89,14.50,0.02,25.58
278.00,51.00,7.25,61.23,14.86,0.03,25.99
278.00,60.00,20.68,163.26,19.18,0.06,30.43
278.00,75.00,1.88,10.34,10.00,0.01,21.23
278.00,72.00,1.88,10.34,10.00,0.01,21.23
278.00,83.00,1.88,10.34,10.00,0.01,21.23
278.00,77.00,1.88,10.34,10.00,0.01,21.23
278.00,79.00,1.88,10.34,10.00,0.01,21.23
278.00,76.00,1.88,10.34,10.00,0.01,21.23
278.00,80.00,1.88,10.34,10.00,0.01,21.23
278.00,71.00,1.88,10.34,10.00,0.01,21.23
278.00,74.00,8.46,74.88,15.11,0.04,26.30
278.00,78.00,14.10,106.36,17.83,0.04,28.89
278.00,73.00,8.46,69.79,16.75,0.03,27.78
278.00,89.00,1.88,10.34,10.00,0.01,21.23
278.00,94.00,1.88,10.34,10.00,0.01,21.23
278.00,82.00,1.88,10.34,10.00,0.01,21.23
278.00,87.00,1.88,10.34,10.00,0.01,21.23
278.00,88.00,1.88,10.34,10.00,0.01,21.23
278.00,91.00,1.88,10.34,10.00,0.01,21.23
278.00,85.00,1.88,10.34,10.00,0.01,21.23
278.00,92.00,1.88,10.34,10.00,0.01,21.23
278.00,86.00,1.88,10.34,10.00,0.01,21.23
278.00,84.00,5.64,50.60,14.00,0.03,25.10
278.00,90.00,9.40,76.34,15.78,0.03,26.89
278.00,93.00,1.88,10.34,10.00,0.01,21.23
278.00,97.00,1.88,10.34,10.00,0.01,21.23
278.00,99.00,1.88,10.34,10.00,0.01,21.23
278.00,98.00,1.88,10.34,10.00,0.01,21.23
278.00,95.00,1.88,10.34,10.00,0.01,21.23
278.00,96.00,1.88,10.34,10.00,0.01,21.23
278.00,64.00,37.60,301.42,23.26,0.10,34.54
278.00,46.00,38.54,315.87,23.29,0.09,34.31
278.00,81.00,26.32,209.77,20.86,0.07,31.44
