algorithm,topology,generations,converged,time_taken,hv
bega,25n50e,100,False,1106.83,0.7005633939042232
bega,25n50e,100,False,988.06,1.001282748781933
bega,25n50e,100,False,1064.6,0.9998803090203476
bega,25n50e,100,False,1024.97,0.7554132965797394
bega,25n50e,100,False,1061.99,0.9182945848899207
bega,25n50e,100,False,1118.52,0.6169223701231971
bega,25n50e,24,True,393.01,1.0532673219445552
bega,25n50e,9,True,221.90999999999997,1.0797250734467376
bega,25n50e,100,False,1063.52,0.7819435880695902
bega,25n50e,100,False,1000.59,0.9998561290244582
bega,25n50e,100,False,1024.07,0.4805351033090325
bega,25n50e,9,True,205.82000000000005,1.0807648132699819
bega,25n50e,18,True,295.3299999999999,1.081320953175438
bega,25n50e,20,True,337.9200000000001,1.0804021133316408
bega,25n50e,100,False,989.84,0.6176235900039897
bega,25n50e,100,False,1091.18,0.5899931087011717
bega,25n50e,7,True,184.19000000000005,1.0528683520123803
bega,25n50e,43,True,598.48,1.0810307932247654
bega,25n50e,100,False,1022.45,0.9989614691765503
bega,25n50e,68,True,812.1099999999999,1.082288153011014
bega,dc,100,False,640.58,0.9168115451420376
bega,dc,100,False,620.84,0.4666485316697496
bega,dc,100,False,634.95,0.7765578969851576
bega,dc,100,False,638.8,0.7218490442856624
bega,dc,100,False,656.76,0.9382680674944287
bega,dc,100,False,663.37,0.9774847968275846
bega,dc,100,False,652.12,0.686934742221094
bega,dc,100,False,630.64,0.6872652021649156
bega,dc,100,False,657.88,1.0402367221597575
bega,dc,100,False,606.29,0.7597455458432573
bega,dc,100,False,622.62,0.7966990275611654
bega,dc,100,False,627.88,0.502344653601409
bega,dc,100,False,659.59,1.022746525133091
bega,dc,100,False,627.06,0.7971987474762131
bega,dc,100,False,655.44,0.9075223967211926
bega,dc,100,False,638.06,1.0012891967808366
bega,dc,100,False,617.06,0.6327860594263701
bega,dc,100,False,642.72,0.5579360761508673
bega,dc,100,False,641.22,0.7231628240623199
bega,dc,100,False,646.0,0.6862738223334501
bega,milan,100,False,1118.63,0.8822252850217015
bega,milan,100,False,1114.34,0.32692321642305316
bega,milan,100,False,1109.62,0.30035665493936864
bega,milan,100,False,1119.86,0.5315041166443003
bega,milan,100,False,1115.69,0.6262884915309566
bega,milan,100,False,1092.8,0.585652799439024
bega,milan,100,False,1065.39,0.3001511249743087
bega,milan,100,False,1072.29,0.6130293907850035
bega,milan,100,False,1080.24,0.6135009007048468
bega,milan,100,False,1065.51,0.6532902929406502
bega,milan,100,False,1078.55,0.7089139554846274
bega,milan,100,False,1093.43,0.7478570478643018
bega,milan,100,False,1061.55,0.272943793599555
bega,milan,100,False,1056.3,0.24620797214464468
bega,milan,100,False,1128.16,0.42327929104252054
bega,milan,100,False,1074.28,0.4503657224378271
bega,milan,100,False,1044.23,0.23233228150351215
bega,milan,100,False,1075.65,0.5989360801808664
bega,milan,100,False,1090.92,0.7346100371162937
bega,milan,100,False,1015.81,0.7345254071306808
gaha,25n50e,2,True,165.07000000000005,1.0240651409089259
gaha,25n50e,1,True,170.65999999999997,1.0239200609335897
gaha,25n50e,1,True,124.25,1.0238717009418108
gaha,25n50e,6,True,161.89999999999998,1.0242102208842625
gaha,25n50e,5,True,181.54999999999995,1.0514054622610713
gaha,25n50e,5,True,195.84000000000003,1.0252136907136726
gaha,25n50e,9,True,205.78999999999996,1.0521913121274769
gaha,25n50e,1,True,158.39999999999998,1.0234001910219677
gaha,25n50e,9,True,221.03999999999996,1.0251653307218938
gaha,25n50e,8,True,222.89,1.0250202507465573
gaha,25n50e,10,True,216.52999999999997,1.0242344008801518
gaha,25n50e,1,True,157.26999999999998,1.0240409609130368
gaha,25n50e,10,True,243.63,1.0259270005924102
gaha,25n50e,7,True,192.72000000000003,1.0249718907547785
gaha,25n50e,13,True,268.1099999999999,1.026809570442373
gaha,25n50e,14,True,282.8399999999999,1.0250927907342255
gaha,25n50e,24,True,402.44000000000005,1.0260237205759677
gaha,25n50e,8,True,168.55999999999995,1.0250927907342258
gaha,25n50e,3,True,124.23000000000002,1.0233518310301886
gaha,25n50e,1,True,140.76999999999998,1.0514538222528502
gaha,dc,100,False,629.53,1.021566541333688
gaha,dc,100,False,625.82,1.050112638480851
gaha,dc,100,False,626.77,1.0236258709836021
gaha,dc,100,False,625.88,1.0575004332249267
gaha,dc,100,False,628.77,1.0041738702904421
gaha,dc,100,False,640.68,1.0437267015664609
gaha,dc,100,False,631.62,1.0353805729853025
gaha,dc,100,False,643.97,1.0364767327989552
gaha,dc,100,False,633.33,1.0424927157762383
gaha,dc,100,False,628.16,1.0221468612350335
gaha,dc,100,False,637.35,1.0259028205965206
gaha,dc,100,False,630.89,1.029106670051866
gaha,dc,100,False,632.95,1.012768246829398
gaha,dc,100,False,639.56,1.0238539689448252
gaha,dc,100,False,632.18,1.0584789170585844
gaha,dc,100,False,634.45,1.0235170610020998
gaha,dc,100,False,636.15,1.00123600078988
gaha,dc,100,False,631.14,1.026031780574597
gaha,dc,100,False,634.14,1.035629626942963
gaha,dc,100,False,637.44,1.0295652839739018
gaha,milan,41,True,944.74,1.016073652267479
gaha,milan,22,True,736.21,1.0294778329887686
gaha,milan,15,True,621.31,1.0160615622695344
gaha,milan,18,True,655.1700000000001,1.0160252922757003
gaha,milan,36,True,915.23,1.0161461922551476
gaha,milan,12,True,526.72,1.015880212300364
gaha,milan,34,True,726.8199999999999,1.0161461922551476
gaha,milan,23,True,627.0799999999999,1.016629792172935
gaha,milan,1,True,267.4000000000001,1.0159527522880323
gaha,milan,27,True,599.8299999999999,1.0160494722715898
gaha,milan,100,False,1332.95,1.0041444512954434
gaha,milan,23,True,682.8800000000001,1.0168836821297742
gaha,milan,31,True,810.3399999999999,1.0160736522674794
gaha,milan,14,True,465.8399999999999,1.0159527522880323
gaha,milan,9,True,552.6700000000001,1.0157472223229722
gaha,milan,30,True,729.5899999999999,1.016085742265424
gaha,milan,14,True,400.78999999999996,1.0160373822736453
gaha,milan,18,True,648.8499999999999,1.0158681223024193
gaha,milan,30,True,697.6300000000001,1.016158282253092
gaha,milan,27,True,661.0699999999999,1.016109922261313
genesis,25n50e,1,True,193.32000000000005,1.02330347103841
genesis,25n50e,1,True,229.66999999999996,1.0495194225816982
genesis,25n50e,5,True,410.81999999999994,1.0251411507260042
genesis,25n50e,1,True,155.23000000000002,1.0774279738372445
genesis,25n50e,2,True,258.54999999999995,1.050498712415219
genesis,25n50e,6,True,521.6199999999999,1.0250444307424469
genesis,25n50e,2,True,219.30999999999995,1.0233760110260783
genesis,25n50e,1,True,215.38,1.0495436025775875
genesis,25n50e,1,True,195.67999999999995,1.0768597439338434
genesis,25n50e,3,True,326.5799999999999,1.050740512374113
genesis,25n50e,2,True,228.07000000000005,1.02330347103841
genesis,25n50e,1,True,205.82000000000005,1.051429642256961
genesis,25n50e,1,True,205.47000000000003,1.0522880321110346
genesis,25n50e,1,True,190.51999999999998,1.050740512374113
