method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8640000000000001, 1.0, 0.7, 208.4, 244.0, 117.0
emulator, 1.1, 1.0, 1.0, 1.0, 225.0, 225.0, 225.0
