mutation_pb,individual_pb,crossover_pb,runs,mean_generations,median_generations,max_generations,min_generations,q1_generations,q3_generations,iqr_generations,ci_generations,generations_upper_lower,std_deviation_generations,converged_number,convergence_percent,mean_time_taken,std_deviation_time_taken,q1_time_taken,q3_time_taken,iqr_time_taken,ci_time_taken,time_taken_upper_lower
0.7,0.2,0.5,20,50.85,30.0,100,5,13.75,100.0,86.25,19.1,31.75-69.95,40.81,12,60.0,226.73,182.1,60.73,444.28,383.54,85.22,141.51-311.95
0.7,0.2,0.7,20,53.5,38.0,100,3,16.5,100.0,83.5,18.58,34.92-72.08,39.7,12,60.0,284.2,212.85,89.76,492.12,402.36,99.62,184.58-383.82
0.7,0.2,1.0,20,38.85,16.5,100,1,10.0,76.0,66.0,18.27,20.58-57.12,39.03,15,75.0,227.46,229.96,57.28,442.84,385.57,107.62,119.84-335.08
0.7,0.5,0.2,20,68.05,84.5,100,7,28.25,100.0,71.75,17.64,50.41-85.69,37.68,11,55.0,168.17,92.9,67.88,245.62,177.73,43.48,124.69-211.65
0.7,0.5,0.5,20,41.7,21.0,100,1,9.25,100.0,90.75,18.66,23.04-60.36,39.86,14,70.0,187.64,179.98,40.22,445.01,404.79,84.23,103.41-271.87
0.7,0.5,0.7,20,59,52.0,100,10,14.0,100.0,86.0,18.29,40.71-77.29,39.09,11,55.0,312.41,203.39,77.58,525.34,447.77,95.19,217.22-407.6
0.7,0.5,1.0,20,47.85,22.0,100,5,11.0,100.0,89.0,20.06,27.79-67.91,42.87,12,60.0,283.62,254.97,66.39,591.8,525.42,119.33,164.29-402.95
0.7,0.7,0.2,20,67.55,89.0,100,1,27.5,100.0,72.5,17.95,49.6-85.5,38.35,11,55.0,171.59,97.36,69.89,252.53,182.64,45.57,126.02-217.16
0.7,0.7,0.5,20,42.3,19.5,100,1,11.0,92.5,81.5,18.42,23.88-60.72,39.36,15,75.0,191.17,178.91,44.18,420.46,376.28,83.73,107.44-274.9
0.7,0.7,0.7,20,52.9,33.0,100,3,20.0,100.0,80.0,18.44,34.46-71.34,39.4,12,60.0,297.84,221.32,117.12,560.88,443.76,103.58,194.26-401.42
0.7,0.7,1.0,20,28.2,17.0,100,4,12.0,24.0,12.0,14.49,13.71-42.69,30.95,17,85.0,163.59,177.69,69.48,139.86,70.38,83.16,80.43-246.75
0.7,1.0,0.2,20,72.45,92.5,100,15,40.5,100.0,59.5,15.47,56.98-87.92,33.06,10,50.0,183.81,83.12,104.78,253.98,149.2,38.9,144.91-222.71
