method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8502173913043475, 0.9565217391304348, 0.6956521739130435, 205.49, 209.0, 167.0
surrogate, 2, 0.8876086956521735, 0.9565217391304348, 0.6956521739130435, 200.85, 209.0, 88.0
surrogate, 3, 0.8913043478260871, 0.9565217391304348, 0.5869565217391305, 194.48, 209.0, 88.0
surrogate, 4, 0.8926086956521739, 0.9565217391304348, 0.5869565217391305, 189.99, 209.0, 88.0
surrogate, 5, 0.9054347826086955, 0.9565217391304348, 0.5869565217391305, 186.39, 209.0, 81.0
surrogate, 6, 0.9119565217391306, 0.9782608695652174, 0.5869565217391305, 186.2, 209.0, 81.0
surrogate, 7, 0.9121739130434783, 0.9782608695652174, 0.5869565217391305, 184.17, 209.0, 81.0
surrogate, 8, 0.9163043478260872, 0.9782608695652174, 0.7608695652173914, 181.91, 209.0, 63.0
surrogate, 9, 0.9171739130434784, 0.9782608695652174, 0.7608695652173914, 181.89, 209.0, 63.0
surrogate, 10, 0.9178260869565219, 1.0, 0.7608695652173914, 178.16, 210.0, 63.0
emulator, 10.1, 1.0, 1.0, 1.0, 216.0, 216.0, 216.0
