# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
468.00,19.00,0.94,5.17,12.00,0.04,23.32
468.00,13.00,0.94,5.17,12.00,0.04,23.32
468.00,8.00,0.94,5.17,12.00,0.04,23.32
468.00,12.00,0.94,5.17,12.00,0.04,23.32
468.00,35.00,0.94,5.17,12.00,0.04,23.32
468.00,34.00,0.94,5.17,12.00,0.04,23.32
468.00,11.00,0.94,5.17,12.00,0.04,23.32
468.00,28.00,0.94,5.17,12.00,0.04,23.32
468.00,7.00,0.94,5.17,12.00,0.04,23.32
468.00,5.00,1.72,11.28,11.33,0.06,24.17
468.00,10.00,0.94,5.17,12.00,0.04,23.32
468.00,27.00,0.94,5.17,12.00,0.04,23.32
468.00,20.00,0.94,5.17,12.00,0.04,23.32
468.00,17.00,0.94,5.17,12.00,0.04,23.32
468.00,1.00,0.94,5.17,12.00,0.04,23.32
468.00,9.00,0.94,5.17,12.00,0.04,23.32
468.00,0.00,0.94,5.17,12.00,0.04,23.32
468.00,21.00,0.94,5.17,12.00,0.04,23.32
468.00,36.00,0.94,5.17,12.00,0.04,23.32
468.00,6.00,0.94,5.17,12.00,0.04,23.32
468.00,4.00,0.94,5.17,12.00,0.04,23.32
468.00,24.00,0.94,5.17,12.00,0.04,23.32
468.00,29.00,0.94,5.17,12.00,0.04,23.32
468.00,14.00,5.64,43.09,16.60,0.07,29.38
468.00,30.00,5.64,42.20,16.20,0.07,29.23
468.00,2.00,10.81,77.04,18.82,0.09,32.45
468.00,18.00,11.75,78.78,18.94,0.11,33.88
468.00,49.00,0.94,5.17,12.00,0.04,23.32
468.00,50.00,0.94,5.17,12.00,0.04,23.32
468.00,63.00,0.94,5.17,12.00,0.04,23.32
468.00,47.00,0.94,5.17,12.00,0.04,23.32
468.00,61.00,0.94,5.17,12.00,0.04,23.32
468.00,57.00,0.94,5.17,12.00,0.04,23.32
468.00,37.00,0.94,5.17,12.00,0.04,23.32
468.00,45.00,0.94,5.17,12.00,0.04,23.32
468.00,51.00,0.94,5.17,12.00,0.04,23.32
468.00,22.00,0.94,5.17,12.00,0.04,23.32
468.00,31.00,0.94,7.05,18.00,0.02,29.11
468.00,46.00,0.94,5.17,12.00,0.04,23.32
468.00,26.00,0.94,5.17,12.00,0.04,23.32
468.00,48.00,0.94,5.17,12.00,0.04,23.32
468.00,25.00,0.94,5.17,12.00,0.04,23.32
468.00,55.00,0.94,5.17,12.00,0.04,23.32
468.00,40.00,0.94,5.17,12.00,0.04,23.32
468.00,23.00,0.94,5.17,12.00,0.04,23.32
468.00,58.00,0.94,5.17,12.00,0.04,23.32
468.00,44.00,0.94,5.17,12.00,0.04,23.32
468.00,41.00,0.94,5.17,12.00,0.04,23.32
468.00,38.00,1.72,11.28,11.33,0.06,24.17
468.00,39.00,0.94,5.17,12.00,0.04,23.32
468.00,16.00,14.57,95.47,20.00,0.11,34.36
468.00,32.00,10.81,77.04,18.82,0.09,32.45
468.00,15.00,17.39,120.74,19.23,0.17,35.99
468.00,3.00,18.80,129.27,20.08,0.21,43.17
468.00,66.00,0.94,5.17,12.00,0.04,23.32
468.00,64.00,0.94,5.17,12.00,0.04,23.32
468.00,69.00,0.94,5.17,12.00,0.04,23.32
468.00,65.00,0.94,5.17,12.00,0.04,23.32
468.00,67.00,0.94,5.17,12.00,0.04,23.32
468.00,53.00,0.94,5.17,12.00,0.04,23.32
468.00,52.00,0.94,5.17,12.00,0.04,23.32
468.00,60.00,0.94,5.17,12.00,0.04,23.32
468.00,54.00,0.94,5.17,12.00,0.04,23.32
468.00,59.00,0.94,5.17,12.00,0.04,23.32
468.00,43.00,16.92,113.55,19.67,0.13,35.41
468.00,42.00,7.99,56.25,17.08,0.08,30.27
468.00,62.00,10.34,68.30,18.40,0.08,31.14
468.00,75.00,0.94,5.17,12.00,0.04,23.32
468.00,73.00,0.94,5.17,12.00,0.04,23.32
468.00,79.00,0.94,5.17,12.00,0.04,23.32
468.00,72.00,0.94,5.17,12.00,0.04,23.32
468.00,77.00,0.94,5.17,12.00,0.04,23.32
468.00,70.00,0.94,5.17,12.00,0.04,23.32
468.00,80.00,0.94,5.17,12.00,0.04,23.32
468.00,85.00,0.94,5.17,12.00,0.04,23.32
468.00,71.00,0.94,5.17,12.00,0.04,23.32
468.00,68.00,0.94,5.17,12.00,0.04,23.32
468.00,78.00,0.94,5.17,12.00,0.04,23.32
