method, generation, power, ar
surrogate, 1, 239.0, 0.9473684210526315
surrogate, 1, 239.0, 0.9473684210526315
surrogate, 1, 223.0, 0.9210526315789473
surrogate, 1, 223.0, 0.9210526315789473
surrogate, 1, 119.0, 0.8947368421052632
surrogate, 2, 240.0, 0.9736842105263158
surrogate, 2, 232.0, 0.9473684210526315
surrogate, 2, 159.0, 0.9210526315789473
surrogate, 2, 119.0, 0.8947368421052632
surrogate, 3, 208.0, 0.9736842105263158
surrogate, 3, 200.0, 0.9473684210526315
surrogate, 3, 159.0, 0.9210526315789473
surrogate, 3, 119.0, 0.8947368421052632
surrogate, 3, 103.0, 0.8157894736842105
surrogate, 4, 208.0, 0.9736842105263158
surrogate, 4, 200.0, 0.9473684210526315
surrogate, 4, 95.0, 0.9210526315789473
surrogate, 5, 208.0, 0.9736842105263158
surrogate, 5, 200.0, 0.9473684210526315
surrogate, 5, 95.0, 0.9210526315789473
surrogate, 5, 63.0, 0.8947368421052632
surrogate, 6, 208.0, 0.9736842105263158
surrogate, 6, 200.0, 0.9473684210526315
surrogate, 6, 95.0, 0.9210526315789473
surrogate, 6, 63.0, 0.8947368421052632
surrogate, 6, 62.0, 0.6578947368421053
surrogate, 7, 208.0, 0.9736842105263158
surrogate, 7, 200.0, 0.9473684210526315
surrogate, 7, 95.0, 0.9210526315789473
surrogate, 7, 63.0, 0.8947368421052632
surrogate, 7, 62.0, 0.6578947368421053
surrogate, 8, 232.0, 1.0
surrogate, 8, 208.0, 0.9736842105263158
surrogate, 8, 200.0, 0.9473684210526315
surrogate, 8, 95.0, 0.9210526315789473
surrogate, 8, 63.0, 0.8947368421052632
surrogate, 8, 62.0, 0.6578947368421053
emulator, 8.1, 239.0, 1.0
