method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.8472499999999998, 0.95, 0.675, 236.82, 248.0, 167.0
surrogate, 2, 0.8677500000000002, 0.95, 0.725, 231.71, 248.0, 127.0
surrogate, 3, 0.8780000000000001, 0.975, 0.725, 224.32, 248.0, 127.0
surrogate, 4, 0.8869999999999999, 0.975, 0.725, 216.93, 248.0, 102.0
surrogate, 5, 0.8952500000000003, 0.975, 0.65, 214.0, 248.0, 72.0
surrogate, 6, 0.89225, 0.975, 0.65, 208.07, 248.0, 63.0
surrogate, 7, 0.885, 0.975, 0.65, 197.13, 248.0, 63.0
surrogate, 8, 0.8855, 0.975, 0.65, 186.17, 248.0, 63.0
surrogate, 9, 0.8807499999999999, 0.975, 0.65, 173.34, 248.0, 63.0
surrogate, 10, 0.8815000000000001, 0.975, 0.65, 161.65, 248.0, 62.0
surrogate, 11, 0.8932499999999999, 0.975, 0.675, 164.14, 248.0, 55.0
surrogate, 12, 0.89625, 0.975, 0.675, 161.07, 248.0, 55.0
surrogate, 13, 0.9017499999999999, 0.975, 0.675, 157.84, 248.0, 55.0
surrogate, 14, 0.9064999999999999, 0.975, 0.725, 161.58, 248.0, 55.0
surrogate, 15, 0.8939999999999999, 1.0, 0.725, 140.17, 248.0, 55.0
emulator, 15.1, 1.0, 1.0, 1.0, 239.0, 239.0, 239.0
