method, generation, power, ar
surrogate, 1, 224.0, 0.95
surrogate, 1, 200.0, 0.925
surrogate, 1, 167.0, 0.825
surrogate, 2, 224.0, 0.95
surrogate, 2, 200.0, 0.925
surrogate, 2, 127.0, 0.825
surrogate, 3, 232.0, 0.975
surrogate, 3, 224.0, 0.95
surrogate, 3, 224.0, 0.95
surrogate, 3, 200.0, 0.925
surrogate, 3, 151.0, 0.9
surrogate, 3, 127.0, 0.825
surrogate, 3, 127.0, 0.825
surrogate, 4, 232.0, 0.975
surrogate, 4, 224.0, 0.95
surrogate, 4, 224.0, 0.95
surrogate, 4, 200.0, 0.925
surrogate, 4, 127.0, 0.9
surrogate, 4, 111.0, 0.8
surrogate, 4, 102.0, 0.725
surrogate, 5, 232.0, 0.975
surrogate, 5, 224.0, 0.95
surrogate, 5, 224.0, 0.95
surrogate, 5, 200.0, 0.925
surrogate, 5, 72.0, 0.9
surrogate, 6, 232.0, 0.975
surrogate, 6, 224.0, 0.95
surrogate, 6, 224.0, 0.95
surrogate, 6, 200.0, 0.925
surrogate, 6, 72.0, 0.9
surrogate, 6, 63.0, 0.825
surrogate, 7, 232.0, 0.975
surrogate, 7, 224.0, 0.95
surrogate, 7, 224.0, 0.95
surrogate, 7, 200.0, 0.925
surrogate, 7, 72.0, 0.9
surrogate, 7, 63.0, 0.825
surrogate, 8, 232.0, 0.975
surrogate, 8, 224.0, 0.95
surrogate, 8, 224.0, 0.95
surrogate, 8, 88.0, 0.925
surrogate, 8, 72.0, 0.9
surrogate, 8, 63.0, 0.825
surrogate, 8, 63.0, 0.825
surrogate, 9, 232.0, 0.975
surrogate, 9, 232.0, 0.975
surrogate, 9, 224.0, 0.95
surrogate, 9, 224.0, 0.95
surrogate, 9, 88.0, 0.925
surrogate, 9, 72.0, 0.9
surrogate, 9, 63.0, 0.85
surrogate, 10, 232.0, 0.975
surrogate, 10, 232.0, 0.975
surrogate, 10, 168.0, 0.95
surrogate, 10, 88.0, 0.925
surrogate, 10, 72.0, 0.9
surrogate, 10, 63.0, 0.85
surrogate, 10, 62.0, 0.8
surrogate, 11, 232.0, 0.975
surrogate, 11, 232.0, 0.975
surrogate, 11, 168.0, 0.95
surrogate, 11, 88.0, 0.925
surrogate, 11, 72.0, 0.9
surrogate, 11, 55.0, 0.85
surrogate, 12, 232.0, 0.975
surrogate, 12, 232.0, 0.975
surrogate, 12, 168.0, 0.95
surrogate, 12, 88.0, 0.925
surrogate, 12, 72.0, 0.9
surrogate, 12, 72.0, 0.9
surrogate, 12, 55.0, 0.85
surrogate, 13, 232.0, 0.975
surrogate, 13, 232.0, 0.975
surrogate, 13, 80.0, 0.95
surrogate, 13, 72.0, 0.9
surrogate, 13, 72.0, 0.9
surrogate, 13, 55.0, 0.875
surrogate, 14, 232.0, 0.975
surrogate, 14, 232.0, 0.975
surrogate, 14, 80.0, 0.95
surrogate, 14, 56.0, 0.925
surrogate, 14, 55.0, 0.875
surrogate, 15, 248.0, 1.0
surrogate, 15, 232.0, 0.975
surrogate, 15, 232.0, 0.975
surrogate, 15, 80.0, 0.95
surrogate, 15, 56.0, 0.925
surrogate, 15, 55.0, 0.875
emulator, 15.1, 239.0, 1.0
