# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
427.00,0.00,0.94,5.64,12.00,0.01,23.37
427.00,9.00,0.94,5.64,12.00,0.01,23.37
427.00,3.00,0.94,5.64,12.00,0.01,23.37
427.00,8.00,0.94,5.64,12.00,0.01,23.37
427.00,6.00,0.94,5.64,12.00,0.01,23.37
427.00,12.00,0.94,5.64,12.00,0.01,23.37
427.00,4.00,0.94,5.64,12.00,0.01,23.37
427.00,10.00,0.94,5.64,12.00,0.01,23.37
427.00,2.00,0.94,5.64,12.00,0.01,23.37
427.00,13.00,1.88,10.10,13.00,0.01,24.16
427.00,5.00,0.94,5.64,12.00,0.01,23.37
427.00,7.00,8.93,70.08,17.33,0.03,28.45
427.00,1.00,15.04,113.67,19.25,0.04,30.44
427.00,32.00,0.94,5.64,12.00,0.01,23.37
427.00,23.00,0.94,5.64,12.00,0.01,23.37
427.00,36.00,0.94,5.64,12.00,0.01,23.37
427.00,24.00,0.94,5.64,12.00,0.01,23.37
427.00,14.00,0.94,5.64,12.00,0.01,23.37
427.00,15.00,0.94,5.64,12.00,0.01,23.37
427.00,31.00,0.94,5.64,12.00,0.01,23.37
427.00,11.00,0.94,5.64,12.00,0.01,23.37
427.00,19.00,0.94,5.64,12.00,0.01,23.37
427.00,16.00,1.88,10.10,13.00,0.01,24.16
427.00,22.00,0.94,5.64,12.00,0.01,23.37
427.00,17.00,0.94,5.64,12.00,0.01,23.37
427.00,21.00,0.94,5.64,12.00,0.01,23.37
427.00,27.00,0.94,5.64,12.00,0.01,23.37
427.00,38.00,0.94,5.64,12.00,0.01,23.37
427.00,18.00,0.94,5.64,12.00,0.01,23.37
427.00,33.00,0.94,5.64,12.00,0.01,23.37
427.00,34.00,0.94,5.64,12.00,0.01,23.37
427.00,29.00,0.94,5.64,12.00,0.01,23.37
427.00,30.00,5.64,39.74,16.00,0.03,27.05
427.00,26.00,26.79,188.74,22.65,0.07,38.97
427.00,39.00,0.94,5.64,12.00,0.01,23.37
427.00,66.00,0.94,5.64,12.00,0.01,23.37
427.00,67.00,0.94,5.64,12.00,0.01,23.37
427.00,61.00,0.94,5.64,12.00,0.01,23.37
427.00,56.00,0.94,5.64,12.00,0.01,23.37
427.00,54.00,0.94,5.64,12.00,0.01,23.37
427.00,35.00,0.94,5.64,12.00,0.01,23.37
427.00,48.00,0.94,5.64,12.00,0.01,23.37
427.00,69.00,0.94,5.64,12.00,0.01,23.37
427.00,57.00,0.94,5.64,12.00,0.01,23.37
427.00,71.00,0.94,5.64,12.00,0.01,23.37
427.00,59.00,0.94,5.64,12.00,0.01,23.37
427.00,28.00,0.94,5.64,12.00,0.01,23.37
427.00,65.00,0.94,5.64,12.00,0.01,23.37
427.00,49.00,0.94,5.64,12.00,0.01,23.37
427.00,72.00,0.94,5.64,12.00,0.01,23.37
427.00,51.00,2.82,23.12,14.80,0.01,25.94
427.00,55.00,0.94,5.64,12.00,0.01,23.37
427.00,41.00,0.94,5.64,12.00,0.01,23.37
427.00,42.00,0.94,5.64,12.00,0.01,23.37
427.00,60.00,0.94,5.64,12.00,0.01,23.37
427.00,53.00,0.94,5.64,12.00,0.01,23.37
427.00,43.00,0.94,5.64,12.00,0.01,23.37
427.00,70.00,0.94,5.64,12.00,0.01,23.37
427.00,25.00,0.94,5.64,12.00,0.01,23.37
427.00,45.00,0.94,5.64,12.00,0.01,23.37
427.00,46.00,0.94,5.64,12.00,0.01,23.37
427.00,63.00,0.94,5.64,12.00,0.01,23.37
427.00,50.00,0.94,5.64,12.00,0.01,23.37
427.00,62.00,0.94,5.64,12.00,0.01,23.37
427.00,52.00,0.94,5.64,12.00,0.01,23.37
427.00,58.00,5.64,39.74,16.00,0.03,27.05
427.00,37.00,10.34,77.13,18.75,0.02,29.81
427.00,64.00,12.22,90.01,18.21,0.04,29.37
427.00,47.00,11.28,86.63,19.11,0.03,30.13
427.00,20.00,14.57,104.80,19.00,0.04,30.07
427.00,44.00,19.27,136.60,20.22,0.05,31.44
427.00,68.00,15.98,115.15,19.08,0.05,30.30
427.00,77.00,0.94,5.64,12.00,0.01,23.37
427.00,86.00,0.94,5.64,12.00,0.01,23.37
427.00,85.00,0.94,5.64,12.00,0.01,23.37
427.00,75.00,0.94,5.64,12.00,0.01,23.37
427.00,84.00,0.94,5.64,12.00,0.01,23.37
427.00,82.00,0.94,5.64,12.00,0.01,23.37
427.00,90.00,0.94,5.64,12.00,0.01,23.37
427.00,88.00,0.94,5.64,12.00,0.01,23.37
427.00,78.00,0.94,5.64,12.00,0.01,23.37
427.00,81.00,0.94,5.64,12.00,0.01,23.37
427.00,80.00,0.94,5.64,12.00,0.01,23.37
427.00,74.00,5.64,40.31,16.44,0.03,27.50
427.00,73.00,11.28,78.65,18.59,0.02,29.68
427.00,40.00,27.73,186.90,22.18,0.08,33.13
427.00,99.00,0.94,5.64,12.00,0.01,23.37
427.00,83.00,0.94,5.64,12.00,0.01,23.37
427.00,93.00,0.94,5.64,12.00,0.01,23.37
427.00,94.00,0.94,5.64,12.00,0.01,23.37
427.00,95.00,0.94,5.64,12.00,0.01,23.37
427.00,96.00,0.94,5.64,12.00,0.01,23.37
427.00,91.00,0.94,5.64,12.00,0.01,23.37
427.00,92.00,0.94,5.64,12.00,0.01,23.37
427.00,89.00,0.94,5.64,12.00,0.01,23.37
427.00,98.00,0.94,5.64,12.00,0.01,23.37
427.00,97.00,0.94,5.64,12.00,0.01,23.37
427.00,87.00,2.82,23.12,14.80,0.01,25.94
427.00,79.00,8.93,69.24,17.33,0.03,28.36
427.00,76.00,33.84,238.74,24.30,0.08,40.67
