# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
420.00,2.00,0.94,5.64,12.00,0.01,23.37
420.00,8.00,0.94,5.64,12.00,0.01,23.37
420.00,29.00,0.94,5.64,12.00,0.01,23.37
420.00,4.00,0.94,5.64,12.00,0.01,23.37
420.00,22.00,0.94,5.64,12.00,0.01,23.37
420.00,16.00,0.94,5.64,12.00,0.01,23.37
420.00,12.00,0.94,5.64,12.00,0.01,23.37
420.00,7.00,0.94,5.64,12.00,0.01,23.37
420.00,30.00,0.94,5.64,12.00,0.01,23.37
420.00,6.00,1.88,10.10,13.00,0.01,24.16
420.00,28.00,0.94,5.64,12.00,0.01,23.37
420.00,21.00,0.94,5.64,12.00,0.01,23.37
420.00,10.00,0.94,5.64,12.00,0.01,23.37
420.00,19.00,0.94,5.64,12.00,0.01,23.37
420.00,5.00,0.94,5.64,12.00,0.01,23.37
420.00,3.00,0.94,5.64,12.00,0.01,23.37
420.00,27.00,0.94,5.64,12.00,0.01,23.37
420.00,25.00,0.94,5.64,12.00,0.01,23.37
420.00,9.00,0.94,5.64,12.00,0.01,23.37
420.00,17.00,0.94,5.64,12.00,0.01,23.37
420.00,0.00,0.94,5.64,12.00,0.01,23.37
420.00,13.00,0.94,5.64,12.00,0.01,23.37
420.00,18.00,2.82,23.12,14.80,0.01,25.94
420.00,1.00,1.88,10.10,13.00,0.01,24.16
420.00,15.00,0.94,5.64,12.00,0.01,23.37
420.00,49.00,0.94,5.64,12.00,0.01,23.37
420.00,39.00,0.94,5.64,12.00,0.01,23.37
420.00,56.00,0.94,5.64,12.00,0.01,23.37
420.00,60.00,0.94,5.64,12.00,0.01,23.37
420.00,43.00,0.94,5.64,12.00,0.01,23.37
420.00,47.00,0.94,5.64,12.00,0.01,23.37
420.00,38.00,0.94,5.64,12.00,0.01,23.37
420.00,63.00,0.94,5.64,12.00,0.01,23.37
420.00,58.00,0.94,5.64,12.00,0.01,23.37
420.00,31.00,0.94,5.64,12.00,0.01,23.37
420.00,46.00,0.94,5.64,12.00,0.01,23.37
420.00,45.00,0.94,5.64,12.00,0.01,23.37
420.00,34.00,0.94,5.64,12.00,0.01,23.37
420.00,33.00,0.94,5.64,12.00,0.01,23.37
420.00,35.00,0.94,5.64,12.00,0.01,23.37
420.00,55.00,0.94,5.64,12.00,0.01,23.37
420.00,23.00,0.94,5.64,12.00,0.01,23.37
420.00,50.00,0.94,5.64,12.00,0.01,23.37
420.00,53.00,0.94,5.64,12.00,0.01,23.37
420.00,40.00,0.94,5.64,12.00,0.01,23.37
420.00,32.00,0.94,5.64,12.00,0.01,23.37
420.00,36.00,0.94,5.64,12.00,0.01,23.37
420.00,54.00,0.94,5.64,12.00,0.01,23.37
420.00,57.00,0.94,5.64,12.00,0.01,23.37
420.00,44.00,0.94,5.64,12.00,0.01,23.37
420.00,24.00,0.94,5.64,12.00,0.01,23.37
420.00,48.00,0.94,5.64,12.00,0.01,23.37
420.00,42.00,0.94,5.64,12.00,0.01,23.37
420.00,37.00,0.94,5.64,12.00,0.01,23.37
420.00,61.00,0.94,5.64,12.00,0.01,23.37
420.00,51.00,0.94,5.64,12.00,0.01,23.37
420.00,59.00,12.69,95.80,18.50,0.04,29.74
420.00,14.00,15.04,113.67,19.25,0.04,30.44
420.00,26.00,20.68,154.94,21.20,0.06,32.35
420.00,11.00,16.45,123.37,20.16,0.05,31.41
420.00,74.00,0.94,5.64,12.00,0.01,23.37
420.00,71.00,0.94,5.64,12.00,0.01,23.37
420.00,64.00,0.94,5.64,12.00,0.01,23.37
420.00,73.00,0.94,5.64,12.00,0.01,23.37
420.00,70.00,0.94,5.64,12.00,0.01,23.37
420.00,75.00,0.94,5.64,12.00,0.01,23.37
420.00,77.00,0.94,5.64,12.00,0.01,23.37
420.00,67.00,0.94,5.64,12.00,0.01,23.37
420.00,76.00,0.94,5.64,12.00,0.01,23.37
420.00,62.00,0.94,5.64,12.00,0.01,23.37
420.00,65.00,0.94,5.64,12.00,0.01,23.37
420.00,72.00,0.94,5.64,12.00,0.01,23.37
420.00,69.00,0.94,5.64,12.00,0.01,23.37
420.00,66.00,5.64,39.74,16.00,0.03,27.05
420.00,68.00,6.11,41.77,16.89,0.03,27.94
420.00,52.00,28.67,195.36,23.35,0.07,33.34
420.00,41.00,21.15,156.68,21.00,0.06,32.47
420.00,20.00,25.38,187.95,22.29,0.07,32.90
420.00,80.00,0.94,5.64,12.00,0.01,23.37
420.00,79.00,0.94,5.64,12.00,0.01,23.37
420.00,78.00,0.94,5.64,12.00,0.01,23.37
420.00,81.00,6.11,45.11,17.20,0.02,28.30
420.00,86.00,0.94,5.64,12.00,0.01,23.37
420.00,91.00,0.94,5.64,12.00,0.01,23.37
420.00,84.00,0.94,5.64,12.00,0.01,23.37
420.00,93.00,0.94,5.64,12.00,0.01,23.37
420.00,94.00,0.94,5.64,12.00,0.01,23.37
420.00,85.00,0.94,5.64,12.00,0.01,23.37
420.00,87.00,2.82,23.12,14.80,0.01,25.94
