method, generation, power, ar
surrogate, 1, 233.0, 0.9722222222222222
surrogate, 1, 208.0, 0.9444444444444444
surrogate, 1, 72.0, 0.8888888888888888
surrogate, 2, 233.0, 0.9722222222222222
surrogate, 2, 208.0, 0.9444444444444444
surrogate, 2, 145.0, 0.9166666666666666
surrogate, 2, 72.0, 0.8888888888888888
surrogate, 3, 225.0, 0.9722222222222222
surrogate, 3, 208.0, 0.9444444444444444
surrogate, 3, 136.0, 0.9166666666666666
surrogate, 3, 72.0, 0.8888888888888888
surrogate, 4, 225.0, 0.9722222222222222
surrogate, 4, 208.0, 0.9444444444444444
surrogate, 4, 136.0, 0.9166666666666666
surrogate, 4, 72.0, 0.8888888888888888
surrogate, 5, 249.0, 1.0
surrogate, 5, 225.0, 0.9722222222222222
surrogate, 5, 113.0, 0.9444444444444444
surrogate, 5, 72.0, 0.8888888888888888
surrogate, 5, 55.0, 0.8055555555555556
emulator, 5.1, 247.0, 1.0
