generation, latency, ar
1, 28.0, 0.21875
1, 26.0, 0.09375
2, 27.0, 0.21875
2, 26.0, 0.09375
2, 26.0, 0.09375
3, 27.0, 0.21875
3, 27.0, 0.21875
3, 27.0, 0.21875
3, 27.0, 0.21875
3, 26.0, 0.09375
3, 26.0, 0.09375
3, 26.0, 0.09375
3, 26.0, 0.09375
4, 25.0, 0.21875
5, 25.0, 0.21875
5, 25.0, 0.21875
5, 25.0, 0.21875
6, 25.0, 0.21875
6, 25.0, 0.21875
6, 25.0, 0.21875
6, 25.0, 0.21875
6, 25.0, 0.21875
6, 25.0, 0.21875
7, 25.0, 0.21875
7, 25.0, 0.21875
7, 25.0, 0.21875
7, 25.0, 0.21875
7, 25.0, 0.21875
7, 25.0, 0.21875
7, 25.0, 0.21875
7, 25.0, 0.21875
8, 25.0, 0.21875
8, 25.0, 0.21875
8, 25.0, 0.21875
8, 25.0, 0.21875
8, 25.0, 0.21875
8, 25.0, 0.21875
8, 25.0, 0.21875
8, 25.0, 0.21875
8, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
9, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
10, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
11, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
12, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
13, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
14, 25.0, 0.21875
