generation, average_ar, max_ar, min_ar, average_latency, max_latency, min_latency
1, 0.084375, 0.21875, 0.0, 10023.2, 50000.0, 26.0
2, 0.13125, 0.21875, 0.03125, 27.9, 30.0, 26.0
3, 0.15, 0.21875, 0.03125, 26.7, 28.0, 26.0
4, 0.13125, 0.21875, 0.09375, 26.1, 27.0, 25.0
5, 0.16875, 0.21875, 0.09375, 25.8, 27.0, 25.0
6, 0.19375, 0.21875, 0.09375, 25.4, 27.0, 25.0
7, 0.21875, 0.21875, 0.21875, 25.0, 25.0, 25.0
8, 0.21875, 0.21875, 0.21875, 25.0, 25.0, 25.0
9, 0.21875, 0.21875, 0.21875, 25.0, 25.0, 25.0
10, 0.21875, 0.21875, 0.21875, 25.0, 25.0, 25.0
11, 0.21875, 0.21875, 0.21875, 25.0, 25.0, 25.0
12, 0.21875, 0.21875, 0.21875, 25.0, 25.0, 25.0
13, 0.21875, 0.21875, 0.21875, 25.0, 25.0, 25.0
14, 0.21875, 0.21875, 0.21875, 25.0, 25.0, 25.0
