# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
3.00,2.00,1.85,13.88,18.00,0.03,29.21
3.00,18.00,2.78,18.97,17.00,0.04,28.39
3.00,3.00,2.78,19.44,17.00,0.03,28.17
3.00,4.00,1.85,14.81,20.00,0.03,31.21
3.00,20.00,1.85,14.81,20.00,0.03,31.21
3.00,13.00,1.85,14.81,20.00,0.03,31.21
3.00,15.00,2.78,20.83,19.00,0.04,30.39
3.00,1.00,4.63,31.47,20.00,0.03,31.09
3.00,6.00,11.11,76.69,22.00,0.06,34.73
3.00,7.00,8.33,69.55,20.29,0.07,32.66
3.00,12.00,3.70,33.94,18.67,0.06,31.29
3.00,9.00,9.26,68.49,20.00,0.07,32.30
3.00,0.00,12.03,81.34,21.25,0.07,33.65
3.00,8.00,2.78,27.15,16.67,0.06,29.36
3.00,17.00,11.11,63.87,22.80,0.07,35.07
3.00,21.00,10.18,87.21,19.78,0.07,32.17
3.00,10.00,9.72,75.20,19.50,0.07,31.98
3.00,19.00,12.03,84.58,21.25,0.09,34.71
3.00,5.00,6.48,49.98,20.00,0.05,33.95
3.00,11.00,15.74,127.73,20.15,0.12,35.35
3.00,16.00,1.85,11.11,12.00,0.04,23.36
3.00,26.00,1.85,12.96,16.00,0.03,27.21
3.00,56.00,1.85,12.96,16.00,0.03,27.21
3.00,14.00,1.85,12.96,16.00,0.03,27.21
3.00,32.00,2.78,24.53,22.00,0.03,33.17
3.00,38.00,1.85,14.81,20.00,0.03,31.21
3.00,29.00,4.63,38.26,18.67,0.06,31.35
3.00,39.00,4.63,35.17,21.33,0.04,33.17
3.00,55.00,4.63,39.80,19.50,0.05,33.77
3.00,59.00,5.55,39.18,21.33,0.06,33.91
3.00,61.00,3.70,27.31,22.00,0.05,36.63
3.00,58.00,2.78,14.81,20.00,0.03,31.17
3.00,30.00,6.48,49.98,18.00,0.12,33.91
3.00,25.00,3.70,25.92,17.00,0.06,29.64
3.00,50.00,6.48,33.94,20.67,0.04,32.01
3.00,35.00,2.78,20.83,19.00,0.03,30.17
3.00,33.00,2.78,25.45,22.00,0.04,33.39
3.00,27.00,9.10,69.27,22.67,0.08,35.58
3.00,40.00,6.48,54.15,18.67,0.06,31.09
3.00,49.00,6.48,55.07,16.67,0.07,29.50
3.00,52.00,8.33,64.13,19.43,0.05,32.66
3.00,28.00,1.85,12.96,16.00,0.03,27.21
3.00,57.00,1.85,18.97,16.00,0.04,27.35
3.00,44.00,9.26,68.49,20.00,0.07,32.30
3.00,22.00,4.63,29.93,20.00,0.03,31.37
3.00,51.00,5.55,50.54,19.60,0.06,32.09
