method, generation, latency, ar
surrogate, 40, 45.0, 0.8
surrogate, 41, 47.0, 0.8875
surrogate, 41, 46.0, 0.875
surrogate, 41, 46.0, 0.875
surrogate, 41, 45.0, 0.8
surrogate, 42, 47.0, 0.8875
surrogate, 42, 46.0, 0.875
surrogate, 42, 46.0, 0.875
surrogate, 42, 46.0, 0.875
surrogate, 42, 45.0, 0.8
surrogate, 43, 47.0, 0.8875
surrogate, 43, 46.0, 0.875
surrogate, 43, 46.0, 0.875
surrogate, 43, 46.0, 0.875
surrogate, 43, 46.0, 0.875
surrogate, 43, 45.0, 0.8
surrogate, 44, 47.0, 0.8875
surrogate, 44, 45.0, 0.875
surrogate, 45, 47.0, 0.8875
surrogate, 45, 45.0, 0.875
surrogate, 46, 47.0, 0.8875
surrogate, 46, 45.0, 0.875
surrogate, 47, 47.0, 0.8875
surrogate, 47, 45.0, 0.875
surrogate, 48, 47.0, 0.8875
surrogate, 48, 45.0, 0.875
surrogate, 49, 47.0, 0.8875
surrogate, 49, 45.0, 0.875
surrogate, 50, 47.0, 0.8875
surrogate, 50, 45.0, 0.875
surrogate, 51, 47.0, 0.8875
surrogate, 51, 45.0, 0.875
surrogate, 52, 47.0, 0.8875
surrogate, 52, 45.0, 0.875
surrogate, 53, 47.0, 0.8875
surrogate, 53, 45.0, 0.875
surrogate, 54, 47.0, 0.8875
surrogate, 54, 45.0, 0.875
surrogate, 55, 47.0, 0.8875
surrogate, 55, 45.0, 0.875
surrogate, 56, 47.0, 0.8875
surrogate, 56, 45.0, 0.875
surrogate, 57, 47.0, 0.8875
surrogate, 57, 45.0, 0.875
surrogate, 57, 45.0, 0.875
surrogate, 58, 47.0, 0.8875
surrogate, 58, 45.0, 0.875
surrogate, 58, 45.0, 0.875
surrogate, 59, 47.0, 0.8875
surrogate, 59, 45.0, 0.875
surrogate, 59, 45.0, 0.875
surrogate, 60, 47.0, 0.8875
surrogate, 60, 45.0, 0.875
surrogate, 60, 45.0, 0.875
surrogate, 61, 47.0, 0.8875
surrogate, 61, 45.0, 0.875
surrogate, 61, 45.0, 0.875
surrogate, 62, 47.0, 0.8875
surrogate, 62, 45.0, 0.875
