method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.85, 1.0, 0.25, 89.96, 121.0, 40.0
emulator, 1.1, 1.0, 1.0, 1.0, 58.0, 58.0, 58.0
