# generation,individual,mean_max_link,mean_total_link,mean_total_delay,mean_cpu,latency
3.00,43.00,3.70,25.92,16.00,0.03,27.13
3.00,67.00,5.55,45.66,18.67,0.03,29.73
3.00,35.00,10.18,74.97,24.00,0.05,37.71
3.00,59.00,7.40,51.83,20.00,0.05,38.62
3.00,55.00,8.79,69.88,22.00,0.05,36.70
3.00,13.00,9.72,59.70,21.00,0.04,32.28
3.00,12.00,10.37,86.64,24.80,0.05,36.02
3.00,11.00,24.07,192.24,25.38,0.10,38.69
3.00,46.00,24.07,159.34,19.69,0.15,35.68
3.00,14.00,24.07,171.38,20.31,0.13,35.46
3.00,5.00,34.11,200.06,18.71,0.24,34.84
3.00,30.00,33.20,225.54,20.80,0.29,37.20
3.00,50.00,27.77,221.03,21.47,0.19,38.80
3.00,49.00,40.63,308.08,23.47,0.27,39.88
3.00,37.00,35.17,287.42,25.16,0.19,41.91
3.00,20.00,51.83,516.55,28.14,0.33,44.49
3.00,99.00,6.79,49.37,16.00,0.04,27.26
3.00,74.00,6.79,45.05,17.33,0.03,28.60
3.00,94.00,12.96,81.45,22.00,0.07,34.17
3.00,78.00,7.40,49.98,20.00,0.04,31.25
3.00,82.00,6.79,41.34,17.33,0.07,30.01
3.00,98.00,8.79,60.16,21.00,0.05,32.25
3.00,87.00,7.40,50.60,24.00,0.04,35.25
3.00,68.00,11.11,78.21,24.00,0.04,35.19
3.00,85.00,22.21,177.25,23.33,0.13,38.31
3.00,81.00,31.47,220.95,20.12,0.21,39.78
3.00,76.00,29.62,234.87,25.25,0.16,40.92
3.00,91.00,24.45,197.38,24.00,0.14,39.48
3.00,66.00,42.58,401.10,26.61,0.31,42.97
3.00,77.00,48.13,411.64,24.46,0.32,40.84
