method, generation, average_ar, max_ar, min_ar, average_power, max_power, min_power
surrogate, 1, 0.845, 1.0, 0.375, 139.88, 178.0, 82.0
emulator, 1.1, 1.0, 1.0, 1.0, 148.0, 148.0, 148.0
